Query 10: parallel langauges languages for parallel compatution

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.029
02  	  R  	  1.000  	  0.057
03  	  R  	  1.000  	  0.086
04  	  R  	  1.000  	  0.114
05  	  N  	  0.800  	  0.114
06  	  R  	  0.833  	  0.143
07  	  N  	  0.714  	  0.143
08  	  R  	  0.750  	  0.171
09  	  R  	  0.778  	  0.200
10  	  R  	  0.800  	  0.229
11  	  N  	  0.727  	  0.229
12  	  N  	  0.667  	  0.229
13  	  R  	  0.692  	  0.257
14  	  N  	  0.643  	  0.257
15  	  N  	  0.600  	  0.257
16  	  R  	  0.625  	  0.286
17  	  R  	  0.647  	  0.314
18  	  N  	  0.611  	  0.314
19  	  N  	  0.579  	  0.314
20  	  N  	  0.550  	  0.314
21  	  N  	  0.524  	  0.314
22  	  R  	  0.545  	  0.343
23  	  R  	  0.565  	  0.371
24  	  R  	  0.583  	  0.400
25  	  N  	  0.560  	  0.400
26  	  N  	  0.538  	  0.400
27  	  R  	  0.556  	  0.429
28  	  N  	  0.536  	  0.429
29  	  N  	  0.517  	  0.429
30  	  N  	  0.500  	  0.429
31  	  N  	  0.484  	  0.429
32  	  R  	  0.500  	  0.457
33  	  N  	  0.485  	  0.457
34  	  N  	  0.471  	  0.457
35  	  N  	  0.457  	  0.457
36  	  N  	  0.444  	  0.457
37  	  N  	  0.432  	  0.457
38  	  N  	  0.421  	  0.457
39  	  N  	  0.410  	  0.457
40  	  N  	  0.400  	  0.457
41  	  R  	  0.415  	  0.486
42  	  N  	  0.405  	  0.486
43  	  N  	  0.395  	  0.486
44  	  N  	  0.386  	  0.486
45  	  N  	  0.378  	  0.486
46  	  R  	  0.391  	  0.514
47  	  N  	  0.383  	  0.514
48  	  R  	  0.396  	  0.543
49  	  N  	  0.388  	  0.543
50  	  N  	  0.380  	  0.543
51  	  N  	  0.373  	  0.543
52  	  R  	  0.385  	  0.571
53  	  N  	  0.377  	  0.571
54  	  N  	  0.370  	  0.571
55  	  N  	  0.364  	  0.571
56  	  N  	  0.357  	  0.571
57  	  N  	  0.351  	  0.571
58  	  R  	  0.362  	  0.600
59  	  N  	  0.356  	  0.600
60  	  R  	  0.367  	  0.629
61  	  R  	  0.377  	  0.657
62  	  N  	  0.371  	  0.657
63  	  N  	  0.365  	  0.657
64  	  N  	  0.359  	  0.657
65  	  N  	  0.354  	  0.657
66  	  N  	  0.348  	  0.657
67  	  N  	  0.343  	  0.657
68  	  N  	  0.338  	  0.657
69  	  N  	  0.333  	  0.657
70  	  N  	  0.329  	  0.657
71  	  N  	  0.324  	  0.657
72  	  N  	  0.319  	  0.657
73  	  N  	  0.315  	  0.657
74  	  N  	  0.311  	  0.657
75  	  N  	  0.307  	  0.657
76  	  N  	  0.303  	  0.657
77  	  N  	  0.299  	  0.657
78  	  N  	  0.295  	  0.657
79  	  N  	  0.291  	  0.657
80  	  N  	  0.287  	  0.657
81  	  N  	  0.284  	  0.657
82  	  N  	  0.280  	  0.657
83  	  N  	  0.277  	  0.657
84  	  N  	  0.274  	  0.657
85  	  N  	  0.271  	  0.657
86  	  N  	  0.267  	  0.657
87  	  N  	  0.264  	  0.657
88  	  N  	  0.261  	  0.657
89  	  N  	  0.258  	  0.657
90  	  N  	  0.256  	  0.657
91  	  N  	  0.253  	  0.657
92  	  N  	  0.250  	  0.657
93  	  N  	  0.247  	  0.657
94  	  N  	  0.245  	  0.657
95  	  N  	  0.242  	  0.657
96  	  N  	  0.240  	  0.657
97  	  N  	  0.237  	  0.657
98  	  N  	  0.235  	  0.657
99  	  N  	  0.232  	  0.657
100  	  N  	  0.230  	  0.657
