Query 14: find all discussions of optimal impleaentmtions of sort ahgoritlms for database mananemegt alppications

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.023
03  	  N  	  0.333  	  0.023
04  	  N  	  0.250  	  0.023
05  	  R  	  0.400  	  0.045
06  	  N  	  0.333  	  0.045
07  	  N  	  0.286  	  0.045
08  	  N  	  0.250  	  0.045
09  	  N  	  0.222  	  0.045
10  	  R  	  0.300  	  0.068
11  	  N  	  0.273  	  0.068
12  	  N  	  0.250  	  0.068
13  	  N  	  0.231  	  0.068
14  	  N  	  0.214  	  0.068
15  	  N  	  0.200  	  0.068
16  	  N  	  0.188  	  0.068
17  	  R  	  0.235  	  0.091
18  	  N  	  0.222  	  0.091
19  	  N  	  0.211  	  0.091
20  	  R  	  0.250  	  0.114
21  	  N  	  0.238  	  0.114
22  	  N  	  0.227  	  0.114
23  	  N  	  0.217  	  0.114
24  	  N  	  0.208  	  0.114
25  	  N  	  0.200  	  0.114
26  	  N  	  0.192  	  0.114
27  	  N  	  0.185  	  0.114
28  	  N  	  0.179  	  0.114
29  	  N  	  0.172  	  0.114
30  	  N  	  0.167  	  0.114
31  	  N  	  0.161  	  0.114
32  	  N  	  0.156  	  0.114
33  	  N  	  0.152  	  0.114
34  	  N  	  0.147  	  0.114
35  	  N  	  0.143  	  0.114
36  	  N  	  0.139  	  0.114
37  	  N  	  0.135  	  0.114
38  	  R  	  0.158  	  0.136
39  	  N  	  0.154  	  0.136
40  	  N  	  0.150  	  0.136
41  	  N  	  0.146  	  0.136
42  	  N  	  0.143  	  0.136
43  	  N  	  0.140  	  0.136
44  	  N  	  0.136  	  0.136
45  	  N  	  0.133  	  0.136
46  	  N  	  0.130  	  0.136
47  	  N  	  0.128  	  0.136
48  	  N  	  0.125  	  0.136
49  	  N  	  0.122  	  0.136
50  	  N  	  0.120  	  0.136
51  	  N  	  0.118  	  0.136
52  	  R  	  0.135  	  0.159
53  	  N  	  0.132  	  0.159
54  	  N  	  0.130  	  0.159
55  	  N  	  0.127  	  0.159
56  	  N  	  0.125  	  0.159
57  	  N  	  0.123  	  0.159
58  	  N  	  0.121  	  0.159
59  	  N  	  0.119  	  0.159
60  	  N  	  0.117  	  0.159
61  	  N  	  0.115  	  0.159
62  	  N  	  0.113  	  0.159
63  	  N  	  0.111  	  0.159
64  	  N  	  0.109  	  0.159
65  	  N  	  0.108  	  0.159
66  	  N  	  0.106  	  0.159
67  	  N  	  0.104  	  0.159
68  	  N  	  0.103  	  0.159
69  	  N  	  0.101  	  0.159
70  	  N  	  0.100  	  0.159
71  	  N  	  0.099  	  0.159
72  	  N  	  0.097  	  0.159
73  	  N  	  0.096  	  0.159
74  	  N  	  0.095  	  0.159
75  	  N  	  0.093  	  0.159
76  	  N  	  0.092  	  0.159
77  	  N  	  0.091  	  0.159
78  	  N  	  0.090  	  0.159
79  	  N  	  0.089  	  0.159
80  	  N  	  0.087  	  0.159
81  	  N  	  0.086  	  0.159
82  	  N  	  0.085  	  0.159
83  	  N  	  0.084  	  0.159
84  	  N  	  0.083  	  0.159
85  	  N  	  0.082  	  0.159
86  	  N  	  0.081  	  0.159
87  	  N  	  0.080  	  0.159
88  	  N  	  0.080  	  0.159
89  	  N  	  0.079  	  0.159
90  	  N  	  0.078  	  0.159
91  	  N  	  0.077  	  0.159
92  	  N  	  0.076  	  0.159
93  	  N  	  0.075  	  0.159
94  	  R  	  0.085  	  0.182
95  	  N  	  0.084  	  0.182
96  	  R  	  0.094  	  0.205
97  	  N  	  0.093  	  0.205
98  	  N  	  0.092  	  0.205
99  	  N  	  0.091  	  0.205
100  	  N  	  0.090  	  0.205
