Query 15: find all discnssious of horizontal mircocode optizimation with special emphasis on optimizaoitn of loops and global optmiization

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  N  	  0.000  	  0.000
07  	  N  	  0.000  	  0.000
08  	  N  	  0.000  	  0.000
09  	  N  	  0.000  	  0.000
10  	  N  	  0.000  	  0.000
11  	  N  	  0.000  	  0.000
12  	  N  	  0.000  	  0.000
13  	  N  	  0.000  	  0.000
14  	  R  	  0.071  	  0.100
15  	  N  	  0.067  	  0.100
16  	  N  	  0.062  	  0.100
17  	  N  	  0.059  	  0.100
18  	  N  	  0.056  	  0.100
19  	  N  	  0.053  	  0.100
20  	  N  	  0.050  	  0.100
21  	  N  	  0.048  	  0.100
22  	  N  	  0.045  	  0.100
23  	  N  	  0.043  	  0.100
24  	  N  	  0.042  	  0.100
25  	  N  	  0.040  	  0.100
26  	  N  	  0.038  	  0.100
27  	  N  	  0.037  	  0.100
28  	  N  	  0.036  	  0.100
29  	  N  	  0.034  	  0.100
30  	  N  	  0.033  	  0.100
31  	  N  	  0.032  	  0.100
32  	  N  	  0.031  	  0.100
33  	  N  	  0.030  	  0.100
34  	  N  	  0.029  	  0.100
35  	  N  	  0.029  	  0.100
36  	  N  	  0.028  	  0.100
37  	  N  	  0.027  	  0.100
38  	  N  	  0.026  	  0.100
39  	  N  	  0.026  	  0.100
40  	  N  	  0.025  	  0.100
41  	  N  	  0.024  	  0.100
42  	  N  	  0.024  	  0.100
43  	  N  	  0.023  	  0.100
44  	  N  	  0.023  	  0.100
45  	  N  	  0.022  	  0.100
46  	  N  	  0.022  	  0.100
47  	  N  	  0.021  	  0.100
48  	  N  	  0.021  	  0.100
49  	  N  	  0.020  	  0.100
50  	  N  	  0.020  	  0.100
51  	  R  	  0.039  	  0.200
52  	  N  	  0.038  	  0.200
53  	  N  	  0.038  	  0.200
54  	  N  	  0.037  	  0.200
55  	  N  	  0.036  	  0.200
56  	  N  	  0.036  	  0.200
57  	  N  	  0.035  	  0.200
58  	  N  	  0.034  	  0.200
59  	  N  	  0.034  	  0.200
60  	  N  	  0.033  	  0.200
61  	  N  	  0.033  	  0.200
62  	  N  	  0.032  	  0.200
63  	  N  	  0.032  	  0.200
64  	  N  	  0.031  	  0.200
65  	  N  	  0.031  	  0.200
66  	  N  	  0.030  	  0.200
67  	  N  	  0.030  	  0.200
68  	  N  	  0.029  	  0.200
69  	  N  	  0.029  	  0.200
70  	  N  	  0.029  	  0.200
71  	  N  	  0.028  	  0.200
72  	  N  	  0.028  	  0.200
73  	  N  	  0.027  	  0.200
74  	  N  	  0.027  	  0.200
75  	  N  	  0.027  	  0.200
76  	  N  	  0.026  	  0.200
77  	  N  	  0.026  	  0.200
78  	  N  	  0.026  	  0.200
79  	  N  	  0.025  	  0.200
80  	  N  	  0.025  	  0.200
81  	  N  	  0.025  	  0.200
82  	  N  	  0.024  	  0.200
83  	  N  	  0.024  	  0.200
84  	  N  	  0.024  	  0.200
85  	  N  	  0.024  	  0.200
86  	  N  	  0.023  	  0.200
87  	  N  	  0.023  	  0.200
88  	  N  	  0.023  	  0.200
89  	  N  	  0.022  	  0.200
90  	  N  	  0.022  	  0.200
91  	  N  	  0.022  	  0.200
92  	  N  	  0.022  	  0.200
93  	  N  	  0.022  	  0.200
94  	  N  	  0.021  	  0.200
95  	  N  	  0.021  	  0.200
96  	  N  	  0.021  	  0.200
97  	  N  	  0.021  	  0.200
98  	  N  	  0.020  	  0.200
99  	  N  	  0.020  	  0.200
100  	  N  	  0.020  	  0.200
