Query 17: optimization of interdemiate and machine code

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  N  	  0.000  	  0.000
07  	  R  	  0.143  	  0.062
08  	  R  	  0.250  	  0.125
09  	  N  	  0.222  	  0.125
10  	  N  	  0.200  	  0.125
11  	  N  	  0.182  	  0.125
12  	  N  	  0.167  	  0.125
13  	  N  	  0.154  	  0.125
14  	  N  	  0.143  	  0.125
15  	  N  	  0.133  	  0.125
16  	  N  	  0.125  	  0.125
17  	  N  	  0.118  	  0.125
18  	  N  	  0.111  	  0.125
19  	  N  	  0.105  	  0.125
20  	  N  	  0.100  	  0.125
21  	  N  	  0.095  	  0.125
22  	  N  	  0.091  	  0.125
23  	  N  	  0.087  	  0.125
24  	  N  	  0.083  	  0.125
25  	  N  	  0.080  	  0.125
26  	  N  	  0.077  	  0.125
27  	  N  	  0.074  	  0.125
28  	  N  	  0.071  	  0.125
29  	  N  	  0.069  	  0.125
30  	  R  	  0.100  	  0.188
31  	  N  	  0.097  	  0.188
32  	  N  	  0.094  	  0.188
33  	  N  	  0.091  	  0.188
34  	  R  	  0.118  	  0.250
35  	  N  	  0.114  	  0.250
36  	  N  	  0.111  	  0.250
37  	  N  	  0.108  	  0.250
38  	  N  	  0.105  	  0.250
39  	  N  	  0.103  	  0.250
40  	  N  	  0.100  	  0.250
41  	  N  	  0.098  	  0.250
42  	  N  	  0.095  	  0.250
43  	  N  	  0.093  	  0.250
44  	  N  	  0.091  	  0.250
45  	  N  	  0.089  	  0.250
46  	  N  	  0.087  	  0.250
47  	  N  	  0.085  	  0.250
48  	  N  	  0.083  	  0.250
49  	  N  	  0.082  	  0.250
50  	  N  	  0.080  	  0.250
51  	  N  	  0.078  	  0.250
52  	  N  	  0.077  	  0.250
53  	  N  	  0.075  	  0.250
54  	  N  	  0.074  	  0.250
55  	  N  	  0.073  	  0.250
56  	  N  	  0.071  	  0.250
57  	  N  	  0.070  	  0.250
58  	  N  	  0.069  	  0.250
59  	  N  	  0.068  	  0.250
60  	  N  	  0.067  	  0.250
61  	  N  	  0.066  	  0.250
62  	  N  	  0.065  	  0.250
63  	  N  	  0.063  	  0.250
64  	  N  	  0.062  	  0.250
65  	  N  	  0.062  	  0.250
66  	  N  	  0.061  	  0.250
67  	  N  	  0.060  	  0.250
68  	  N  	  0.059  	  0.250
69  	  N  	  0.058  	  0.250
70  	  N  	  0.057  	  0.250
71  	  N  	  0.056  	  0.250
72  	  N  	  0.056  	  0.250
73  	  N  	  0.055  	  0.250
74  	  N  	  0.054  	  0.250
75  	  N  	  0.053  	  0.250
76  	  N  	  0.053  	  0.250
77  	  N  	  0.052  	  0.250
78  	  N  	  0.051  	  0.250
79  	  N  	  0.051  	  0.250
80  	  N  	  0.050  	  0.250
81  	  N  	  0.049  	  0.250
82  	  N  	  0.049  	  0.250
83  	  N  	  0.048  	  0.250
84  	  N  	  0.048  	  0.250
85  	  N  	  0.047  	  0.250
86  	  N  	  0.047  	  0.250
87  	  N  	  0.046  	  0.250
88  	  N  	  0.045  	  0.250
89  	  N  	  0.045  	  0.250
90  	  N  	  0.044  	  0.250
91  	  N  	  0.044  	  0.250
92  	  N  	  0.043  	  0.250
93  	  N  	  0.043  	  0.250
94  	  N  	  0.043  	  0.250
95  	  N  	  0.042  	  0.250
96  	  R  	  0.052  	  0.312
97  	  N  	  0.052  	  0.312
98  	  N  	  0.051  	  0.312
99  	  N  	  0.051  	  0.312
100  	  N  	  0.050  	  0.312
