Query 18: languages and compilers for parallel porcessors especially highly horinoztal micrcooded machines code compoctian

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  R  	  0.167  	  0.091
07  	  N  	  0.143  	  0.091
08  	  N  	  0.125  	  0.091
09  	  N  	  0.111  	  0.091
10  	  N  	  0.100  	  0.091
11  	  N  	  0.091  	  0.091
12  	  N  	  0.083  	  0.091
13  	  N  	  0.077  	  0.091
14  	  N  	  0.071  	  0.091
15  	  N  	  0.067  	  0.091
16  	  N  	  0.062  	  0.091
17  	  N  	  0.059  	  0.091
18  	  N  	  0.056  	  0.091
19  	  N  	  0.053  	  0.091
20  	  N  	  0.050  	  0.091
21  	  N  	  0.048  	  0.091
22  	  N  	  0.045  	  0.091
23  	  N  	  0.043  	  0.091
24  	  N  	  0.042  	  0.091
25  	  N  	  0.040  	  0.091
26  	  N  	  0.038  	  0.091
27  	  N  	  0.037  	  0.091
28  	  N  	  0.036  	  0.091
29  	  N  	  0.034  	  0.091
30  	  R  	  0.067  	  0.182
31  	  N  	  0.065  	  0.182
32  	  N  	  0.062  	  0.182
33  	  N  	  0.061  	  0.182
34  	  N  	  0.059  	  0.182
35  	  N  	  0.057  	  0.182
36  	  N  	  0.056  	  0.182
37  	  N  	  0.054  	  0.182
38  	  N  	  0.053  	  0.182
39  	  N  	  0.051  	  0.182
40  	  R  	  0.075  	  0.273
41  	  N  	  0.073  	  0.273
42  	  N  	  0.071  	  0.273
43  	  N  	  0.070  	  0.273
44  	  N  	  0.068  	  0.273
45  	  N  	  0.067  	  0.273
46  	  N  	  0.065  	  0.273
47  	  N  	  0.064  	  0.273
48  	  N  	  0.062  	  0.273
49  	  N  	  0.061  	  0.273
50  	  R  	  0.080  	  0.364
51  	  N  	  0.078  	  0.364
52  	  N  	  0.077  	  0.364
53  	  N  	  0.075  	  0.364
54  	  N  	  0.074  	  0.364
55  	  N  	  0.073  	  0.364
56  	  N  	  0.071  	  0.364
57  	  N  	  0.070  	  0.364
58  	  R  	  0.086  	  0.455
59  	  N  	  0.085  	  0.455
60  	  N  	  0.083  	  0.455
61  	  N  	  0.082  	  0.455
62  	  R  	  0.097  	  0.545
63  	  N  	  0.095  	  0.545
64  	  N  	  0.094  	  0.545
65  	  N  	  0.092  	  0.545
66  	  N  	  0.091  	  0.545
67  	  N  	  0.090  	  0.545
68  	  N  	  0.088  	  0.545
69  	  N  	  0.087  	  0.545
70  	  N  	  0.086  	  0.545
71  	  N  	  0.085  	  0.545
72  	  R  	  0.097  	  0.636
73  	  N  	  0.096  	  0.636
74  	  N  	  0.095  	  0.636
75  	  N  	  0.093  	  0.636
76  	  N  	  0.092  	  0.636
77  	  N  	  0.091  	  0.636
78  	  N  	  0.090  	  0.636
79  	  N  	  0.089  	  0.636
80  	  N  	  0.087  	  0.636
81  	  N  	  0.086  	  0.636
82  	  N  	  0.085  	  0.636
83  	  N  	  0.084  	  0.636
84  	  N  	  0.083  	  0.636
85  	  N  	  0.082  	  0.636
86  	  N  	  0.081  	  0.636
87  	  N  	  0.080  	  0.636
88  	  N  	  0.080  	  0.636
89  	  N  	  0.079  	  0.636
90  	  N  	  0.078  	  0.636
91  	  N  	  0.077  	  0.636
92  	  N  	  0.076  	  0.636
93  	  N  	  0.075  	  0.636
94  	  N  	  0.074  	  0.636
95  	  N  	  0.074  	  0.636
96  	  N  	  0.073  	  0.636
97  	  N  	  0.072  	  0.636
98  	  N  	  0.071  	  0.636
99  	  N  	  0.071  	  0.636
100  	  N  	  0.070  	  0.636
