Query 20: graph theoretic amlriohgts aippllcabe to sparse matrices

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.333
02  	  N  	  0.500  	  0.333
03  	  R  	  0.667  	  0.667
04  	  R  	  0.750  	  1.000
05  	  N  	  0.600  	  1.000
06  	  N  	  0.500  	  1.000
07  	  N  	  0.429  	  1.000
08  	  N  	  0.375  	  1.000
09  	  N  	  0.333  	  1.000
10  	  N  	  0.300  	  1.000
11  	  N  	  0.273  	  1.000
12  	  N  	  0.250  	  1.000
13  	  N  	  0.231  	  1.000
14  	  N  	  0.214  	  1.000
15  	  N  	  0.200  	  1.000
16  	  N  	  0.188  	  1.000
17  	  N  	  0.176  	  1.000
18  	  N  	  0.167  	  1.000
19  	  N  	  0.158  	  1.000
20  	  N  	  0.150  	  1.000
21  	  N  	  0.143  	  1.000
22  	  N  	  0.136  	  1.000
23  	  N  	  0.130  	  1.000
24  	  N  	  0.125  	  1.000
25  	  N  	  0.120  	  1.000
26  	  N  	  0.115  	  1.000
27  	  N  	  0.111  	  1.000
28  	  N  	  0.107  	  1.000
29  	  N  	  0.103  	  1.000
30  	  N  	  0.100  	  1.000
31  	  N  	  0.097  	  1.000
32  	  N  	  0.094  	  1.000
33  	  N  	  0.091  	  1.000
34  	  N  	  0.088  	  1.000
35  	  N  	  0.086  	  1.000
36  	  N  	  0.083  	  1.000
37  	  N  	  0.081  	  1.000
38  	  N  	  0.079  	  1.000
39  	  N  	  0.077  	  1.000
40  	  N  	  0.075  	  1.000
41  	  N  	  0.073  	  1.000
42  	  N  	  0.071  	  1.000
43  	  N  	  0.070  	  1.000
44  	  N  	  0.068  	  1.000
45  	  N  	  0.067  	  1.000
46  	  N  	  0.065  	  1.000
47  	  N  	  0.064  	  1.000
48  	  N  	  0.062  	  1.000
49  	  N  	  0.061  	  1.000
50  	  N  	  0.060  	  1.000
51  	  N  	  0.059  	  1.000
52  	  N  	  0.058  	  1.000
53  	  N  	  0.057  	  1.000
54  	  N  	  0.056  	  1.000
55  	  N  	  0.055  	  1.000
56  	  N  	  0.054  	  1.000
57  	  N  	  0.053  	  1.000
58  	  N  	  0.052  	  1.000
59  	  N  	  0.051  	  1.000
60  	  N  	  0.050  	  1.000
61  	  N  	  0.049  	  1.000
62  	  N  	  0.048  	  1.000
63  	  N  	  0.048  	  1.000
64  	  N  	  0.047  	  1.000
65  	  N  	  0.046  	  1.000
66  	  N  	  0.045  	  1.000
67  	  N  	  0.045  	  1.000
68  	  N  	  0.044  	  1.000
69  	  N  	  0.043  	  1.000
70  	  N  	  0.043  	  1.000
71  	  N  	  0.042  	  1.000
72  	  N  	  0.042  	  1.000
73  	  N  	  0.041  	  1.000
74  	  N  	  0.041  	  1.000
75  	  N  	  0.040  	  1.000
76  	  N  	  0.039  	  1.000
77  	  N  	  0.039  	  1.000
78  	  N  	  0.038  	  1.000
79  	  N  	  0.038  	  1.000
80  	  N  	  0.037  	  1.000
81  	  N  	  0.037  	  1.000
82  	  N  	  0.037  	  1.000
83  	  N  	  0.036  	  1.000
84  	  N  	  0.036  	  1.000
85  	  N  	  0.035  	  1.000
86  	  N  	  0.035  	  1.000
87  	  N  	  0.034  	  1.000
88  	  N  	  0.034  	  1.000
89  	  N  	  0.034  	  1.000
90  	  N  	  0.033  	  1.000
91  	  N  	  0.033  	  1.000
92  	  N  	  0.033  	  1.000
93  	  N  	  0.032  	  1.000
94  	  N  	  0.032  	  1.000
95  	  N  	  0.032  	  1.000
96  	  N  	  0.031  	  1.000
97  	  N  	  0.031  	  1.000
98  	  N  	  0.031  	  1.000
99  	  N  	  0.030  	  1.000
100  	  N  	  0.030  	  1.000
