Query 22: i am ieeresnttd in hddien line and hidden scfurae airhmglots for crieydnls tioords sreephs and cones this is a rather sipeliaeczd topic in cpometur gprhacis

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.059
02  	  R  	  1.000  	  0.118
03  	  R  	  1.000  	  0.176
04  	  N  	  0.750  	  0.176
05  	  R  	  0.800  	  0.235
06  	  R  	  0.833  	  0.294
07  	  R  	  0.857  	  0.353
08  	  R  	  0.875  	  0.412
09  	  R  	  0.889  	  0.471
10  	  N  	  0.800  	  0.471
11  	  N  	  0.727  	  0.471
12  	  N  	  0.667  	  0.471
13  	  N  	  0.615  	  0.471
14  	  R  	  0.643  	  0.529
15  	  N  	  0.600  	  0.529
16  	  N  	  0.562  	  0.529
17  	  N  	  0.529  	  0.529
18  	  N  	  0.500  	  0.529
19  	  N  	  0.474  	  0.529
20  	  N  	  0.450  	  0.529
21  	  N  	  0.429  	  0.529
22  	  N  	  0.409  	  0.529
23  	  N  	  0.391  	  0.529
24  	  N  	  0.375  	  0.529
25  	  N  	  0.360  	  0.529
26  	  N  	  0.346  	  0.529
27  	  N  	  0.333  	  0.529
28  	  N  	  0.321  	  0.529
29  	  N  	  0.310  	  0.529
30  	  N  	  0.300  	  0.529
31  	  N  	  0.290  	  0.529
32  	  N  	  0.281  	  0.529
33  	  N  	  0.273  	  0.529
34  	  N  	  0.265  	  0.529
35  	  R  	  0.286  	  0.588
36  	  R  	  0.306  	  0.647
37  	  N  	  0.297  	  0.647
38  	  N  	  0.289  	  0.647
39  	  N  	  0.282  	  0.647
40  	  N  	  0.275  	  0.647
41  	  N  	  0.268  	  0.647
42  	  N  	  0.262  	  0.647
43  	  N  	  0.256  	  0.647
44  	  N  	  0.250  	  0.647
45  	  N  	  0.244  	  0.647
46  	  N  	  0.239  	  0.647
47  	  N  	  0.234  	  0.647
48  	  N  	  0.229  	  0.647
49  	  R  	  0.245  	  0.706
50  	  N  	  0.240  	  0.706
51  	  N  	  0.235  	  0.706
52  	  N  	  0.231  	  0.706
53  	  N  	  0.226  	  0.706
54  	  N  	  0.222  	  0.706
55  	  R  	  0.236  	  0.765
56  	  N  	  0.232  	  0.765
57  	  N  	  0.228  	  0.765
58  	  N  	  0.224  	  0.765
59  	  N  	  0.220  	  0.765
60  	  N  	  0.217  	  0.765
61  	  N  	  0.213  	  0.765
62  	  N  	  0.210  	  0.765
63  	  N  	  0.206  	  0.765
64  	  N  	  0.203  	  0.765
65  	  N  	  0.200  	  0.765
66  	  N  	  0.197  	  0.765
67  	  N  	  0.194  	  0.765
68  	  N  	  0.191  	  0.765
69  	  N  	  0.188  	  0.765
70  	  N  	  0.186  	  0.765
71  	  N  	  0.183  	  0.765
72  	  N  	  0.181  	  0.765
73  	  N  	  0.178  	  0.765
74  	  N  	  0.176  	  0.765
75  	  N  	  0.173  	  0.765
76  	  N  	  0.171  	  0.765
77  	  N  	  0.169  	  0.765
78  	  N  	  0.167  	  0.765
79  	  N  	  0.165  	  0.765
80  	  N  	  0.163  	  0.765
81  	  N  	  0.160  	  0.765
82  	  N  	  0.159  	  0.765
83  	  N  	  0.157  	  0.765
84  	  N  	  0.155  	  0.765
85  	  N  	  0.153  	  0.765
86  	  N  	  0.151  	  0.765
87  	  N  	  0.149  	  0.765
88  	  N  	  0.148  	  0.765
89  	  N  	  0.146  	  0.765
90  	  N  	  0.144  	  0.765
91  	  N  	  0.143  	  0.765
92  	  N  	  0.141  	  0.765
93  	  N  	  0.140  	  0.765
94  	  N  	  0.138  	  0.765
95  	  N  	  0.137  	  0.765
96  	  N  	  0.135  	  0.765
97  	  N  	  0.134  	  0.765
98  	  N  	  0.133  	  0.765
99  	  N  	  0.131  	  0.765
100  	  N  	  0.130  	  0.765
