Query 25: penrfmcaroe etuvaliaon and modelling of computer systems

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  R  	  0.333  	  0.020
04  	  N  	  0.250  	  0.020
05  	  N  	  0.200  	  0.020
06  	  N  	  0.167  	  0.020
07  	  N  	  0.143  	  0.020
08  	  N  	  0.125  	  0.020
09  	  N  	  0.111  	  0.020
10  	  N  	  0.100  	  0.020
11  	  N  	  0.091  	  0.020
12  	  N  	  0.083  	  0.020
13  	  N  	  0.077  	  0.020
14  	  N  	  0.071  	  0.020
15  	  N  	  0.067  	  0.020
16  	  N  	  0.062  	  0.020
17  	  N  	  0.059  	  0.020
18  	  N  	  0.056  	  0.020
19  	  N  	  0.053  	  0.020
20  	  N  	  0.050  	  0.020
21  	  R  	  0.095  	  0.039
22  	  N  	  0.091  	  0.039
23  	  N  	  0.087  	  0.039
24  	  N  	  0.083  	  0.039
25  	  N  	  0.080  	  0.039
26  	  N  	  0.077  	  0.039
27  	  N  	  0.074  	  0.039
28  	  N  	  0.071  	  0.039
29  	  N  	  0.069  	  0.039
30  	  N  	  0.067  	  0.039
31  	  N  	  0.065  	  0.039
32  	  N  	  0.062  	  0.039
33  	  N  	  0.061  	  0.039
34  	  N  	  0.059  	  0.039
35  	  N  	  0.057  	  0.039
36  	  R  	  0.083  	  0.059
37  	  N  	  0.081  	  0.059
38  	  N  	  0.079  	  0.059
39  	  N  	  0.077  	  0.059
40  	  N  	  0.075  	  0.059
41  	  R  	  0.098  	  0.078
42  	  N  	  0.095  	  0.078
43  	  N  	  0.093  	  0.078
44  	  N  	  0.091  	  0.078
45  	  N  	  0.089  	  0.078
46  	  N  	  0.087  	  0.078
47  	  N  	  0.085  	  0.078
48  	  N  	  0.083  	  0.078
49  	  N  	  0.082  	  0.078
50  	  N  	  0.080  	  0.078
51  	  N  	  0.078  	  0.078
52  	  N  	  0.077  	  0.078
53  	  N  	  0.075  	  0.078
54  	  N  	  0.074  	  0.078
55  	  N  	  0.073  	  0.078
56  	  N  	  0.071  	  0.078
57  	  N  	  0.070  	  0.078
58  	  N  	  0.069  	  0.078
59  	  N  	  0.068  	  0.078
60  	  N  	  0.067  	  0.078
61  	  N  	  0.066  	  0.078
62  	  N  	  0.065  	  0.078
63  	  N  	  0.063  	  0.078
64  	  N  	  0.062  	  0.078
65  	  N  	  0.062  	  0.078
66  	  N  	  0.061  	  0.078
67  	  N  	  0.060  	  0.078
68  	  N  	  0.059  	  0.078
69  	  N  	  0.058  	  0.078
70  	  N  	  0.057  	  0.078
71  	  N  	  0.056  	  0.078
72  	  N  	  0.056  	  0.078
73  	  R  	  0.068  	  0.098
74  	  N  	  0.068  	  0.098
75  	  N  	  0.067  	  0.098
76  	  N  	  0.066  	  0.098
77  	  N  	  0.065  	  0.098
78  	  N  	  0.064  	  0.098
79  	  N  	  0.063  	  0.098
80  	  N  	  0.062  	  0.098
81  	  N  	  0.062  	  0.098
82  	  N  	  0.061  	  0.098
83  	  N  	  0.060  	  0.098
84  	  N  	  0.060  	  0.098
85  	  N  	  0.059  	  0.098
86  	  N  	  0.058  	  0.098
87  	  N  	  0.057  	  0.098
88  	  N  	  0.057  	  0.098
89  	  N  	  0.056  	  0.098
90  	  N  	  0.056  	  0.098
91  	  N  	  0.055  	  0.098
92  	  N  	  0.054  	  0.098
93  	  N  	  0.054  	  0.098
94  	  N  	  0.053  	  0.098
95  	  R  	  0.063  	  0.118
96  	  N  	  0.062  	  0.118
97  	  N  	  0.062  	  0.118
98  	  N  	  0.061  	  0.118
99  	  N  	  0.061  	  0.118
100  	  N  	  0.060  	  0.118
