Query 27: memory meaeganmnt aspects of oeptraing systems

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.034
02  	  R  	  1.000  	  0.069
03  	  R  	  1.000  	  0.103
04  	  N  	  0.750  	  0.103
05  	  N  	  0.600  	  0.103
06  	  R  	  0.667  	  0.138
07  	  R  	  0.714  	  0.172
08  	  R  	  0.750  	  0.207
09  	  N  	  0.667  	  0.207
10  	  N  	  0.600  	  0.207
11  	  N  	  0.545  	  0.207
12  	  N  	  0.500  	  0.207
13  	  N  	  0.462  	  0.207
14  	  R  	  0.500  	  0.241
15  	  N  	  0.467  	  0.241
16  	  N  	  0.438  	  0.241
17  	  R  	  0.471  	  0.276
18  	  N  	  0.444  	  0.276
19  	  N  	  0.421  	  0.276
20  	  N  	  0.400  	  0.276
21  	  N  	  0.381  	  0.276
22  	  N  	  0.364  	  0.276
23  	  N  	  0.348  	  0.276
24  	  N  	  0.333  	  0.276
25  	  N  	  0.320  	  0.276
26  	  N  	  0.308  	  0.276
27  	  N  	  0.296  	  0.276
28  	  N  	  0.286  	  0.276
29  	  R  	  0.310  	  0.310
30  	  N  	  0.300  	  0.310
31  	  N  	  0.290  	  0.310
32  	  N  	  0.281  	  0.310
33  	  N  	  0.273  	  0.310
34  	  R  	  0.294  	  0.345
35  	  N  	  0.286  	  0.345
36  	  R  	  0.306  	  0.379
37  	  N  	  0.297  	  0.379
38  	  N  	  0.289  	  0.379
39  	  R  	  0.308  	  0.414
40  	  N  	  0.300  	  0.414
41  	  N  	  0.293  	  0.414
42  	  N  	  0.286  	  0.414
43  	  N  	  0.279  	  0.414
44  	  R  	  0.295  	  0.448
45  	  N  	  0.289  	  0.448
46  	  N  	  0.283  	  0.448
47  	  N  	  0.277  	  0.448
48  	  N  	  0.271  	  0.448
49  	  N  	  0.265  	  0.448
50  	  N  	  0.260  	  0.448
51  	  N  	  0.255  	  0.448
52  	  N  	  0.250  	  0.448
53  	  N  	  0.245  	  0.448
54  	  N  	  0.241  	  0.448
55  	  N  	  0.236  	  0.448
56  	  R  	  0.250  	  0.483
57  	  N  	  0.246  	  0.483
58  	  N  	  0.241  	  0.483
59  	  N  	  0.237  	  0.483
60  	  N  	  0.233  	  0.483
61  	  N  	  0.230  	  0.483
62  	  N  	  0.226  	  0.483
63  	  N  	  0.222  	  0.483
64  	  R  	  0.234  	  0.517
65  	  N  	  0.231  	  0.517
66  	  N  	  0.227  	  0.517
67  	  R  	  0.239  	  0.552
68  	  N  	  0.235  	  0.552
69  	  N  	  0.232  	  0.552
70  	  N  	  0.229  	  0.552
71  	  R  	  0.239  	  0.586
72  	  N  	  0.236  	  0.586
73  	  N  	  0.233  	  0.586
74  	  N  	  0.230  	  0.586
75  	  N  	  0.227  	  0.586
76  	  R  	  0.237  	  0.621
77  	  N  	  0.234  	  0.621
78  	  N  	  0.231  	  0.621
79  	  N  	  0.228  	  0.621
80  	  N  	  0.225  	  0.621
81  	  N  	  0.222  	  0.621
82  	  N  	  0.220  	  0.621
83  	  N  	  0.217  	  0.621
84  	  N  	  0.214  	  0.621
85  	  N  	  0.212  	  0.621
86  	  N  	  0.209  	  0.621
87  	  N  	  0.207  	  0.621
88  	  N  	  0.205  	  0.621
89  	  N  	  0.202  	  0.621
90  	  N  	  0.200  	  0.621
91  	  N  	  0.198  	  0.621
92  	  N  	  0.196  	  0.621
93  	  N  	  0.194  	  0.621
94  	  N  	  0.191  	  0.621
95  	  N  	  0.189  	  0.621
96  	  N  	  0.188  	  0.621
97  	  N  	  0.186  	  0.621
98  	  N  	  0.184  	  0.621
99  	  R  	  0.192  	  0.655
100  	  N  	  0.190  	  0.655
