Query 29: number theroetic algmrithos esplciaely invloving prime number series sieves and chinese remadnier theorem

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.053
02  	  N  	  0.500  	  0.053
03  	  R  	  0.667  	  0.105
04  	  R  	  0.750  	  0.158
05  	  R  	  0.800  	  0.211
06  	  R  	  0.833  	  0.263
07  	  R  	  0.857  	  0.316
08  	  R  	  0.875  	  0.368
09  	  R  	  0.889  	  0.421
10  	  R  	  0.900  	  0.474
11  	  N  	  0.818  	  0.474
12  	  N  	  0.750  	  0.474
13  	  N  	  0.692  	  0.474
14  	  N  	  0.643  	  0.474
15  	  N  	  0.600  	  0.474
16  	  N  	  0.562  	  0.474
17  	  N  	  0.529  	  0.474
18  	  R  	  0.556  	  0.526
19  	  N  	  0.526  	  0.526
20  	  N  	  0.500  	  0.526
21  	  N  	  0.476  	  0.526
22  	  N  	  0.455  	  0.526
23  	  N  	  0.435  	  0.526
24  	  N  	  0.417  	  0.526
25  	  N  	  0.400  	  0.526
26  	  N  	  0.385  	  0.526
27  	  N  	  0.370  	  0.526
28  	  N  	  0.357  	  0.526
29  	  N  	  0.345  	  0.526
30  	  N  	  0.333  	  0.526
31  	  N  	  0.323  	  0.526
32  	  N  	  0.312  	  0.526
33  	  N  	  0.303  	  0.526
34  	  N  	  0.294  	  0.526
35  	  N  	  0.286  	  0.526
36  	  N  	  0.278  	  0.526
37  	  N  	  0.270  	  0.526
38  	  N  	  0.263  	  0.526
39  	  N  	  0.256  	  0.526
40  	  N  	  0.250  	  0.526
41  	  N  	  0.244  	  0.526
42  	  N  	  0.238  	  0.526
43  	  N  	  0.233  	  0.526
44  	  N  	  0.227  	  0.526
45  	  N  	  0.222  	  0.526
46  	  N  	  0.217  	  0.526
47  	  N  	  0.213  	  0.526
48  	  N  	  0.208  	  0.526
49  	  N  	  0.204  	  0.526
50  	  N  	  0.200  	  0.526
51  	  N  	  0.196  	  0.526
52  	  N  	  0.192  	  0.526
53  	  N  	  0.189  	  0.526
54  	  N  	  0.185  	  0.526
55  	  N  	  0.182  	  0.526
56  	  N  	  0.179  	  0.526
57  	  N  	  0.175  	  0.526
58  	  N  	  0.172  	  0.526
59  	  N  	  0.169  	  0.526
60  	  N  	  0.167  	  0.526
61  	  N  	  0.164  	  0.526
62  	  N  	  0.161  	  0.526
63  	  N  	  0.159  	  0.526
64  	  N  	  0.156  	  0.526
65  	  N  	  0.154  	  0.526
66  	  N  	  0.152  	  0.526
67  	  N  	  0.149  	  0.526
68  	  N  	  0.147  	  0.526
69  	  N  	  0.145  	  0.526
70  	  N  	  0.143  	  0.526
71  	  N  	  0.141  	  0.526
72  	  N  	  0.139  	  0.526
73  	  N  	  0.137  	  0.526
74  	  N  	  0.135  	  0.526
75  	  N  	  0.133  	  0.526
76  	  N  	  0.132  	  0.526
77  	  N  	  0.130  	  0.526
78  	  N  	  0.128  	  0.526
79  	  N  	  0.127  	  0.526
80  	  N  	  0.125  	  0.526
81  	  N  	  0.123  	  0.526
82  	  N  	  0.122  	  0.526
83  	  R  	  0.133  	  0.579
84  	  N  	  0.131  	  0.579
85  	  N  	  0.129  	  0.579
86  	  N  	  0.128  	  0.579
87  	  N  	  0.126  	  0.579
88  	  N  	  0.125  	  0.579
89  	  N  	  0.124  	  0.579
90  	  N  	  0.122  	  0.579
91  	  N  	  0.121  	  0.579
92  	  N  	  0.120  	  0.579
93  	  N  	  0.118  	  0.579
94  	  N  	  0.117  	  0.579
95  	  N  	  0.116  	  0.579
96  	  N  	  0.115  	  0.579
97  	  N  	  0.113  	  0.579
98  	  N  	  0.112  	  0.579
99  	  N  	  0.111  	  0.579
100  	  N  	  0.110  	  0.579
