Query 30: aeticlrs on text formaittng sytsems inclunidg what you see is what you get syetsms examelps t nroff scrbie bravo

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  N  	  0.000  	  0.000
07  	  N  	  0.000  	  0.000
08  	  N  	  0.000  	  0.000
09  	  N  	  0.000  	  0.000
10  	  N  	  0.000  	  0.000
11  	  N  	  0.000  	  0.000
12  	  N  	  0.000  	  0.000
13  	  N  	  0.000  	  0.000
14  	  N  	  0.000  	  0.000
15  	  N  	  0.000  	  0.000
16  	  N  	  0.000  	  0.000
17  	  N  	  0.000  	  0.000
18  	  N  	  0.000  	  0.000
19  	  N  	  0.000  	  0.000
20  	  N  	  0.000  	  0.000
21  	  N  	  0.000  	  0.000
22  	  N  	  0.000  	  0.000
23  	  N  	  0.000  	  0.000
24  	  N  	  0.000  	  0.000
25  	  N  	  0.000  	  0.000
26  	  N  	  0.000  	  0.000
27  	  N  	  0.000  	  0.000
28  	  N  	  0.000  	  0.000
29  	  N  	  0.000  	  0.000
30  	  N  	  0.000  	  0.000
31  	  N  	  0.000  	  0.000
32  	  N  	  0.000  	  0.000
33  	  N  	  0.000  	  0.000
34  	  N  	  0.000  	  0.000
35  	  N  	  0.000  	  0.000
36  	  N  	  0.000  	  0.000
37  	  N  	  0.000  	  0.000
38  	  N  	  0.000  	  0.000
39  	  N  	  0.000  	  0.000
40  	  N  	  0.000  	  0.000
41  	  N  	  0.000  	  0.000
42  	  N  	  0.000  	  0.000
43  	  N  	  0.000  	  0.000
44  	  N  	  0.000  	  0.000
45  	  R  	  0.022  	  0.250
46  	  N  	  0.022  	  0.250
47  	  N  	  0.021  	  0.250
48  	  N  	  0.021  	  0.250
49  	  N  	  0.020  	  0.250
50  	  N  	  0.020  	  0.250
51  	  N  	  0.020  	  0.250
52  	  N  	  0.019  	  0.250
53  	  N  	  0.019  	  0.250
54  	  N  	  0.019  	  0.250
55  	  N  	  0.018  	  0.250
56  	  N  	  0.018  	  0.250
57  	  N  	  0.018  	  0.250
58  	  N  	  0.017  	  0.250
59  	  N  	  0.017  	  0.250
60  	  N  	  0.017  	  0.250
61  	  N  	  0.016  	  0.250
62  	  R  	  0.032  	  0.500
63  	  R  	  0.048  	  0.750
64  	  R  	  0.062  	  1.000
65  	  N  	  0.062  	  1.000
66  	  N  	  0.061  	  1.000
67  	  N  	  0.060  	  1.000
68  	  N  	  0.059  	  1.000
69  	  N  	  0.058  	  1.000
70  	  N  	  0.057  	  1.000
71  	  N  	  0.056  	  1.000
72  	  N  	  0.056  	  1.000
73  	  N  	  0.055  	  1.000
74  	  N  	  0.054  	  1.000
75  	  N  	  0.053  	  1.000
76  	  N  	  0.053  	  1.000
77  	  N  	  0.052  	  1.000
78  	  N  	  0.051  	  1.000
79  	  N  	  0.051  	  1.000
80  	  N  	  0.050  	  1.000
81  	  N  	  0.049  	  1.000
82  	  N  	  0.049  	  1.000
83  	  N  	  0.048  	  1.000
84  	  N  	  0.048  	  1.000
85  	  N  	  0.047  	  1.000
86  	  N  	  0.047  	  1.000
87  	  N  	  0.046  	  1.000
88  	  N  	  0.045  	  1.000
89  	  N  	  0.045  	  1.000
90  	  N  	  0.044  	  1.000
91  	  N  	  0.044  	  1.000
92  	  N  	  0.043  	  1.000
93  	  N  	  0.043  	  1.000
94  	  N  	  0.043  	  1.000
95  	  N  	  0.042  	  1.000
96  	  N  	  0.042  	  1.000
97  	  N  	  0.041  	  1.000
98  	  N  	  0.041  	  1.000
99  	  N  	  0.040  	  1.000
100  	  N  	  0.040  	  1.000
