Query 36: fast algtriohm for context free lgnguaae recogiitnon or parsing

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.050
02  	  N  	  0.500  	  0.050
03  	  N  	  0.333  	  0.050
04  	  N  	  0.250  	  0.050
05  	  R  	  0.400  	  0.100
06  	  N  	  0.333  	  0.100
07  	  R  	  0.429  	  0.150
08  	  N  	  0.375  	  0.150
09  	  N  	  0.333  	  0.150
10  	  R  	  0.400  	  0.200
11  	  R  	  0.455  	  0.250
12  	  R  	  0.500  	  0.300
13  	  R  	  0.538  	  0.350
14  	  N  	  0.500  	  0.350
15  	  N  	  0.467  	  0.350
16  	  R  	  0.500  	  0.400
17  	  R  	  0.529  	  0.450
18  	  R  	  0.556  	  0.500
19  	  N  	  0.526  	  0.500
20  	  N  	  0.500  	  0.500
21  	  R  	  0.524  	  0.550
22  	  N  	  0.500  	  0.550
23  	  N  	  0.478  	  0.550
24  	  N  	  0.458  	  0.550
25  	  N  	  0.440  	  0.550
26  	  R  	  0.462  	  0.600
27  	  N  	  0.444  	  0.600
28  	  N  	  0.429  	  0.600
29  	  N  	  0.414  	  0.600
30  	  R  	  0.433  	  0.650
31  	  N  	  0.419  	  0.650
32  	  N  	  0.406  	  0.650
33  	  R  	  0.424  	  0.700
34  	  N  	  0.412  	  0.700
35  	  N  	  0.400  	  0.700
36  	  R  	  0.417  	  0.750
37  	  N  	  0.405  	  0.750
38  	  N  	  0.395  	  0.750
39  	  N  	  0.385  	  0.750
40  	  N  	  0.375  	  0.750
41  	  N  	  0.366  	  0.750
42  	  N  	  0.357  	  0.750
43  	  N  	  0.349  	  0.750
44  	  N  	  0.341  	  0.750
45  	  N  	  0.333  	  0.750
46  	  N  	  0.326  	  0.750
47  	  N  	  0.319  	  0.750
48  	  N  	  0.312  	  0.750
49  	  N  	  0.306  	  0.750
50  	  N  	  0.300  	  0.750
51  	  N  	  0.294  	  0.750
52  	  N  	  0.288  	  0.750
53  	  N  	  0.283  	  0.750
54  	  N  	  0.278  	  0.750
55  	  N  	  0.273  	  0.750
56  	  N  	  0.268  	  0.750
57  	  N  	  0.263  	  0.750
58  	  N  	  0.259  	  0.750
59  	  N  	  0.254  	  0.750
60  	  N  	  0.250  	  0.750
61  	  N  	  0.246  	  0.750
62  	  N  	  0.242  	  0.750
63  	  N  	  0.238  	  0.750
64  	  N  	  0.234  	  0.750
65  	  N  	  0.231  	  0.750
66  	  N  	  0.227  	  0.750
67  	  N  	  0.224  	  0.750
68  	  N  	  0.221  	  0.750
69  	  N  	  0.217  	  0.750
70  	  N  	  0.214  	  0.750
71  	  N  	  0.211  	  0.750
72  	  N  	  0.208  	  0.750
73  	  N  	  0.205  	  0.750
74  	  N  	  0.203  	  0.750
75  	  N  	  0.200  	  0.750
76  	  N  	  0.197  	  0.750
77  	  N  	  0.195  	  0.750
78  	  N  	  0.192  	  0.750
79  	  N  	  0.190  	  0.750
80  	  N  	  0.188  	  0.750
81  	  N  	  0.185  	  0.750
82  	  N  	  0.183  	  0.750
83  	  N  	  0.181  	  0.750
84  	  N  	  0.179  	  0.750
85  	  N  	  0.176  	  0.750
86  	  N  	  0.174  	  0.750
87  	  N  	  0.172  	  0.750
88  	  N  	  0.170  	  0.750
89  	  N  	  0.169  	  0.750
90  	  N  	  0.167  	  0.750
91  	  N  	  0.165  	  0.750
92  	  N  	  0.163  	  0.750
93  	  N  	  0.161  	  0.750
94  	  N  	  0.160  	  0.750
95  	  N  	  0.158  	  0.750
96  	  N  	  0.156  	  0.750
97  	  N  	  0.155  	  0.750
98  	  N  	  0.153  	  0.750
99  	  N  	  0.152  	  0.750
100  	  R  	  0.160  	  0.800
