Query 37: aicelrts debrnisicg the rohtaesilnip btweeen data teyps and cnrucrnecoy e g what is the type of a prcseos when is a scaoortihyninzn aettmpt beweten two psesecors type ccorret in a mssgeae pasinsg ssteym is three any nootin of the tpyes of msgsaees i e any way to check that the sedenr of the msaegse and the rveiecer are both ttrinaeg the bit srteam as some pruatlciar type

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  R  	  0.167  	  0.083
07  	  R  	  0.286  	  0.167
08  	  N  	  0.250  	  0.167
09  	  N  	  0.222  	  0.167
10  	  N  	  0.200  	  0.167
11  	  N  	  0.182  	  0.167
12  	  N  	  0.167  	  0.167
13  	  R  	  0.231  	  0.250
14  	  N  	  0.214  	  0.250
15  	  N  	  0.200  	  0.250
16  	  R  	  0.250  	  0.333
17  	  N  	  0.235  	  0.333
18  	  N  	  0.222  	  0.333
19  	  N  	  0.211  	  0.333
20  	  N  	  0.200  	  0.333
21  	  N  	  0.190  	  0.333
22  	  N  	  0.182  	  0.333
23  	  N  	  0.174  	  0.333
24  	  N  	  0.167  	  0.333
25  	  N  	  0.160  	  0.333
26  	  N  	  0.154  	  0.333
27  	  N  	  0.148  	  0.333
28  	  N  	  0.143  	  0.333
29  	  N  	  0.138  	  0.333
30  	  N  	  0.133  	  0.333
31  	  N  	  0.129  	  0.333
32  	  N  	  0.125  	  0.333
33  	  N  	  0.121  	  0.333
34  	  N  	  0.118  	  0.333
35  	  N  	  0.114  	  0.333
36  	  N  	  0.111  	  0.333
37  	  N  	  0.108  	  0.333
38  	  N  	  0.105  	  0.333
39  	  N  	  0.103  	  0.333
40  	  N  	  0.100  	  0.333
41  	  N  	  0.098  	  0.333
42  	  N  	  0.095  	  0.333
43  	  N  	  0.093  	  0.333
44  	  N  	  0.091  	  0.333
45  	  N  	  0.089  	  0.333
46  	  N  	  0.087  	  0.333
47  	  N  	  0.085  	  0.333
48  	  N  	  0.083  	  0.333
49  	  N  	  0.082  	  0.333
50  	  N  	  0.080  	  0.333
51  	  N  	  0.078  	  0.333
52  	  N  	  0.077  	  0.333
53  	  N  	  0.075  	  0.333
54  	  N  	  0.074  	  0.333
55  	  N  	  0.073  	  0.333
56  	  N  	  0.071  	  0.333
57  	  N  	  0.070  	  0.333
58  	  N  	  0.069  	  0.333
59  	  N  	  0.068  	  0.333
60  	  N  	  0.067  	  0.333
61  	  N  	  0.066  	  0.333
62  	  N  	  0.065  	  0.333
63  	  N  	  0.063  	  0.333
64  	  N  	  0.062  	  0.333
65  	  N  	  0.062  	  0.333
66  	  N  	  0.061  	  0.333
67  	  N  	  0.060  	  0.333
68  	  N  	  0.059  	  0.333
69  	  N  	  0.058  	  0.333
70  	  R  	  0.071  	  0.417
71  	  N  	  0.070  	  0.417
72  	  N  	  0.069  	  0.417
73  	  N  	  0.068  	  0.417
74  	  N  	  0.068  	  0.417
75  	  N  	  0.067  	  0.417
76  	  N  	  0.066  	  0.417
77  	  N  	  0.065  	  0.417
78  	  N  	  0.064  	  0.417
79  	  N  	  0.063  	  0.417
80  	  N  	  0.062  	  0.417
81  	  N  	  0.062  	  0.417
82  	  N  	  0.061  	  0.417
83  	  N  	  0.060  	  0.417
84  	  N  	  0.060  	  0.417
85  	  N  	  0.059  	  0.417
86  	  N  	  0.058  	  0.417
87  	  N  	  0.057  	  0.417
88  	  N  	  0.057  	  0.417
89  	  N  	  0.056  	  0.417
90  	  N  	  0.056  	  0.417
91  	  N  	  0.055  	  0.417
92  	  N  	  0.054  	  0.417
93  	  N  	  0.054  	  0.417
94  	  N  	  0.053  	  0.417
95  	  N  	  0.053  	  0.417
96  	  N  	  0.052  	  0.417
97  	  N  	  0.052  	  0.417
98  	  N  	  0.051  	  0.417
99  	  N  	  0.051  	  0.417
100  	  N  	  0.050  	  0.417
