Query 39: what does type cbilotaptiimy mean in lugegaans that alolw pmmgroerar deeifnd types you might want to rtceisrt this to esbltinxee leaagnugs that allow doitnfiein of abtrcsat data types or pomagmrrer speilupd dnitinoiefs of oreaptors like

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.083
02  	  N  	  0.500  	  0.083
03  	  N  	  0.333  	  0.083
04  	  N  	  0.250  	  0.083
05  	  N  	  0.200  	  0.083
06  	  N  	  0.167  	  0.083
07  	  N  	  0.143  	  0.083
08  	  N  	  0.125  	  0.083
09  	  R  	  0.222  	  0.167
10  	  N  	  0.200  	  0.167
11  	  N  	  0.182  	  0.167
12  	  N  	  0.167  	  0.167
13  	  N  	  0.154  	  0.167
14  	  N  	  0.143  	  0.167
15  	  N  	  0.133  	  0.167
16  	  R  	  0.188  	  0.250
17  	  N  	  0.176  	  0.250
18  	  R  	  0.222  	  0.333
19  	  R  	  0.263  	  0.417
20  	  N  	  0.250  	  0.417
21  	  R  	  0.286  	  0.500
22  	  N  	  0.273  	  0.500
23  	  N  	  0.261  	  0.500
24  	  N  	  0.250  	  0.500
25  	  N  	  0.240  	  0.500
26  	  N  	  0.231  	  0.500
27  	  N  	  0.222  	  0.500
28  	  N  	  0.214  	  0.500
29  	  R  	  0.241  	  0.583
30  	  R  	  0.267  	  0.667
31  	  N  	  0.258  	  0.667
32  	  N  	  0.250  	  0.667
33  	  N  	  0.242  	  0.667
34  	  R  	  0.265  	  0.750
35  	  N  	  0.257  	  0.750
36  	  N  	  0.250  	  0.750
37  	  N  	  0.243  	  0.750
38  	  N  	  0.237  	  0.750
39  	  N  	  0.231  	  0.750
40  	  N  	  0.225  	  0.750
41  	  N  	  0.220  	  0.750
42  	  N  	  0.214  	  0.750
43  	  N  	  0.209  	  0.750
44  	  N  	  0.205  	  0.750
45  	  N  	  0.200  	  0.750
46  	  N  	  0.196  	  0.750
47  	  N  	  0.191  	  0.750
48  	  N  	  0.188  	  0.750
49  	  N  	  0.184  	  0.750
50  	  N  	  0.180  	  0.750
51  	  N  	  0.176  	  0.750
52  	  N  	  0.173  	  0.750
53  	  N  	  0.170  	  0.750
54  	  N  	  0.167  	  0.750
55  	  N  	  0.164  	  0.750
56  	  N  	  0.161  	  0.750
57  	  N  	  0.158  	  0.750
58  	  N  	  0.155  	  0.750
59  	  N  	  0.153  	  0.750
60  	  N  	  0.150  	  0.750
61  	  N  	  0.148  	  0.750
62  	  N  	  0.145  	  0.750
63  	  N  	  0.143  	  0.750
64  	  N  	  0.141  	  0.750
65  	  N  	  0.138  	  0.750
66  	  N  	  0.136  	  0.750
67  	  N  	  0.134  	  0.750
68  	  N  	  0.132  	  0.750
69  	  N  	  0.130  	  0.750
70  	  N  	  0.129  	  0.750
71  	  N  	  0.127  	  0.750
72  	  N  	  0.125  	  0.750
73  	  N  	  0.123  	  0.750
74  	  N  	  0.122  	  0.750
75  	  N  	  0.120  	  0.750
76  	  N  	  0.118  	  0.750
77  	  N  	  0.117  	  0.750
78  	  N  	  0.115  	  0.750
79  	  N  	  0.114  	  0.750
80  	  N  	  0.113  	  0.750
81  	  N  	  0.111  	  0.750
82  	  N  	  0.110  	  0.750
83  	  N  	  0.108  	  0.750
84  	  N  	  0.107  	  0.750
85  	  N  	  0.106  	  0.750
86  	  N  	  0.105  	  0.750
87  	  N  	  0.103  	  0.750
88  	  N  	  0.102  	  0.750
89  	  N  	  0.101  	  0.750
90  	  N  	  0.100  	  0.750
91  	  N  	  0.099  	  0.750
92  	  N  	  0.098  	  0.750
93  	  N  	  0.097  	  0.750
94  	  N  	  0.096  	  0.750
95  	  N  	  0.095  	  0.750
96  	  N  	  0.094  	  0.750
97  	  N  	  0.093  	  0.750
98  	  N  	  0.092  	  0.750
99  	  N  	  0.091  	  0.750
100  	  N  	  0.090  	  0.750
