Query 43: asalynis and percipteon of shape by humans and compuetrs shape descriptions shape recgonition by coupmter two damensionil shapes msaeures of circuliraty shape matching

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  R  	  0.200  	  0.024
06  	  R  	  0.333  	  0.049
07  	  N  	  0.286  	  0.049
08  	  N  	  0.250  	  0.049
09  	  N  	  0.222  	  0.049
10  	  N  	  0.200  	  0.049
11  	  R  	  0.273  	  0.073
12  	  R  	  0.333  	  0.098
13  	  N  	  0.308  	  0.098
14  	  N  	  0.286  	  0.098
15  	  N  	  0.267  	  0.098
16  	  N  	  0.250  	  0.098
17  	  N  	  0.235  	  0.098
18  	  N  	  0.222  	  0.098
19  	  N  	  0.211  	  0.098
20  	  N  	  0.200  	  0.098
21  	  N  	  0.190  	  0.098
22  	  N  	  0.182  	  0.098
23  	  N  	  0.174  	  0.098
24  	  N  	  0.167  	  0.098
25  	  N  	  0.160  	  0.098
26  	  N  	  0.154  	  0.098
27  	  N  	  0.148  	  0.098
28  	  N  	  0.143  	  0.098
29  	  N  	  0.138  	  0.098
30  	  N  	  0.133  	  0.098
31  	  N  	  0.129  	  0.098
32  	  N  	  0.125  	  0.098
33  	  N  	  0.121  	  0.098
34  	  N  	  0.118  	  0.098
35  	  N  	  0.114  	  0.098
36  	  N  	  0.111  	  0.098
37  	  N  	  0.108  	  0.098
38  	  N  	  0.105  	  0.098
39  	  N  	  0.103  	  0.098
40  	  N  	  0.100  	  0.098
41  	  N  	  0.098  	  0.098
42  	  N  	  0.095  	  0.098
43  	  N  	  0.093  	  0.098
44  	  N  	  0.091  	  0.098
45  	  N  	  0.089  	  0.098
46  	  N  	  0.087  	  0.098
47  	  N  	  0.085  	  0.098
48  	  N  	  0.083  	  0.098
49  	  N  	  0.082  	  0.098
50  	  N  	  0.080  	  0.098
51  	  N  	  0.078  	  0.098
52  	  N  	  0.077  	  0.098
53  	  N  	  0.075  	  0.098
54  	  N  	  0.074  	  0.098
55  	  N  	  0.073  	  0.098
56  	  N  	  0.071  	  0.098
57  	  N  	  0.070  	  0.098
58  	  N  	  0.069  	  0.098
59  	  N  	  0.068  	  0.098
60  	  N  	  0.067  	  0.098
61  	  N  	  0.066  	  0.098
62  	  N  	  0.065  	  0.098
63  	  N  	  0.063  	  0.098
64  	  N  	  0.062  	  0.098
65  	  N  	  0.062  	  0.098
66  	  N  	  0.061  	  0.098
67  	  N  	  0.060  	  0.098
68  	  N  	  0.059  	  0.098
69  	  N  	  0.058  	  0.098
70  	  N  	  0.057  	  0.098
71  	  R  	  0.070  	  0.122
72  	  N  	  0.069  	  0.122
73  	  N  	  0.068  	  0.122
74  	  N  	  0.068  	  0.122
75  	  N  	  0.067  	  0.122
76  	  N  	  0.066  	  0.122
77  	  N  	  0.065  	  0.122
78  	  R  	  0.077  	  0.146
79  	  R  	  0.089  	  0.171
80  	  N  	  0.087  	  0.171
81  	  N  	  0.086  	  0.171
82  	  N  	  0.085  	  0.171
83  	  N  	  0.084  	  0.171
84  	  N  	  0.083  	  0.171
85  	  N  	  0.082  	  0.171
86  	  R  	  0.093  	  0.195
87  	  N  	  0.092  	  0.195
88  	  N  	  0.091  	  0.195
89  	  N  	  0.090  	  0.195
90  	  N  	  0.089  	  0.195
91  	  N  	  0.088  	  0.195
92  	  N  	  0.087  	  0.195
93  	  N  	  0.086  	  0.195
94  	  N  	  0.085  	  0.195
95  	  R  	  0.095  	  0.220
96  	  N  	  0.094  	  0.220
97  	  N  	  0.093  	  0.220
98  	  N  	  0.092  	  0.220
99  	  N  	  0.091  	  0.220
100  	  N  	  0.090  	  0.220
