Query 58: ahigmlrtos or ssataicttil pcaakges for anova rosregeisn using least serqaus or gleirzeenad linear models system design cabepliitias saitttaicsl formula are of iestnret student s t test wicolxon and sign tests maaiutilvtre and untivairae cmnpneoots can be ielcundd

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  R  	  0.200  	  0.033
06  	  N  	  0.167  	  0.033
07  	  R  	  0.286  	  0.067
08  	  N  	  0.250  	  0.067
09  	  N  	  0.222  	  0.067
10  	  N  	  0.200  	  0.067
11  	  N  	  0.182  	  0.067
12  	  N  	  0.167  	  0.067
13  	  N  	  0.154  	  0.067
14  	  N  	  0.143  	  0.067
15  	  N  	  0.133  	  0.067
16  	  N  	  0.125  	  0.067
17  	  N  	  0.118  	  0.067
18  	  N  	  0.111  	  0.067
19  	  N  	  0.105  	  0.067
20  	  N  	  0.100  	  0.067
21  	  N  	  0.095  	  0.067
22  	  N  	  0.091  	  0.067
23  	  N  	  0.087  	  0.067
24  	  N  	  0.083  	  0.067
25  	  N  	  0.080  	  0.067
26  	  N  	  0.077  	  0.067
27  	  N  	  0.074  	  0.067
28  	  N  	  0.071  	  0.067
29  	  N  	  0.069  	  0.067
30  	  N  	  0.067  	  0.067
31  	  N  	  0.065  	  0.067
32  	  N  	  0.062  	  0.067
33  	  N  	  0.061  	  0.067
34  	  N  	  0.059  	  0.067
35  	  N  	  0.057  	  0.067
36  	  N  	  0.056  	  0.067
37  	  N  	  0.054  	  0.067
38  	  N  	  0.053  	  0.067
39  	  N  	  0.051  	  0.067
40  	  N  	  0.050  	  0.067
41  	  N  	  0.049  	  0.067
42  	  N  	  0.048  	  0.067
43  	  N  	  0.047  	  0.067
44  	  N  	  0.045  	  0.067
45  	  N  	  0.044  	  0.067
46  	  N  	  0.043  	  0.067
47  	  N  	  0.043  	  0.067
48  	  N  	  0.042  	  0.067
49  	  N  	  0.041  	  0.067
50  	  N  	  0.040  	  0.067
51  	  N  	  0.039  	  0.067
52  	  N  	  0.038  	  0.067
53  	  N  	  0.038  	  0.067
54  	  N  	  0.037  	  0.067
55  	  R  	  0.055  	  0.100
56  	  N  	  0.054  	  0.100
57  	  N  	  0.053  	  0.100
58  	  N  	  0.052  	  0.100
59  	  N  	  0.051  	  0.100
60  	  N  	  0.050  	  0.100
61  	  N  	  0.049  	  0.100
62  	  N  	  0.048  	  0.100
63  	  N  	  0.048  	  0.100
64  	  N  	  0.047  	  0.100
65  	  N  	  0.046  	  0.100
66  	  N  	  0.045  	  0.100
67  	  N  	  0.045  	  0.100
68  	  N  	  0.044  	  0.100
69  	  N  	  0.043  	  0.100
70  	  N  	  0.043  	  0.100
71  	  N  	  0.042  	  0.100
72  	  N  	  0.042  	  0.100
73  	  N  	  0.041  	  0.100
74  	  N  	  0.041  	  0.100
75  	  N  	  0.040  	  0.100
76  	  N  	  0.039  	  0.100
77  	  N  	  0.039  	  0.100
78  	  N  	  0.038  	  0.100
79  	  N  	  0.038  	  0.100
80  	  N  	  0.037  	  0.100
81  	  N  	  0.037  	  0.100
82  	  N  	  0.037  	  0.100
83  	  N  	  0.036  	  0.100
84  	  N  	  0.036  	  0.100
85  	  N  	  0.035  	  0.100
86  	  N  	  0.035  	  0.100
87  	  N  	  0.034  	  0.100
88  	  N  	  0.034  	  0.100
89  	  N  	  0.034  	  0.100
90  	  N  	  0.033  	  0.100
91  	  N  	  0.033  	  0.100
92  	  N  	  0.033  	  0.100
93  	  N  	  0.032  	  0.100
94  	  N  	  0.032  	  0.100
95  	  N  	  0.032  	  0.100
96  	  N  	  0.031  	  0.100
97  	  N  	  0.031  	  0.100
98  	  N  	  0.031  	  0.100
99  	  N  	  0.030  	  0.100
100  	  N  	  0.030  	  0.100
