Query 9: sciteruy crisodnenoitas in local networks network orpineatg systems and dirtbutseid systems

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  N  	  0.000  	  0.000
07  	  N  	  0.000  	  0.000
08  	  N  	  0.000  	  0.000
09  	  N  	  0.000  	  0.000
10  	  N  	  0.000  	  0.000
11  	  N  	  0.000  	  0.000
12  	  N  	  0.000  	  0.000
13  	  N  	  0.000  	  0.000
14  	  N  	  0.000  	  0.000
15  	  N  	  0.000  	  0.000
16  	  N  	  0.000  	  0.000
17  	  N  	  0.000  	  0.000
18  	  N  	  0.000  	  0.000
19  	  N  	  0.000  	  0.000
20  	  N  	  0.000  	  0.000
21  	  N  	  0.000  	  0.000
22  	  N  	  0.000  	  0.000
23  	  N  	  0.000  	  0.000
24  	  N  	  0.000  	  0.000
25  	  N  	  0.000  	  0.000
26  	  N  	  0.000  	  0.000
27  	  N  	  0.000  	  0.000
28  	  R  	  0.036  	  0.111
29  	  N  	  0.034  	  0.111
30  	  N  	  0.033  	  0.111
31  	  N  	  0.032  	  0.111
32  	  N  	  0.031  	  0.111
33  	  N  	  0.030  	  0.111
34  	  R  	  0.059  	  0.222
35  	  N  	  0.057  	  0.222
36  	  N  	  0.056  	  0.222
37  	  N  	  0.054  	  0.222
38  	  N  	  0.053  	  0.222
39  	  N  	  0.051  	  0.222
40  	  N  	  0.050  	  0.222
41  	  N  	  0.049  	  0.222
42  	  N  	  0.048  	  0.222
43  	  N  	  0.047  	  0.222
44  	  N  	  0.045  	  0.222
45  	  N  	  0.044  	  0.222
46  	  N  	  0.043  	  0.222
47  	  N  	  0.043  	  0.222
48  	  N  	  0.042  	  0.222
49  	  N  	  0.041  	  0.222
50  	  N  	  0.040  	  0.222
51  	  N  	  0.039  	  0.222
52  	  N  	  0.038  	  0.222
53  	  N  	  0.038  	  0.222
54  	  N  	  0.037  	  0.222
55  	  N  	  0.036  	  0.222
56  	  N  	  0.036  	  0.222
57  	  N  	  0.035  	  0.222
58  	  N  	  0.034  	  0.222
59  	  N  	  0.034  	  0.222
60  	  N  	  0.033  	  0.222
61  	  N  	  0.033  	  0.222
62  	  N  	  0.032  	  0.222
63  	  N  	  0.032  	  0.222
64  	  N  	  0.031  	  0.222
65  	  N  	  0.031  	  0.222
66  	  N  	  0.030  	  0.222
67  	  N  	  0.030  	  0.222
68  	  N  	  0.029  	  0.222
69  	  N  	  0.029  	  0.222
70  	  N  	  0.029  	  0.222
71  	  N  	  0.028  	  0.222
72  	  N  	  0.028  	  0.222
73  	  N  	  0.027  	  0.222
74  	  N  	  0.027  	  0.222
75  	  N  	  0.027  	  0.222
76  	  N  	  0.026  	  0.222
77  	  N  	  0.026  	  0.222
78  	  N  	  0.026  	  0.222
79  	  N  	  0.025  	  0.222
80  	  N  	  0.025  	  0.222
81  	  N  	  0.025  	  0.222
82  	  N  	  0.024  	  0.222
83  	  N  	  0.024  	  0.222
84  	  N  	  0.024  	  0.222
85  	  N  	  0.024  	  0.222
86  	  N  	  0.023  	  0.222
87  	  N  	  0.023  	  0.222
88  	  N  	  0.023  	  0.222
89  	  N  	  0.022  	  0.222
90  	  N  	  0.022  	  0.222
91  	  N  	  0.022  	  0.222
92  	  N  	  0.022  	  0.222
93  	  N  	  0.022  	  0.222
94  	  N  	  0.021  	  0.222
95  	  N  	  0.021  	  0.222
96  	  N  	  0.021  	  0.222
97  	  N  	  0.021  	  0.222
98  	  N  	  0.020  	  0.222
99  	  N  	  0.020  	  0.222
100  	  N  	  0.020  	  0.222
