Query 10: parallel lngaueags languages for parallel coimuatotpn

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.029
02  	  R  	  1.000  	  0.057
03  	  R  	  1.000  	  0.086
04  	  N  	  0.750  	  0.086
05  	  N  	  0.600  	  0.086
06  	  N  	  0.500  	  0.086
07  	  R  	  0.571  	  0.114
08  	  R  	  0.625  	  0.143
09  	  R  	  0.667  	  0.171
10  	  N  	  0.600  	  0.171
11  	  N  	  0.545  	  0.171
12  	  R  	  0.583  	  0.200
13  	  R  	  0.615  	  0.229
14  	  N  	  0.571  	  0.229
15  	  N  	  0.533  	  0.229
16  	  R  	  0.562  	  0.257
17  	  N  	  0.529  	  0.257
18  	  N  	  0.500  	  0.257
19  	  N  	  0.474  	  0.257
20  	  R  	  0.500  	  0.286
21  	  R  	  0.524  	  0.314
22  	  R  	  0.545  	  0.343
23  	  N  	  0.522  	  0.343
24  	  N  	  0.500  	  0.343
25  	  N  	  0.480  	  0.343
26  	  N  	  0.462  	  0.343
27  	  R  	  0.481  	  0.371
28  	  N  	  0.464  	  0.371
29  	  N  	  0.448  	  0.371
30  	  N  	  0.433  	  0.371
31  	  N  	  0.419  	  0.371
32  	  N  	  0.406  	  0.371
33  	  R  	  0.424  	  0.400
34  	  N  	  0.412  	  0.400
35  	  N  	  0.400  	  0.400
36  	  N  	  0.389  	  0.400
37  	  N  	  0.378  	  0.400
38  	  R  	  0.395  	  0.429
39  	  N  	  0.385  	  0.429
40  	  N  	  0.375  	  0.429
41  	  N  	  0.366  	  0.429
42  	  N  	  0.357  	  0.429
43  	  N  	  0.349  	  0.429
44  	  N  	  0.341  	  0.429
45  	  R  	  0.356  	  0.457
46  	  N  	  0.348  	  0.457
47  	  N  	  0.340  	  0.457
48  	  N  	  0.333  	  0.457
49  	  N  	  0.327  	  0.457
50  	  N  	  0.320  	  0.457
51  	  N  	  0.314  	  0.457
52  	  N  	  0.308  	  0.457
53  	  N  	  0.302  	  0.457
54  	  N  	  0.296  	  0.457
55  	  N  	  0.291  	  0.457
56  	  N  	  0.286  	  0.457
57  	  N  	  0.281  	  0.457
58  	  N  	  0.276  	  0.457
59  	  N  	  0.271  	  0.457
60  	  N  	  0.267  	  0.457
61  	  R  	  0.279  	  0.486
62  	  N  	  0.274  	  0.486
63  	  N  	  0.270  	  0.486
64  	  N  	  0.266  	  0.486
65  	  N  	  0.262  	  0.486
66  	  R  	  0.273  	  0.514
67  	  N  	  0.269  	  0.514
68  	  N  	  0.265  	  0.514
69  	  N  	  0.261  	  0.514
70  	  N  	  0.257  	  0.514
71  	  N  	  0.254  	  0.514
72  	  N  	  0.250  	  0.514
73  	  N  	  0.247  	  0.514
74  	  R  	  0.257  	  0.543
75  	  N  	  0.253  	  0.543
76  	  N  	  0.250  	  0.543
77  	  N  	  0.247  	  0.543
78  	  N  	  0.244  	  0.543
79  	  N  	  0.241  	  0.543
80  	  N  	  0.237  	  0.543
81  	  N  	  0.235  	  0.543
82  	  N  	  0.232  	  0.543
83  	  N  	  0.229  	  0.543
84  	  N  	  0.226  	  0.543
85  	  N  	  0.224  	  0.543
86  	  N  	  0.221  	  0.543
87  	  N  	  0.218  	  0.543
88  	  N  	  0.216  	  0.543
89  	  N  	  0.213  	  0.543
90  	  N  	  0.211  	  0.543
91  	  R  	  0.220  	  0.571
92  	  N  	  0.217  	  0.571
93  	  N  	  0.215  	  0.571
94  	  R  	  0.223  	  0.600
95  	  N  	  0.221  	  0.600
96  	  N  	  0.219  	  0.600
97  	  N  	  0.216  	  0.600
98  	  N  	  0.214  	  0.600
99  	  N  	  0.212  	  0.600
100  	  N  	  0.210  	  0.600
