Query 25: penrfmcaroe etuvaliaon and modelling of computer systems

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.020
02  	  N  	  0.500  	  0.020
03  	  R  	  0.667  	  0.039
04  	  R  	  0.750  	  0.059
05  	  N  	  0.600  	  0.059
06  	  N  	  0.500  	  0.059
07  	  N  	  0.429  	  0.059
08  	  R  	  0.500  	  0.078
09  	  N  	  0.444  	  0.078
10  	  R  	  0.500  	  0.098
11  	  N  	  0.455  	  0.098
12  	  N  	  0.417  	  0.098
13  	  N  	  0.385  	  0.098
14  	  R  	  0.429  	  0.118
15  	  R  	  0.467  	  0.137
16  	  N  	  0.438  	  0.137
17  	  N  	  0.412  	  0.137
18  	  N  	  0.389  	  0.137
19  	  N  	  0.368  	  0.137
20  	  N  	  0.350  	  0.137
21  	  N  	  0.333  	  0.137
22  	  N  	  0.318  	  0.137
23  	  R  	  0.348  	  0.157
24  	  R  	  0.375  	  0.176
25  	  N  	  0.360  	  0.176
26  	  N  	  0.346  	  0.176
27  	  N  	  0.333  	  0.176
28  	  N  	  0.321  	  0.176
29  	  N  	  0.310  	  0.176
30  	  N  	  0.300  	  0.176
31  	  N  	  0.290  	  0.176
32  	  R  	  0.312  	  0.196
33  	  N  	  0.303  	  0.196
34  	  R  	  0.324  	  0.216
35  	  R  	  0.343  	  0.235
36  	  N  	  0.333  	  0.235
37  	  N  	  0.324  	  0.235
38  	  R  	  0.342  	  0.255
39  	  N  	  0.333  	  0.255
40  	  N  	  0.325  	  0.255
41  	  N  	  0.317  	  0.255
42  	  N  	  0.310  	  0.255
43  	  N  	  0.302  	  0.255
44  	  N  	  0.295  	  0.255
45  	  R  	  0.311  	  0.275
46  	  N  	  0.304  	  0.275
47  	  R  	  0.319  	  0.294
48  	  R  	  0.333  	  0.314
49  	  N  	  0.327  	  0.314
50  	  N  	  0.320  	  0.314
51  	  N  	  0.314  	  0.314
52  	  N  	  0.308  	  0.314
53  	  N  	  0.302  	  0.314
54  	  N  	  0.296  	  0.314
55  	  R  	  0.309  	  0.333
56  	  N  	  0.304  	  0.333
57  	  N  	  0.298  	  0.333
58  	  N  	  0.293  	  0.333
59  	  N  	  0.288  	  0.333
60  	  N  	  0.283  	  0.333
61  	  N  	  0.279  	  0.333
62  	  N  	  0.274  	  0.333
63  	  N  	  0.270  	  0.333
64  	  N  	  0.266  	  0.333
65  	  N  	  0.262  	  0.333
66  	  N  	  0.258  	  0.333
67  	  N  	  0.254  	  0.333
68  	  N  	  0.250  	  0.333
69  	  R  	  0.261  	  0.353
70  	  R  	  0.271  	  0.373
71  	  N  	  0.268  	  0.373
72  	  N  	  0.264  	  0.373
73  	  N  	  0.260  	  0.373
74  	  R  	  0.270  	  0.392
75  	  N  	  0.267  	  0.392
76  	  N  	  0.263  	  0.392
77  	  N  	  0.260  	  0.392
78  	  R  	  0.269  	  0.412
79  	  N  	  0.266  	  0.412
80  	  N  	  0.263  	  0.412
81  	  N  	  0.259  	  0.412
82  	  N  	  0.256  	  0.412
83  	  N  	  0.253  	  0.412
84  	  N  	  0.250  	  0.412
85  	  N  	  0.247  	  0.412
86  	  N  	  0.244  	  0.412
87  	  N  	  0.241  	  0.412
88  	  N  	  0.239  	  0.412
89  	  N  	  0.236  	  0.412
90  	  N  	  0.233  	  0.412
91  	  N  	  0.231  	  0.412
92  	  N  	  0.228  	  0.412
93  	  N  	  0.226  	  0.412
94  	  R  	  0.234  	  0.431
95  	  N  	  0.232  	  0.431
96  	  N  	  0.229  	  0.431
97  	  N  	  0.227  	  0.431
98  	  N  	  0.224  	  0.431
99  	  N  	  0.222  	  0.431
100  	  N  	  0.220  	  0.431
