Query 27: memory meaeganmnt aspects of oeptraing systems

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.034
02  	  N  	  0.500  	  0.034
03  	  R  	  0.667  	  0.069
04  	  N  	  0.500  	  0.069
05  	  N  	  0.400  	  0.069
06  	  N  	  0.333  	  0.069
07  	  N  	  0.286  	  0.069
08  	  N  	  0.250  	  0.069
09  	  R  	  0.333  	  0.103
10  	  N  	  0.300  	  0.103
11  	  R  	  0.364  	  0.138
12  	  N  	  0.333  	  0.138
13  	  N  	  0.308  	  0.138
14  	  R  	  0.357  	  0.172
15  	  R  	  0.400  	  0.207
16  	  N  	  0.375  	  0.207
17  	  R  	  0.412  	  0.241
18  	  N  	  0.389  	  0.241
19  	  R  	  0.421  	  0.276
20  	  N  	  0.400  	  0.276
21  	  N  	  0.381  	  0.276
22  	  N  	  0.364  	  0.276
23  	  N  	  0.348  	  0.276
24  	  N  	  0.333  	  0.276
25  	  N  	  0.320  	  0.276
26  	  N  	  0.308  	  0.276
27  	  R  	  0.333  	  0.310
28  	  N  	  0.321  	  0.310
29  	  N  	  0.310  	  0.310
30  	  N  	  0.300  	  0.310
31  	  N  	  0.290  	  0.310
32  	  R  	  0.312  	  0.345
33  	  N  	  0.303  	  0.345
34  	  N  	  0.294  	  0.345
35  	  N  	  0.286  	  0.345
36  	  N  	  0.278  	  0.345
37  	  N  	  0.270  	  0.345
38  	  N  	  0.263  	  0.345
39  	  N  	  0.256  	  0.345
40  	  N  	  0.250  	  0.345
41  	  N  	  0.244  	  0.345
42  	  R  	  0.262  	  0.379
43  	  R  	  0.279  	  0.414
44  	  N  	  0.273  	  0.414
45  	  N  	  0.267  	  0.414
46  	  N  	  0.261  	  0.414
47  	  N  	  0.255  	  0.414
48  	  N  	  0.250  	  0.414
49  	  N  	  0.245  	  0.414
50  	  N  	  0.240  	  0.414
51  	  N  	  0.235  	  0.414
52  	  N  	  0.231  	  0.414
53  	  N  	  0.226  	  0.414
54  	  N  	  0.222  	  0.414
55  	  N  	  0.218  	  0.414
56  	  N  	  0.214  	  0.414
57  	  N  	  0.211  	  0.414
58  	  N  	  0.207  	  0.414
59  	  N  	  0.203  	  0.414
60  	  N  	  0.200  	  0.414
61  	  R  	  0.213  	  0.448
62  	  R  	  0.226  	  0.483
63  	  N  	  0.222  	  0.483
64  	  N  	  0.219  	  0.483
65  	  N  	  0.215  	  0.483
66  	  N  	  0.212  	  0.483
67  	  N  	  0.209  	  0.483
68  	  N  	  0.206  	  0.483
69  	  N  	  0.203  	  0.483
70  	  N  	  0.200  	  0.483
71  	  N  	  0.197  	  0.483
72  	  N  	  0.194  	  0.483
73  	  N  	  0.192  	  0.483
74  	  N  	  0.189  	  0.483
75  	  N  	  0.187  	  0.483
76  	  N  	  0.184  	  0.483
77  	  N  	  0.182  	  0.483
78  	  N  	  0.179  	  0.483
79  	  N  	  0.177  	  0.483
80  	  N  	  0.175  	  0.483
81  	  N  	  0.173  	  0.483
82  	  N  	  0.171  	  0.483
83  	  N  	  0.169  	  0.483
84  	  N  	  0.167  	  0.483
85  	  N  	  0.165  	  0.483
86  	  N  	  0.163  	  0.483
87  	  N  	  0.161  	  0.483
88  	  N  	  0.159  	  0.483
89  	  N  	  0.157  	  0.483
90  	  N  	  0.156  	  0.483
91  	  R  	  0.165  	  0.517
92  	  N  	  0.163  	  0.517
93  	  N  	  0.161  	  0.517
94  	  N  	  0.160  	  0.517
95  	  N  	  0.158  	  0.517
96  	  N  	  0.156  	  0.517
97  	  N  	  0.155  	  0.517
98  	  N  	  0.153  	  0.517
99  	  N  	  0.152  	  0.517
100  	  N  	  0.150  	  0.517
