Query 3: imitdetrneae lanegugas used in ctsnoioucrtn of multi targeted crlpmoies tcoll

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  N  	  0.000  	  0.000
07  	  N  	  0.000  	  0.000
08  	  N  	  0.000  	  0.000
09  	  N  	  0.000  	  0.000
10  	  N  	  0.000  	  0.000
11  	  N  	  0.000  	  0.000
12  	  N  	  0.000  	  0.000
13  	  N  	  0.000  	  0.000
14  	  N  	  0.000  	  0.000
15  	  N  	  0.000  	  0.000
16  	  N  	  0.000  	  0.000
17  	  N  	  0.000  	  0.000
18  	  N  	  0.000  	  0.000
19  	  N  	  0.000  	  0.000
20  	  N  	  0.000  	  0.000
21  	  N  	  0.000  	  0.000
22  	  N  	  0.000  	  0.000
23  	  N  	  0.000  	  0.000
24  	  N  	  0.000  	  0.000
25  	  N  	  0.000  	  0.000
26  	  N  	  0.000  	  0.000
27  	  N  	  0.000  	  0.000
28  	  N  	  0.000  	  0.000
29  	  N  	  0.000  	  0.000
30  	  N  	  0.000  	  0.000
31  	  N  	  0.000  	  0.000
32  	  N  	  0.000  	  0.000
33  	  N  	  0.000  	  0.000
34  	  N  	  0.000  	  0.000
35  	  N  	  0.000  	  0.000
36  	  N  	  0.000  	  0.000
37  	  N  	  0.000  	  0.000
38  	  N  	  0.000  	  0.000
39  	  N  	  0.000  	  0.000
40  	  N  	  0.000  	  0.000
41  	  N  	  0.000  	  0.000
42  	  N  	  0.000  	  0.000
43  	  R  	  0.023  	  0.167
44  	  N  	  0.023  	  0.167
45  	  N  	  0.022  	  0.167
46  	  N  	  0.022  	  0.167
47  	  R  	  0.043  	  0.333
48  	  N  	  0.042  	  0.333
49  	  N  	  0.041  	  0.333
50  	  N  	  0.040  	  0.333
51  	  N  	  0.039  	  0.333
52  	  N  	  0.038  	  0.333
53  	  N  	  0.038  	  0.333
54  	  N  	  0.037  	  0.333
55  	  N  	  0.036  	  0.333
56  	  N  	  0.036  	  0.333
57  	  N  	  0.035  	  0.333
58  	  N  	  0.034  	  0.333
59  	  N  	  0.034  	  0.333
60  	  N  	  0.033  	  0.333
61  	  N  	  0.033  	  0.333
62  	  N  	  0.032  	  0.333
63  	  N  	  0.032  	  0.333
64  	  N  	  0.031  	  0.333
65  	  N  	  0.031  	  0.333
66  	  N  	  0.030  	  0.333
67  	  N  	  0.030  	  0.333
68  	  N  	  0.029  	  0.333
69  	  N  	  0.029  	  0.333
70  	  N  	  0.029  	  0.333
71  	  N  	  0.028  	  0.333
72  	  N  	  0.028  	  0.333
73  	  N  	  0.027  	  0.333
74  	  N  	  0.027  	  0.333
75  	  N  	  0.027  	  0.333
76  	  N  	  0.026  	  0.333
77  	  R  	  0.039  	  0.500
78  	  N  	  0.038  	  0.500
79  	  N  	  0.038  	  0.500
80  	  N  	  0.037  	  0.500
81  	  N  	  0.037  	  0.500
82  	  N  	  0.037  	  0.500
83  	  N  	  0.036  	  0.500
84  	  N  	  0.036  	  0.500
85  	  N  	  0.035  	  0.500
86  	  N  	  0.035  	  0.500
87  	  N  	  0.034  	  0.500
88  	  N  	  0.034  	  0.500
89  	  N  	  0.034  	  0.500
90  	  N  	  0.033  	  0.500
91  	  N  	  0.033  	  0.500
92  	  N  	  0.033  	  0.500
93  	  N  	  0.032  	  0.500
94  	  N  	  0.032  	  0.500
95  	  N  	  0.032  	  0.500
96  	  N  	  0.031  	  0.500
97  	  N  	  0.031  	  0.500
98  	  N  	  0.031  	  0.500
99  	  N  	  0.030  	  0.500
100  	  N  	  0.030  	  0.500
