Query 43: anislyas and pctreepion of shape by humans and croetumps shape ditonspiecrs shape rgooicinten by ctepoumr two dosanienmil shapes mesaerus of cuilcrratiy shape matching

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.024
02  	  N  	  0.500  	  0.024
03  	  N  	  0.333  	  0.024
04  	  N  	  0.250  	  0.024
05  	  N  	  0.200  	  0.024
06  	  N  	  0.167  	  0.024
07  	  N  	  0.143  	  0.024
08  	  N  	  0.125  	  0.024
09  	  R  	  0.222  	  0.049
10  	  R  	  0.300  	  0.073
11  	  N  	  0.273  	  0.073
12  	  R  	  0.333  	  0.098
13  	  N  	  0.308  	  0.098
14  	  R  	  0.357  	  0.122
15  	  R  	  0.400  	  0.146
16  	  N  	  0.375  	  0.146
17  	  N  	  0.353  	  0.146
18  	  N  	  0.333  	  0.146
19  	  N  	  0.316  	  0.146
20  	  N  	  0.300  	  0.146
21  	  N  	  0.286  	  0.146
22  	  R  	  0.318  	  0.171
23  	  N  	  0.304  	  0.171
24  	  R  	  0.333  	  0.195
25  	  R  	  0.360  	  0.220
26  	  R  	  0.385  	  0.244
27  	  N  	  0.370  	  0.244
28  	  N  	  0.357  	  0.244
29  	  N  	  0.345  	  0.244
30  	  R  	  0.367  	  0.268
31  	  N  	  0.355  	  0.268
32  	  N  	  0.344  	  0.268
33  	  N  	  0.333  	  0.268
34  	  N  	  0.324  	  0.268
35  	  N  	  0.314  	  0.268
36  	  N  	  0.306  	  0.268
37  	  N  	  0.297  	  0.268
38  	  N  	  0.289  	  0.268
39  	  R  	  0.308  	  0.293
40  	  N  	  0.300  	  0.293
41  	  N  	  0.293  	  0.293
42  	  N  	  0.286  	  0.293
43  	  N  	  0.279  	  0.293
44  	  N  	  0.273  	  0.293
45  	  N  	  0.267  	  0.293
46  	  R  	  0.283  	  0.317
47  	  N  	  0.277  	  0.317
48  	  N  	  0.271  	  0.317
49  	  R  	  0.286  	  0.341
50  	  N  	  0.280  	  0.341
51  	  N  	  0.275  	  0.341
52  	  N  	  0.269  	  0.341
53  	  N  	  0.264  	  0.341
54  	  N  	  0.259  	  0.341
55  	  N  	  0.255  	  0.341
56  	  N  	  0.250  	  0.341
57  	  R  	  0.263  	  0.366
58  	  N  	  0.259  	  0.366
59  	  N  	  0.254  	  0.366
60  	  N  	  0.250  	  0.366
61  	  N  	  0.246  	  0.366
62  	  N  	  0.242  	  0.366
63  	  N  	  0.238  	  0.366
64  	  N  	  0.234  	  0.366
65  	  N  	  0.231  	  0.366
66  	  N  	  0.227  	  0.366
67  	  N  	  0.224  	  0.366
68  	  N  	  0.221  	  0.366
69  	  N  	  0.217  	  0.366
70  	  N  	  0.214  	  0.366
71  	  N  	  0.211  	  0.366
72  	  N  	  0.208  	  0.366
73  	  R  	  0.219  	  0.390
74  	  N  	  0.216  	  0.390
75  	  N  	  0.213  	  0.390
76  	  N  	  0.211  	  0.390
77  	  N  	  0.208  	  0.390
78  	  R  	  0.218  	  0.415
79  	  N  	  0.215  	  0.415
80  	  N  	  0.212  	  0.415
81  	  N  	  0.210  	  0.415
82  	  N  	  0.207  	  0.415
83  	  N  	  0.205  	  0.415
84  	  N  	  0.202  	  0.415
85  	  N  	  0.200  	  0.415
86  	  N  	  0.198  	  0.415
87  	  N  	  0.195  	  0.415
88  	  N  	  0.193  	  0.415
89  	  N  	  0.191  	  0.415
90  	  N  	  0.189  	  0.415
91  	  N  	  0.187  	  0.415
92  	  N  	  0.185  	  0.415
93  	  N  	  0.183  	  0.415
94  	  N  	  0.181  	  0.415
95  	  N  	  0.179  	  0.415
96  	  N  	  0.177  	  0.415
97  	  R  	  0.186  	  0.439
98  	  N  	  0.184  	  0.439
99  	  N  	  0.182  	  0.439
100  	  N  	  0.180  	  0.439
