Query 49: the role of itfnoarmoin reievtarl in kgenlowde based ssemtys i e expert stemyss

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.125
03  	  N  	  0.333  	  0.125
04  	  N  	  0.250  	  0.125
05  	  N  	  0.200  	  0.125
06  	  N  	  0.167  	  0.125
07  	  N  	  0.143  	  0.125
08  	  N  	  0.125  	  0.125
09  	  N  	  0.111  	  0.125
10  	  N  	  0.100  	  0.125
11  	  N  	  0.091  	  0.125
12  	  N  	  0.083  	  0.125
13  	  N  	  0.077  	  0.125
14  	  N  	  0.071  	  0.125
15  	  N  	  0.067  	  0.125
16  	  N  	  0.062  	  0.125
17  	  N  	  0.059  	  0.125
18  	  N  	  0.056  	  0.125
19  	  N  	  0.053  	  0.125
20  	  R  	  0.100  	  0.250
21  	  N  	  0.095  	  0.250
22  	  N  	  0.091  	  0.250
23  	  N  	  0.087  	  0.250
24  	  N  	  0.083  	  0.250
25  	  N  	  0.080  	  0.250
26  	  N  	  0.077  	  0.250
27  	  N  	  0.074  	  0.250
28  	  N  	  0.071  	  0.250
29  	  R  	  0.103  	  0.375
30  	  N  	  0.100  	  0.375
31  	  N  	  0.097  	  0.375
32  	  N  	  0.094  	  0.375
33  	  N  	  0.091  	  0.375
34  	  N  	  0.088  	  0.375
35  	  N  	  0.086  	  0.375
36  	  N  	  0.083  	  0.375
37  	  N  	  0.081  	  0.375
38  	  N  	  0.079  	  0.375
39  	  N  	  0.077  	  0.375
40  	  N  	  0.075  	  0.375
41  	  R  	  0.098  	  0.500
42  	  N  	  0.095  	  0.500
43  	  R  	  0.116  	  0.625
44  	  N  	  0.114  	  0.625
45  	  N  	  0.111  	  0.625
46  	  N  	  0.109  	  0.625
47  	  N  	  0.106  	  0.625
48  	  N  	  0.104  	  0.625
49  	  N  	  0.102  	  0.625
50  	  N  	  0.100  	  0.625
51  	  N  	  0.098  	  0.625
52  	  N  	  0.096  	  0.625
53  	  N  	  0.094  	  0.625
54  	  N  	  0.093  	  0.625
55  	  N  	  0.091  	  0.625
56  	  N  	  0.089  	  0.625
57  	  N  	  0.088  	  0.625
58  	  N  	  0.086  	  0.625
59  	  N  	  0.085  	  0.625
60  	  N  	  0.083  	  0.625
61  	  N  	  0.082  	  0.625
62  	  N  	  0.081  	  0.625
63  	  N  	  0.079  	  0.625
64  	  N  	  0.078  	  0.625
65  	  N  	  0.077  	  0.625
66  	  N  	  0.076  	  0.625
67  	  N  	  0.075  	  0.625
68  	  N  	  0.074  	  0.625
69  	  N  	  0.072  	  0.625
70  	  N  	  0.071  	  0.625
71  	  N  	  0.070  	  0.625
72  	  N  	  0.069  	  0.625
73  	  N  	  0.068  	  0.625
74  	  N  	  0.068  	  0.625
75  	  N  	  0.067  	  0.625
76  	  N  	  0.066  	  0.625
77  	  N  	  0.065  	  0.625
78  	  N  	  0.064  	  0.625
79  	  N  	  0.063  	  0.625
80  	  N  	  0.062  	  0.625
81  	  N  	  0.062  	  0.625
82  	  N  	  0.061  	  0.625
83  	  N  	  0.060  	  0.625
84  	  N  	  0.060  	  0.625
85  	  N  	  0.059  	  0.625
86  	  N  	  0.058  	  0.625
87  	  N  	  0.057  	  0.625
88  	  N  	  0.057  	  0.625
89  	  N  	  0.056  	  0.625
90  	  N  	  0.056  	  0.625
91  	  N  	  0.055  	  0.625
92  	  N  	  0.054  	  0.625
93  	  N  	  0.054  	  0.625
94  	  N  	  0.053  	  0.625
95  	  N  	  0.053  	  0.625
96  	  N  	  0.052  	  0.625
97  	  N  	  0.052  	  0.625
98  	  N  	  0.051  	  0.625
99  	  N  	  0.051  	  0.625
100  	  N  	  0.050  	  0.625
