Query 61: irmoniafton rteverial atlrecis by gerard salton or others about csiuletrng brilihaigobpc conlpuig use of ctaotiins or co cnttaoiis the vector space model beooaln search mtodehs using itvnered files fbedaeck etc salton g

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.032
02  	  R  	  1.000  	  0.065
03  	  N  	  0.667  	  0.065
04  	  R  	  0.750  	  0.097
05  	  R  	  0.800  	  0.129
06  	  R  	  0.833  	  0.161
07  	  R  	  0.857  	  0.194
08  	  R  	  0.875  	  0.226
09  	  N  	  0.778  	  0.226
10  	  R  	  0.800  	  0.258
11  	  R  	  0.818  	  0.290
12  	  N  	  0.750  	  0.290
13  	  N  	  0.692  	  0.290
14  	  N  	  0.643  	  0.290
15  	  N  	  0.600  	  0.290
16  	  N  	  0.562  	  0.290
17  	  N  	  0.529  	  0.290
18  	  N  	  0.500  	  0.290
19  	  N  	  0.474  	  0.290
20  	  N  	  0.450  	  0.290
21  	  N  	  0.429  	  0.290
22  	  N  	  0.409  	  0.290
23  	  R  	  0.435  	  0.323
24  	  N  	  0.417  	  0.323
25  	  N  	  0.400  	  0.323
26  	  N  	  0.385  	  0.323
27  	  R  	  0.407  	  0.355
28  	  N  	  0.393  	  0.355
29  	  N  	  0.379  	  0.355
30  	  N  	  0.367  	  0.355
31  	  N  	  0.355  	  0.355
32  	  R  	  0.375  	  0.387
33  	  N  	  0.364  	  0.387
34  	  N  	  0.353  	  0.387
35  	  N  	  0.343  	  0.387
36  	  N  	  0.333  	  0.387
37  	  N  	  0.324  	  0.387
38  	  N  	  0.316  	  0.387
39  	  N  	  0.308  	  0.387
40  	  N  	  0.300  	  0.387
41  	  N  	  0.293  	  0.387
42  	  N  	  0.286  	  0.387
43  	  N  	  0.279  	  0.387
44  	  N  	  0.273  	  0.387
45  	  N  	  0.267  	  0.387
46  	  R  	  0.283  	  0.419
47  	  R  	  0.298  	  0.452
48  	  R  	  0.312  	  0.484
49  	  R  	  0.327  	  0.516
50  	  N  	  0.320  	  0.516
51  	  N  	  0.314  	  0.516
52  	  N  	  0.308  	  0.516
53  	  N  	  0.302  	  0.516
54  	  N  	  0.296  	  0.516
55  	  N  	  0.291  	  0.516
56  	  N  	  0.286  	  0.516
57  	  N  	  0.281  	  0.516
58  	  N  	  0.276  	  0.516
59  	  N  	  0.271  	  0.516
60  	  N  	  0.267  	  0.516
61  	  N  	  0.262  	  0.516
62  	  N  	  0.258  	  0.516
63  	  R  	  0.270  	  0.548
64  	  N  	  0.266  	  0.548
65  	  N  	  0.262  	  0.548
66  	  N  	  0.258  	  0.548
67  	  N  	  0.254  	  0.548
68  	  N  	  0.250  	  0.548
69  	  N  	  0.246  	  0.548
70  	  N  	  0.243  	  0.548
71  	  R  	  0.254  	  0.581
72  	  N  	  0.250  	  0.581
73  	  N  	  0.247  	  0.581
74  	  N  	  0.243  	  0.581
75  	  N  	  0.240  	  0.581
76  	  N  	  0.237  	  0.581
77  	  N  	  0.234  	  0.581
78  	  N  	  0.231  	  0.581
79  	  N  	  0.228  	  0.581
80  	  N  	  0.225  	  0.581
81  	  N  	  0.222  	  0.581
82  	  N  	  0.220  	  0.581
83  	  N  	  0.217  	  0.581
84  	  N  	  0.214  	  0.581
85  	  N  	  0.212  	  0.581
86  	  N  	  0.209  	  0.581
87  	  N  	  0.207  	  0.581
88  	  N  	  0.205  	  0.581
89  	  N  	  0.202  	  0.581
90  	  N  	  0.200  	  0.581
91  	  N  	  0.198  	  0.581
92  	  R  	  0.207  	  0.613
93  	  N  	  0.204  	  0.613
94  	  N  	  0.202  	  0.613
95  	  N  	  0.200  	  0.613
96  	  N  	  0.198  	  0.613
97  	  N  	  0.196  	  0.613
98  	  N  	  0.194  	  0.613
99  	  N  	  0.192  	  0.613
100  	  N  	  0.190  	  0.613
