Query 9: sciteruy crisodnenoitas in local networks network orpineatg systems and dirtbutseid systems

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.111
03  	  N  	  0.333  	  0.111
04  	  N  	  0.250  	  0.111
05  	  N  	  0.200  	  0.111
06  	  N  	  0.167  	  0.111
07  	  N  	  0.143  	  0.111
08  	  R  	  0.250  	  0.222
09  	  N  	  0.222  	  0.222
10  	  N  	  0.200  	  0.222
11  	  N  	  0.182  	  0.222
12  	  N  	  0.167  	  0.222
13  	  R  	  0.231  	  0.333
14  	  R  	  0.286  	  0.444
15  	  N  	  0.267  	  0.444
16  	  N  	  0.250  	  0.444
17  	  N  	  0.235  	  0.444
18  	  N  	  0.222  	  0.444
19  	  N  	  0.211  	  0.444
20  	  N  	  0.200  	  0.444
21  	  N  	  0.190  	  0.444
22  	  N  	  0.182  	  0.444
23  	  R  	  0.217  	  0.556
24  	  R  	  0.250  	  0.667
25  	  N  	  0.240  	  0.667
26  	  N  	  0.231  	  0.667
27  	  N  	  0.222  	  0.667
28  	  N  	  0.214  	  0.667
29  	  N  	  0.207  	  0.667
30  	  N  	  0.200  	  0.667
31  	  N  	  0.194  	  0.667
32  	  N  	  0.188  	  0.667
33  	  N  	  0.182  	  0.667
34  	  N  	  0.176  	  0.667
35  	  N  	  0.171  	  0.667
36  	  N  	  0.167  	  0.667
37  	  N  	  0.162  	  0.667
38  	  N  	  0.158  	  0.667
39  	  N  	  0.154  	  0.667
40  	  N  	  0.150  	  0.667
41  	  N  	  0.146  	  0.667
42  	  N  	  0.143  	  0.667
43  	  N  	  0.140  	  0.667
44  	  N  	  0.136  	  0.667
45  	  N  	  0.133  	  0.667
46  	  N  	  0.130  	  0.667
47  	  N  	  0.128  	  0.667
48  	  R  	  0.146  	  0.778
49  	  N  	  0.143  	  0.778
50  	  N  	  0.140  	  0.778
51  	  N  	  0.137  	  0.778
52  	  N  	  0.135  	  0.778
53  	  N  	  0.132  	  0.778
54  	  N  	  0.130  	  0.778
55  	  N  	  0.127  	  0.778
56  	  N  	  0.125  	  0.778
57  	  N  	  0.123  	  0.778
58  	  N  	  0.121  	  0.778
59  	  N  	  0.119  	  0.778
60  	  N  	  0.117  	  0.778
61  	  R  	  0.131  	  0.889
62  	  N  	  0.129  	  0.889
63  	  N  	  0.127  	  0.889
64  	  N  	  0.125  	  0.889
65  	  N  	  0.123  	  0.889
66  	  N  	  0.121  	  0.889
67  	  N  	  0.119  	  0.889
68  	  N  	  0.118  	  0.889
69  	  N  	  0.116  	  0.889
70  	  N  	  0.114  	  0.889
71  	  N  	  0.113  	  0.889
72  	  N  	  0.111  	  0.889
73  	  N  	  0.110  	  0.889
74  	  N  	  0.108  	  0.889
75  	  N  	  0.107  	  0.889
76  	  N  	  0.105  	  0.889
77  	  N  	  0.104  	  0.889
78  	  N  	  0.103  	  0.889
79  	  N  	  0.101  	  0.889
80  	  N  	  0.100  	  0.889
81  	  N  	  0.099  	  0.889
82  	  N  	  0.098  	  0.889
83  	  N  	  0.096  	  0.889
84  	  N  	  0.095  	  0.889
85  	  N  	  0.094  	  0.889
86  	  N  	  0.093  	  0.889
87  	  N  	  0.092  	  0.889
88  	  N  	  0.091  	  0.889
89  	  N  	  0.090  	  0.889
90  	  N  	  0.089  	  0.889
91  	  N  	  0.088  	  0.889
92  	  N  	  0.087  	  0.889
93  	  N  	  0.086  	  0.889
94  	  N  	  0.085  	  0.889
95  	  N  	  0.084  	  0.889
96  	  N  	  0.083  	  0.889
97  	  R  	  0.093  	  1.000
98  	  N  	  0.092  	  1.000
99  	  N  	  0.091  	  1.000
100  	  N  	  0.090  	  1.000
