Query 10: parallel lngaueags languages for parallel coimuatotpn

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.029
02  	  N  	  0.500  	  0.029
03  	  R  	  0.667  	  0.057
04  	  R  	  0.750  	  0.086
05  	  N  	  0.600  	  0.086
06  	  R  	  0.667  	  0.114
07  	  N  	  0.571  	  0.114
08  	  N  	  0.500  	  0.114
09  	  R  	  0.556  	  0.143
10  	  R  	  0.600  	  0.171
11  	  R  	  0.636  	  0.200
12  	  N  	  0.583  	  0.200
13  	  N  	  0.538  	  0.200
14  	  N  	  0.500  	  0.200
15  	  R  	  0.533  	  0.229
16  	  R  	  0.562  	  0.257
17  	  N  	  0.529  	  0.257
18  	  R  	  0.556  	  0.286
19  	  N  	  0.526  	  0.286
20  	  R  	  0.550  	  0.314
21  	  R  	  0.571  	  0.343
22  	  N  	  0.545  	  0.343
23  	  R  	  0.565  	  0.371
24  	  N  	  0.542  	  0.371
25  	  N  	  0.520  	  0.371
26  	  N  	  0.500  	  0.371
27  	  N  	  0.481  	  0.371
28  	  N  	  0.464  	  0.371
29  	  N  	  0.448  	  0.371
30  	  R  	  0.467  	  0.400
31  	  N  	  0.452  	  0.400
32  	  N  	  0.438  	  0.400
33  	  R  	  0.455  	  0.429
34  	  R  	  0.471  	  0.457
35  	  N  	  0.457  	  0.457
36  	  N  	  0.444  	  0.457
37  	  N  	  0.432  	  0.457
38  	  N  	  0.421  	  0.457
39  	  N  	  0.410  	  0.457
40  	  R  	  0.425  	  0.486
41  	  N  	  0.415  	  0.486
42  	  R  	  0.429  	  0.514
43  	  N  	  0.419  	  0.514
44  	  N  	  0.409  	  0.514
45  	  R  	  0.422  	  0.543
46  	  N  	  0.413  	  0.543
47  	  N  	  0.404  	  0.543
48  	  N  	  0.396  	  0.543
49  	  N  	  0.388  	  0.543
50  	  R  	  0.400  	  0.571
51  	  N  	  0.392  	  0.571
52  	  N  	  0.385  	  0.571
53  	  N  	  0.377  	  0.571
54  	  N  	  0.370  	  0.571
55  	  N  	  0.364  	  0.571
56  	  N  	  0.357  	  0.571
57  	  R  	  0.368  	  0.600
58  	  N  	  0.362  	  0.600
59  	  R  	  0.373  	  0.629
60  	  N  	  0.367  	  0.629
61  	  N  	  0.361  	  0.629
62  	  R  	  0.371  	  0.657
63  	  N  	  0.365  	  0.657
64  	  N  	  0.359  	  0.657
65  	  N  	  0.354  	  0.657
66  	  N  	  0.348  	  0.657
67  	  N  	  0.343  	  0.657
68  	  N  	  0.338  	  0.657
69  	  N  	  0.333  	  0.657
70  	  N  	  0.329  	  0.657
71  	  N  	  0.324  	  0.657
72  	  N  	  0.319  	  0.657
73  	  N  	  0.315  	  0.657
74  	  N  	  0.311  	  0.657
75  	  N  	  0.307  	  0.657
76  	  N  	  0.303  	  0.657
77  	  N  	  0.299  	  0.657
78  	  N  	  0.295  	  0.657
79  	  N  	  0.291  	  0.657
80  	  N  	  0.287  	  0.657
81  	  N  	  0.284  	  0.657
82  	  N  	  0.280  	  0.657
83  	  N  	  0.277  	  0.657
84  	  N  	  0.274  	  0.657
85  	  N  	  0.271  	  0.657
86  	  N  	  0.267  	  0.657
87  	  N  	  0.264  	  0.657
88  	  N  	  0.261  	  0.657
89  	  N  	  0.258  	  0.657
90  	  N  	  0.256  	  0.657
91  	  N  	  0.253  	  0.657
92  	  N  	  0.250  	  0.657
93  	  N  	  0.247  	  0.657
94  	  N  	  0.245  	  0.657
95  	  N  	  0.242  	  0.657
96  	  N  	  0.240  	  0.657
97  	  N  	  0.237  	  0.657
98  	  N  	  0.235  	  0.657
99  	  N  	  0.232  	  0.657
100  	  N  	  0.230  	  0.657
