Query 14: find all dsicussions of optimal innelitotamepms of sort altmhrigos for database magmnneeat aoaclntppiis

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  N  	  0.000  	  0.000
07  	  N  	  0.000  	  0.000
08  	  N  	  0.000  	  0.000
09  	  R  	  0.111  	  0.023
10  	  R  	  0.200  	  0.045
11  	  N  	  0.182  	  0.045
12  	  N  	  0.167  	  0.045
13  	  N  	  0.154  	  0.045
14  	  N  	  0.143  	  0.045
15  	  N  	  0.133  	  0.045
16  	  R  	  0.188  	  0.068
17  	  N  	  0.176  	  0.068
18  	  N  	  0.167  	  0.068
19  	  N  	  0.158  	  0.068
20  	  N  	  0.150  	  0.068
21  	  N  	  0.143  	  0.068
22  	  N  	  0.136  	  0.068
23  	  N  	  0.130  	  0.068
24  	  N  	  0.125  	  0.068
25  	  N  	  0.120  	  0.068
26  	  N  	  0.115  	  0.068
27  	  N  	  0.111  	  0.068
28  	  N  	  0.107  	  0.068
29  	  N  	  0.103  	  0.068
30  	  R  	  0.133  	  0.091
31  	  N  	  0.129  	  0.091
32  	  N  	  0.125  	  0.091
33  	  N  	  0.121  	  0.091
34  	  N  	  0.118  	  0.091
35  	  R  	  0.143  	  0.114
36  	  N  	  0.139  	  0.114
37  	  N  	  0.135  	  0.114
38  	  N  	  0.132  	  0.114
39  	  N  	  0.128  	  0.114
40  	  N  	  0.125  	  0.114
41  	  N  	  0.122  	  0.114
42  	  N  	  0.119  	  0.114
43  	  N  	  0.116  	  0.114
44  	  N  	  0.114  	  0.114
45  	  N  	  0.111  	  0.114
46  	  N  	  0.109  	  0.114
47  	  N  	  0.106  	  0.114
48  	  N  	  0.104  	  0.114
49  	  N  	  0.102  	  0.114
50  	  R  	  0.120  	  0.136
51  	  N  	  0.118  	  0.136
52  	  N  	  0.115  	  0.136
53  	  N  	  0.113  	  0.136
54  	  N  	  0.111  	  0.136
55  	  N  	  0.109  	  0.136
56  	  N  	  0.107  	  0.136
57  	  N  	  0.105  	  0.136
58  	  N  	  0.103  	  0.136
59  	  R  	  0.119  	  0.159
60  	  N  	  0.117  	  0.159
61  	  N  	  0.115  	  0.159
62  	  N  	  0.113  	  0.159
63  	  N  	  0.111  	  0.159
64  	  N  	  0.109  	  0.159
65  	  N  	  0.108  	  0.159
66  	  N  	  0.106  	  0.159
67  	  N  	  0.104  	  0.159
68  	  N  	  0.103  	  0.159
69  	  N  	  0.101  	  0.159
70  	  N  	  0.100  	  0.159
71  	  N  	  0.099  	  0.159
72  	  N  	  0.097  	  0.159
73  	  N  	  0.096  	  0.159
74  	  R  	  0.108  	  0.182
75  	  N  	  0.107  	  0.182
76  	  N  	  0.105  	  0.182
77  	  N  	  0.104  	  0.182
78  	  N  	  0.103  	  0.182
79  	  N  	  0.101  	  0.182
80  	  R  	  0.113  	  0.205
81  	  N  	  0.111  	  0.205
82  	  N  	  0.110  	  0.205
83  	  N  	  0.108  	  0.205
84  	  N  	  0.107  	  0.205
85  	  N  	  0.106  	  0.205
86  	  N  	  0.105  	  0.205
87  	  N  	  0.103  	  0.205
88  	  N  	  0.102  	  0.205
89  	  N  	  0.101  	  0.205
90  	  N  	  0.100  	  0.205
91  	  N  	  0.099  	  0.205
92  	  N  	  0.098  	  0.205
93  	  N  	  0.097  	  0.205
94  	  N  	  0.096  	  0.205
95  	  N  	  0.095  	  0.205
96  	  N  	  0.094  	  0.205
97  	  N  	  0.093  	  0.205
98  	  N  	  0.092  	  0.205
99  	  N  	  0.091  	  0.205
100  	  N  	  0.090  	  0.205
