Query 21: cmapotuitnaol ctxemlopiy iitntblaitarcy class complete reductions algorithms and efficiency

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  R  	  0.200  	  0.091
06  	  N  	  0.167  	  0.091
07  	  R  	  0.286  	  0.182
08  	  N  	  0.250  	  0.182
09  	  N  	  0.222  	  0.182
10  	  N  	  0.200  	  0.182
11  	  N  	  0.182  	  0.182
12  	  N  	  0.167  	  0.182
13  	  N  	  0.154  	  0.182
14  	  N  	  0.143  	  0.182
15  	  N  	  0.133  	  0.182
16  	  N  	  0.125  	  0.182
17  	  N  	  0.118  	  0.182
18  	  N  	  0.111  	  0.182
19  	  N  	  0.105  	  0.182
20  	  R  	  0.150  	  0.273
21  	  N  	  0.143  	  0.273
22  	  N  	  0.136  	  0.273
23  	  N  	  0.130  	  0.273
24  	  N  	  0.125  	  0.273
25  	  N  	  0.120  	  0.273
26  	  N  	  0.115  	  0.273
27  	  N  	  0.111  	  0.273
28  	  N  	  0.107  	  0.273
29  	  N  	  0.103  	  0.273
30  	  N  	  0.100  	  0.273
31  	  N  	  0.097  	  0.273
32  	  N  	  0.094  	  0.273
33  	  N  	  0.091  	  0.273
34  	  N  	  0.088  	  0.273
35  	  N  	  0.086  	  0.273
36  	  N  	  0.083  	  0.273
37  	  N  	  0.081  	  0.273
38  	  N  	  0.079  	  0.273
39  	  N  	  0.077  	  0.273
40  	  N  	  0.075  	  0.273
41  	  N  	  0.073  	  0.273
42  	  R  	  0.095  	  0.364
43  	  N  	  0.093  	  0.364
44  	  N  	  0.091  	  0.364
45  	  N  	  0.089  	  0.364
46  	  N  	  0.087  	  0.364
47  	  N  	  0.085  	  0.364
48  	  N  	  0.083  	  0.364
49  	  N  	  0.082  	  0.364
50  	  N  	  0.080  	  0.364
51  	  N  	  0.078  	  0.364
52  	  N  	  0.077  	  0.364
53  	  N  	  0.075  	  0.364
54  	  N  	  0.074  	  0.364
55  	  N  	  0.073  	  0.364
56  	  N  	  0.071  	  0.364
57  	  N  	  0.070  	  0.364
58  	  N  	  0.069  	  0.364
59  	  N  	  0.068  	  0.364
60  	  N  	  0.067  	  0.364
61  	  N  	  0.066  	  0.364
62  	  N  	  0.065  	  0.364
63  	  N  	  0.063  	  0.364
64  	  N  	  0.062  	  0.364
65  	  N  	  0.062  	  0.364
66  	  N  	  0.061  	  0.364
67  	  N  	  0.060  	  0.364
68  	  N  	  0.059  	  0.364
69  	  N  	  0.058  	  0.364
70  	  N  	  0.057  	  0.364
71  	  R  	  0.070  	  0.455
72  	  N  	  0.069  	  0.455
73  	  N  	  0.068  	  0.455
74  	  N  	  0.068  	  0.455
75  	  N  	  0.067  	  0.455
76  	  N  	  0.066  	  0.455
77  	  N  	  0.065  	  0.455
78  	  N  	  0.064  	  0.455
79  	  N  	  0.063  	  0.455
80  	  N  	  0.062  	  0.455
81  	  N  	  0.062  	  0.455
82  	  N  	  0.061  	  0.455
83  	  N  	  0.060  	  0.455
84  	  N  	  0.060  	  0.455
85  	  N  	  0.059  	  0.455
86  	  N  	  0.058  	  0.455
87  	  N  	  0.057  	  0.455
88  	  N  	  0.057  	  0.455
89  	  N  	  0.056  	  0.455
90  	  N  	  0.056  	  0.455
91  	  N  	  0.055  	  0.455
92  	  R  	  0.065  	  0.545
93  	  N  	  0.065  	  0.545
94  	  N  	  0.064  	  0.545
95  	  N  	  0.063  	  0.545
96  	  N  	  0.062  	  0.545
97  	  N  	  0.062  	  0.545
98  	  N  	  0.061  	  0.545
99  	  N  	  0.061  	  0.545
100  	  N  	  0.060  	  0.545
