Query 27: memory meaeganmnt aspects of oeptraing systems

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.034
02  	  R  	  1.000  	  0.069
03  	  N  	  0.667  	  0.069
04  	  N  	  0.500  	  0.069
05  	  N  	  0.400  	  0.069
06  	  N  	  0.333  	  0.069
07  	  R  	  0.429  	  0.103
08  	  N  	  0.375  	  0.103
09  	  N  	  0.333  	  0.103
10  	  N  	  0.300  	  0.103
11  	  N  	  0.273  	  0.103
12  	  R  	  0.333  	  0.138
13  	  N  	  0.308  	  0.138
14  	  N  	  0.286  	  0.138
15  	  N  	  0.267  	  0.138
16  	  N  	  0.250  	  0.138
17  	  N  	  0.235  	  0.138
18  	  N  	  0.222  	  0.138
19  	  R  	  0.263  	  0.172
20  	  N  	  0.250  	  0.172
21  	  N  	  0.238  	  0.172
22  	  N  	  0.227  	  0.172
23  	  N  	  0.217  	  0.172
24  	  N  	  0.208  	  0.172
25  	  R  	  0.240  	  0.207
26  	  R  	  0.269  	  0.241
27  	  N  	  0.259  	  0.241
28  	  N  	  0.250  	  0.241
29  	  N  	  0.241  	  0.241
30  	  N  	  0.233  	  0.241
31  	  N  	  0.226  	  0.241
32  	  R  	  0.250  	  0.276
33  	  N  	  0.242  	  0.276
34  	  N  	  0.235  	  0.276
35  	  R  	  0.257  	  0.310
36  	  N  	  0.250  	  0.310
37  	  N  	  0.243  	  0.310
38  	  R  	  0.263  	  0.345
39  	  N  	  0.256  	  0.345
40  	  N  	  0.250  	  0.345
41  	  N  	  0.244  	  0.345
42  	  N  	  0.238  	  0.345
43  	  N  	  0.233  	  0.345
44  	  N  	  0.227  	  0.345
45  	  N  	  0.222  	  0.345
46  	  N  	  0.217  	  0.345
47  	  N  	  0.213  	  0.345
48  	  N  	  0.208  	  0.345
49  	  N  	  0.204  	  0.345
50  	  N  	  0.200  	  0.345
51  	  R  	  0.216  	  0.379
52  	  N  	  0.212  	  0.379
53  	  N  	  0.208  	  0.379
54  	  N  	  0.204  	  0.379
55  	  N  	  0.200  	  0.379
56  	  N  	  0.196  	  0.379
57  	  N  	  0.193  	  0.379
58  	  N  	  0.190  	  0.379
59  	  N  	  0.186  	  0.379
60  	  N  	  0.183  	  0.379
61  	  N  	  0.180  	  0.379
62  	  N  	  0.177  	  0.379
63  	  N  	  0.175  	  0.379
64  	  N  	  0.172  	  0.379
65  	  R  	  0.185  	  0.414
66  	  N  	  0.182  	  0.414
67  	  N  	  0.179  	  0.414
68  	  N  	  0.176  	  0.414
69  	  N  	  0.174  	  0.414
70  	  R  	  0.186  	  0.448
71  	  N  	  0.183  	  0.448
72  	  N  	  0.181  	  0.448
73  	  N  	  0.178  	  0.448
74  	  N  	  0.176  	  0.448
75  	  R  	  0.187  	  0.483
76  	  N  	  0.184  	  0.483
77  	  N  	  0.182  	  0.483
78  	  R  	  0.192  	  0.517
79  	  N  	  0.190  	  0.517
80  	  N  	  0.188  	  0.517
81  	  N  	  0.185  	  0.517
82  	  N  	  0.183  	  0.517
83  	  N  	  0.181  	  0.517
84  	  N  	  0.179  	  0.517
85  	  R  	  0.188  	  0.552
86  	  N  	  0.186  	  0.552
87  	  N  	  0.184  	  0.552
88  	  R  	  0.193  	  0.586
89  	  N  	  0.191  	  0.586
90  	  N  	  0.189  	  0.586
91  	  N  	  0.187  	  0.586
92  	  N  	  0.185  	  0.586
93  	  N  	  0.183  	  0.586
94  	  N  	  0.181  	  0.586
95  	  N  	  0.179  	  0.586
96  	  N  	  0.177  	  0.586
97  	  N  	  0.175  	  0.586
98  	  N  	  0.173  	  0.586
99  	  N  	  0.172  	  0.586
100  	  N  	  0.170  	  0.586
