Query 36: fast aoirhtlgm for context free lgaguane rgontceioin or parsing

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.050
03  	  R  	  0.667  	  0.100
04  	  N  	  0.500  	  0.100
05  	  R  	  0.600  	  0.150
06  	  N  	  0.500  	  0.150
07  	  R  	  0.571  	  0.200
08  	  N  	  0.500  	  0.200
09  	  R  	  0.556  	  0.250
10  	  N  	  0.500  	  0.250
11  	  N  	  0.455  	  0.250
12  	  R  	  0.500  	  0.300
13  	  R  	  0.538  	  0.350
14  	  R  	  0.571  	  0.400
15  	  R  	  0.600  	  0.450
16  	  N  	  0.562  	  0.450
17  	  N  	  0.529  	  0.450
18  	  R  	  0.556  	  0.500
19  	  N  	  0.526  	  0.500
20  	  N  	  0.500  	  0.500
21  	  R  	  0.524  	  0.550
22  	  R  	  0.545  	  0.600
23  	  N  	  0.522  	  0.600
24  	  N  	  0.500  	  0.600
25  	  N  	  0.480  	  0.600
26  	  R  	  0.500  	  0.650
27  	  N  	  0.481  	  0.650
28  	  N  	  0.464  	  0.650
29  	  N  	  0.448  	  0.650
30  	  R  	  0.467  	  0.700
31  	  N  	  0.452  	  0.700
32  	  R  	  0.469  	  0.750
33  	  N  	  0.455  	  0.750
34  	  N  	  0.441  	  0.750
35  	  N  	  0.429  	  0.750
36  	  N  	  0.417  	  0.750
37  	  N  	  0.405  	  0.750
38  	  N  	  0.395  	  0.750
39  	  N  	  0.385  	  0.750
40  	  N  	  0.375  	  0.750
41  	  N  	  0.366  	  0.750
42  	  N  	  0.357  	  0.750
43  	  N  	  0.349  	  0.750
44  	  N  	  0.341  	  0.750
45  	  N  	  0.333  	  0.750
46  	  N  	  0.326  	  0.750
47  	  N  	  0.319  	  0.750
48  	  N  	  0.312  	  0.750
49  	  N  	  0.306  	  0.750
50  	  N  	  0.300  	  0.750
51  	  N  	  0.294  	  0.750
52  	  N  	  0.288  	  0.750
53  	  N  	  0.283  	  0.750
54  	  N  	  0.278  	  0.750
55  	  N  	  0.273  	  0.750
56  	  N  	  0.268  	  0.750
57  	  N  	  0.263  	  0.750
58  	  N  	  0.259  	  0.750
59  	  N  	  0.254  	  0.750
60  	  N  	  0.250  	  0.750
61  	  N  	  0.246  	  0.750
62  	  N  	  0.242  	  0.750
63  	  N  	  0.238  	  0.750
64  	  R  	  0.250  	  0.800
65  	  N  	  0.246  	  0.800
66  	  N  	  0.242  	  0.800
67  	  N  	  0.239  	  0.800
68  	  N  	  0.235  	  0.800
69  	  N  	  0.232  	  0.800
70  	  N  	  0.229  	  0.800
71  	  N  	  0.225  	  0.800
72  	  N  	  0.222  	  0.800
73  	  N  	  0.219  	  0.800
74  	  N  	  0.216  	  0.800
75  	  N  	  0.213  	  0.800
76  	  N  	  0.211  	  0.800
77  	  N  	  0.208  	  0.800
78  	  N  	  0.205  	  0.800
79  	  N  	  0.203  	  0.800
80  	  N  	  0.200  	  0.800
81  	  N  	  0.198  	  0.800
82  	  N  	  0.195  	  0.800
83  	  N  	  0.193  	  0.800
84  	  N  	  0.190  	  0.800
85  	  N  	  0.188  	  0.800
86  	  N  	  0.186  	  0.800
87  	  N  	  0.184  	  0.800
88  	  N  	  0.182  	  0.800
89  	  N  	  0.180  	  0.800
90  	  N  	  0.178  	  0.800
91  	  N  	  0.176  	  0.800
92  	  N  	  0.174  	  0.800
93  	  R  	  0.183  	  0.850
94  	  N  	  0.181  	  0.850
95  	  N  	  0.179  	  0.850
96  	  N  	  0.177  	  0.850
97  	  N  	  0.175  	  0.850
98  	  N  	  0.173  	  0.850
99  	  N  	  0.172  	  0.850
100  	  N  	  0.170  	  0.850
