Query 39: what does type cbilotaptiimy mean in lugegaans that alolw pmmgroerar deeifnd types you might want to rtceisrt this to esbltinxee leaagnugs that allow doitnfiein of abtrcsat data types or pomagmrrer speilupd dnitinoiefs of oreaptors like

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.083
03  	  N  	  0.333  	  0.083
04  	  N  	  0.250  	  0.083
05  	  N  	  0.200  	  0.083
06  	  N  	  0.167  	  0.083
07  	  N  	  0.143  	  0.083
08  	  N  	  0.125  	  0.083
09  	  R  	  0.222  	  0.167
10  	  N  	  0.200  	  0.167
11  	  N  	  0.182  	  0.167
12  	  N  	  0.167  	  0.167
13  	  N  	  0.154  	  0.167
14  	  R  	  0.214  	  0.250
15  	  N  	  0.200  	  0.250
16  	  N  	  0.188  	  0.250
17  	  R  	  0.235  	  0.333
18  	  N  	  0.222  	  0.333
19  	  N  	  0.211  	  0.333
20  	  N  	  0.200  	  0.333
21  	  R  	  0.238  	  0.417
22  	  N  	  0.227  	  0.417
23  	  N  	  0.217  	  0.417
24  	  N  	  0.208  	  0.417
25  	  N  	  0.200  	  0.417
26  	  N  	  0.192  	  0.417
27  	  N  	  0.185  	  0.417
28  	  N  	  0.179  	  0.417
29  	  N  	  0.172  	  0.417
30  	  N  	  0.167  	  0.417
31  	  N  	  0.161  	  0.417
32  	  N  	  0.156  	  0.417
33  	  N  	  0.152  	  0.417
34  	  N  	  0.147  	  0.417
35  	  R  	  0.171  	  0.500
36  	  N  	  0.167  	  0.500
37  	  N  	  0.162  	  0.500
38  	  N  	  0.158  	  0.500
39  	  N  	  0.154  	  0.500
40  	  R  	  0.175  	  0.583
41  	  N  	  0.171  	  0.583
42  	  N  	  0.167  	  0.583
43  	  N  	  0.163  	  0.583
44  	  N  	  0.159  	  0.583
45  	  N  	  0.156  	  0.583
46  	  N  	  0.152  	  0.583
47  	  N  	  0.149  	  0.583
48  	  N  	  0.146  	  0.583
49  	  N  	  0.143  	  0.583
50  	  N  	  0.140  	  0.583
51  	  N  	  0.137  	  0.583
52  	  N  	  0.135  	  0.583
53  	  N  	  0.132  	  0.583
54  	  N  	  0.130  	  0.583
55  	  N  	  0.127  	  0.583
56  	  N  	  0.125  	  0.583
57  	  N  	  0.123  	  0.583
58  	  N  	  0.121  	  0.583
59  	  N  	  0.119  	  0.583
60  	  N  	  0.117  	  0.583
61  	  N  	  0.115  	  0.583
62  	  N  	  0.113  	  0.583
63  	  N  	  0.111  	  0.583
64  	  N  	  0.109  	  0.583
65  	  N  	  0.108  	  0.583
66  	  N  	  0.106  	  0.583
67  	  R  	  0.119  	  0.667
68  	  N  	  0.118  	  0.667
69  	  N  	  0.116  	  0.667
70  	  N  	  0.114  	  0.667
71  	  N  	  0.113  	  0.667
72  	  N  	  0.111  	  0.667
73  	  N  	  0.110  	  0.667
74  	  N  	  0.108  	  0.667
75  	  N  	  0.107  	  0.667
76  	  N  	  0.105  	  0.667
77  	  N  	  0.104  	  0.667
78  	  N  	  0.103  	  0.667
79  	  N  	  0.101  	  0.667
80  	  N  	  0.100  	  0.667
81  	  N  	  0.099  	  0.667
82  	  N  	  0.098  	  0.667
83  	  R  	  0.108  	  0.750
84  	  N  	  0.107  	  0.750
85  	  N  	  0.106  	  0.750
86  	  N  	  0.105  	  0.750
87  	  N  	  0.103  	  0.750
88  	  N  	  0.102  	  0.750
89  	  N  	  0.101  	  0.750
90  	  N  	  0.100  	  0.750
91  	  N  	  0.099  	  0.750
92  	  N  	  0.098  	  0.750
93  	  N  	  0.097  	  0.750
94  	  N  	  0.096  	  0.750
95  	  N  	  0.095  	  0.750
96  	  N  	  0.094  	  0.750
97  	  N  	  0.093  	  0.750
98  	  N  	  0.092  	  0.750
99  	  N  	  0.091  	  0.750
100  	  N  	  0.090  	  0.750
