Query 40: list all alcirets dnlieag with data types in the fiwnloolg lanueggas that are recrfneeed flueqtreny in prpeas on the aobve lggaaneus e g catch any lnggeaaus with itnteisenrg type sceururtts that i might have mssied

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.100
02  	  N  	  0.500  	  0.100
03  	  N  	  0.333  	  0.100
04  	  N  	  0.250  	  0.100
05  	  N  	  0.200  	  0.100
06  	  N  	  0.167  	  0.100
07  	  N  	  0.143  	  0.100
08  	  N  	  0.125  	  0.100
09  	  N  	  0.111  	  0.100
10  	  N  	  0.100  	  0.100
11  	  R  	  0.182  	  0.200
12  	  N  	  0.167  	  0.200
13  	  N  	  0.154  	  0.200
14  	  N  	  0.143  	  0.200
15  	  R  	  0.200  	  0.300
16  	  N  	  0.188  	  0.300
17  	  N  	  0.176  	  0.300
18  	  N  	  0.167  	  0.300
19  	  N  	  0.158  	  0.300
20  	  R  	  0.200  	  0.400
21  	  N  	  0.190  	  0.400
22  	  N  	  0.182  	  0.400
23  	  N  	  0.174  	  0.400
24  	  N  	  0.167  	  0.400
25  	  N  	  0.160  	  0.400
26  	  N  	  0.154  	  0.400
27  	  N  	  0.148  	  0.400
28  	  N  	  0.143  	  0.400
29  	  N  	  0.138  	  0.400
30  	  N  	  0.133  	  0.400
31  	  R  	  0.161  	  0.500
32  	  N  	  0.156  	  0.500
33  	  R  	  0.182  	  0.600
34  	  N  	  0.176  	  0.600
35  	  N  	  0.171  	  0.600
36  	  N  	  0.167  	  0.600
37  	  N  	  0.162  	  0.600
38  	  R  	  0.184  	  0.700
39  	  N  	  0.179  	  0.700
40  	  N  	  0.175  	  0.700
41  	  R  	  0.195  	  0.800
42  	  N  	  0.190  	  0.800
43  	  N  	  0.186  	  0.800
44  	  N  	  0.182  	  0.800
45  	  N  	  0.178  	  0.800
46  	  N  	  0.174  	  0.800
47  	  N  	  0.170  	  0.800
48  	  N  	  0.167  	  0.800
49  	  N  	  0.163  	  0.800
50  	  N  	  0.160  	  0.800
51  	  N  	  0.157  	  0.800
52  	  N  	  0.154  	  0.800
53  	  N  	  0.151  	  0.800
54  	  N  	  0.148  	  0.800
55  	  N  	  0.145  	  0.800
56  	  N  	  0.143  	  0.800
57  	  N  	  0.140  	  0.800
58  	  N  	  0.138  	  0.800
59  	  N  	  0.136  	  0.800
60  	  N  	  0.133  	  0.800
61  	  N  	  0.131  	  0.800
62  	  N  	  0.129  	  0.800
63  	  N  	  0.127  	  0.800
64  	  N  	  0.125  	  0.800
65  	  N  	  0.123  	  0.800
66  	  N  	  0.121  	  0.800
67  	  N  	  0.119  	  0.800
68  	  N  	  0.118  	  0.800
69  	  N  	  0.116  	  0.800
70  	  N  	  0.114  	  0.800
71  	  N  	  0.113  	  0.800
72  	  N  	  0.111  	  0.800
73  	  N  	  0.110  	  0.800
74  	  N  	  0.108  	  0.800
75  	  N  	  0.107  	  0.800
76  	  N  	  0.105  	  0.800
77  	  N  	  0.104  	  0.800
78  	  N  	  0.103  	  0.800
79  	  N  	  0.101  	  0.800
80  	  N  	  0.100  	  0.800
81  	  N  	  0.099  	  0.800
82  	  N  	  0.098  	  0.800
83  	  N  	  0.096  	  0.800
84  	  N  	  0.095  	  0.800
85  	  N  	  0.094  	  0.800
86  	  N  	  0.093  	  0.800
87  	  N  	  0.092  	  0.800
88  	  N  	  0.091  	  0.800
89  	  N  	  0.090  	  0.800
90  	  N  	  0.089  	  0.800
91  	  N  	  0.088  	  0.800
92  	  N  	  0.087  	  0.800
93  	  N  	  0.086  	  0.800
94  	  N  	  0.085  	  0.800
95  	  N  	  0.084  	  0.800
96  	  N  	  0.083  	  0.800
97  	  N  	  0.082  	  0.800
98  	  N  	  0.082  	  0.800
99  	  N  	  0.081  	  0.800
100  	  N  	  0.080  	  0.800
