Query 43: anislyas and pctreepion of shape by humans and croetumps shape ditonspiecrs shape rgooicinten by ctepoumr two dosanienmil shapes mesaerus of cuilcrratiy shape matching

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.024
02  	  N  	  0.500  	  0.024
03  	  N  	  0.333  	  0.024
04  	  N  	  0.250  	  0.024
05  	  N  	  0.200  	  0.024
06  	  N  	  0.167  	  0.024
07  	  N  	  0.143  	  0.024
08  	  R  	  0.250  	  0.049
09  	  N  	  0.222  	  0.049
10  	  N  	  0.200  	  0.049
11  	  N  	  0.182  	  0.049
12  	  R  	  0.250  	  0.073
13  	  R  	  0.308  	  0.098
14  	  N  	  0.286  	  0.098
15  	  N  	  0.267  	  0.098
16  	  R  	  0.312  	  0.122
17  	  N  	  0.294  	  0.122
18  	  R  	  0.333  	  0.146
19  	  N  	  0.316  	  0.146
20  	  N  	  0.300  	  0.146
21  	  N  	  0.286  	  0.146
22  	  R  	  0.318  	  0.171
23  	  N  	  0.304  	  0.171
24  	  N  	  0.292  	  0.171
25  	  N  	  0.280  	  0.171
26  	  N  	  0.269  	  0.171
27  	  N  	  0.259  	  0.171
28  	  N  	  0.250  	  0.171
29  	  R  	  0.276  	  0.195
30  	  N  	  0.267  	  0.195
31  	  N  	  0.258  	  0.195
32  	  N  	  0.250  	  0.195
33  	  N  	  0.242  	  0.195
34  	  R  	  0.265  	  0.220
35  	  N  	  0.257  	  0.220
36  	  N  	  0.250  	  0.220
37  	  N  	  0.243  	  0.220
38  	  N  	  0.237  	  0.220
39  	  N  	  0.231  	  0.220
40  	  N  	  0.225  	  0.220
41  	  N  	  0.220  	  0.220
42  	  N  	  0.214  	  0.220
43  	  N  	  0.209  	  0.220
44  	  N  	  0.205  	  0.220
45  	  N  	  0.200  	  0.220
46  	  N  	  0.196  	  0.220
47  	  N  	  0.191  	  0.220
48  	  N  	  0.188  	  0.220
49  	  N  	  0.184  	  0.220
50  	  N  	  0.180  	  0.220
51  	  N  	  0.176  	  0.220
52  	  N  	  0.173  	  0.220
53  	  N  	  0.170  	  0.220
54  	  N  	  0.167  	  0.220
55  	  N  	  0.164  	  0.220
56  	  N  	  0.161  	  0.220
57  	  N  	  0.158  	  0.220
58  	  N  	  0.155  	  0.220
59  	  N  	  0.153  	  0.220
60  	  N  	  0.150  	  0.220
61  	  N  	  0.148  	  0.220
62  	  N  	  0.145  	  0.220
63  	  N  	  0.143  	  0.220
64  	  N  	  0.141  	  0.220
65  	  N  	  0.138  	  0.220
66  	  N  	  0.136  	  0.220
67  	  N  	  0.134  	  0.220
68  	  N  	  0.132  	  0.220
69  	  N  	  0.130  	  0.220
70  	  N  	  0.129  	  0.220
71  	  N  	  0.127  	  0.220
72  	  N  	  0.125  	  0.220
73  	  N  	  0.123  	  0.220
74  	  N  	  0.122  	  0.220
75  	  N  	  0.120  	  0.220
76  	  N  	  0.118  	  0.220
77  	  N  	  0.117  	  0.220
78  	  N  	  0.115  	  0.220
79  	  N  	  0.114  	  0.220
80  	  N  	  0.113  	  0.220
81  	  N  	  0.111  	  0.220
82  	  N  	  0.110  	  0.220
83  	  N  	  0.108  	  0.220
84  	  N  	  0.107  	  0.220
85  	  N  	  0.106  	  0.220
86  	  N  	  0.105  	  0.220
87  	  N  	  0.103  	  0.220
88  	  N  	  0.102  	  0.220
89  	  N  	  0.101  	  0.220
90  	  N  	  0.100  	  0.220
91  	  N  	  0.099  	  0.220
92  	  N  	  0.098  	  0.220
93  	  N  	  0.097  	  0.220
94  	  N  	  0.096  	  0.220
95  	  N  	  0.095  	  0.220
96  	  N  	  0.094  	  0.220
97  	  N  	  0.093  	  0.220
98  	  N  	  0.092  	  0.220
99  	  N  	  0.091  	  0.220
100  	  N  	  0.090  	  0.220
