Query 44: texture ainlsays by computer dtizigeid texture analysis texture synhtseis prcepteion of texture

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.059
02  	  R  	  1.000  	  0.118
03  	  N  	  0.667  	  0.118
04  	  N  	  0.500  	  0.118
05  	  N  	  0.400  	  0.118
06  	  N  	  0.333  	  0.118
07  	  N  	  0.286  	  0.118
08  	  N  	  0.250  	  0.118
09  	  N  	  0.222  	  0.118
10  	  N  	  0.200  	  0.118
11  	  N  	  0.182  	  0.118
12  	  N  	  0.167  	  0.118
13  	  N  	  0.154  	  0.118
14  	  N  	  0.143  	  0.118
15  	  N  	  0.133  	  0.118
16  	  N  	  0.125  	  0.118
17  	  N  	  0.118  	  0.118
18  	  N  	  0.111  	  0.118
19  	  N  	  0.105  	  0.118
20  	  N  	  0.100  	  0.118
21  	  N  	  0.095  	  0.118
22  	  N  	  0.091  	  0.118
23  	  N  	  0.087  	  0.118
24  	  N  	  0.083  	  0.118
25  	  N  	  0.080  	  0.118
26  	  N  	  0.077  	  0.118
27  	  N  	  0.074  	  0.118
28  	  N  	  0.071  	  0.118
29  	  N  	  0.069  	  0.118
30  	  N  	  0.067  	  0.118
31  	  N  	  0.065  	  0.118
32  	  N  	  0.062  	  0.118
33  	  N  	  0.061  	  0.118
34  	  N  	  0.059  	  0.118
35  	  N  	  0.057  	  0.118
36  	  N  	  0.056  	  0.118
37  	  N  	  0.054  	  0.118
38  	  N  	  0.053  	  0.118
39  	  N  	  0.051  	  0.118
40  	  N  	  0.050  	  0.118
41  	  N  	  0.049  	  0.118
42  	  N  	  0.048  	  0.118
43  	  N  	  0.047  	  0.118
44  	  N  	  0.045  	  0.118
45  	  N  	  0.044  	  0.118
46  	  N  	  0.043  	  0.118
47  	  N  	  0.043  	  0.118
48  	  N  	  0.042  	  0.118
49  	  N  	  0.041  	  0.118
50  	  N  	  0.040  	  0.118
51  	  N  	  0.039  	  0.118
52  	  N  	  0.038  	  0.118
53  	  N  	  0.038  	  0.118
54  	  N  	  0.037  	  0.118
55  	  N  	  0.036  	  0.118
56  	  N  	  0.036  	  0.118
57  	  N  	  0.035  	  0.118
58  	  N  	  0.034  	  0.118
59  	  N  	  0.034  	  0.118
60  	  N  	  0.033  	  0.118
61  	  N  	  0.033  	  0.118
62  	  N  	  0.032  	  0.118
63  	  N  	  0.032  	  0.118
64  	  N  	  0.031  	  0.118
65  	  N  	  0.031  	  0.118
66  	  N  	  0.030  	  0.118
67  	  N  	  0.030  	  0.118
68  	  N  	  0.029  	  0.118
69  	  N  	  0.029  	  0.118
70  	  N  	  0.029  	  0.118
71  	  N  	  0.028  	  0.118
72  	  N  	  0.028  	  0.118
73  	  N  	  0.027  	  0.118
74  	  N  	  0.027  	  0.118
75  	  N  	  0.027  	  0.118
76  	  N  	  0.026  	  0.118
77  	  N  	  0.026  	  0.118
78  	  N  	  0.026  	  0.118
79  	  N  	  0.025  	  0.118
80  	  N  	  0.025  	  0.118
81  	  N  	  0.025  	  0.118
82  	  N  	  0.024  	  0.118
83  	  N  	  0.024  	  0.118
84  	  N  	  0.024  	  0.118
85  	  N  	  0.024  	  0.118
86  	  N  	  0.023  	  0.118
87  	  N  	  0.023  	  0.118
88  	  N  	  0.023  	  0.118
89  	  N  	  0.022  	  0.118
90  	  N  	  0.022  	  0.118
91  	  N  	  0.022  	  0.118
92  	  N  	  0.022  	  0.118
93  	  N  	  0.022  	  0.118
94  	  N  	  0.021  	  0.118
95  	  N  	  0.021  	  0.118
96  	  N  	  0.021  	  0.118
97  	  N  	  0.021  	  0.118
98  	  N  	  0.020  	  0.118
99  	  N  	  0.020  	  0.118
100  	  N  	  0.020  	  0.118
