Query 45: the use of opietrnoas rreacseh models to optimize imoftnaorin system pnecoarfmre this includes fine tuning dseiocnis such as sdceranoy index sitcoleen file rarieizoogtnan and diiesubttrd daaabests

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.038
02  	  N  	  0.500  	  0.038
03  	  N  	  0.333  	  0.038
04  	  N  	  0.250  	  0.038
05  	  N  	  0.200  	  0.038
06  	  N  	  0.167  	  0.038
07  	  R  	  0.286  	  0.077
08  	  N  	  0.250  	  0.077
09  	  N  	  0.222  	  0.077
10  	  N  	  0.200  	  0.077
11  	  N  	  0.182  	  0.077
12  	  N  	  0.167  	  0.077
13  	  N  	  0.154  	  0.077
14  	  N  	  0.143  	  0.077
15  	  N  	  0.133  	  0.077
16  	  N  	  0.125  	  0.077
17  	  N  	  0.118  	  0.077
18  	  N  	  0.111  	  0.077
19  	  N  	  0.105  	  0.077
20  	  N  	  0.100  	  0.077
21  	  N  	  0.095  	  0.077
22  	  N  	  0.091  	  0.077
23  	  N  	  0.087  	  0.077
24  	  N  	  0.083  	  0.077
25  	  N  	  0.080  	  0.077
26  	  R  	  0.115  	  0.115
27  	  N  	  0.111  	  0.115
28  	  N  	  0.107  	  0.115
29  	  N  	  0.103  	  0.115
30  	  N  	  0.100  	  0.115
31  	  N  	  0.097  	  0.115
32  	  N  	  0.094  	  0.115
33  	  N  	  0.091  	  0.115
34  	  N  	  0.088  	  0.115
35  	  N  	  0.086  	  0.115
36  	  R  	  0.111  	  0.154
37  	  R  	  0.135  	  0.192
38  	  N  	  0.132  	  0.192
39  	  N  	  0.128  	  0.192
40  	  N  	  0.125  	  0.192
41  	  N  	  0.122  	  0.192
42  	  R  	  0.143  	  0.231
43  	  N  	  0.140  	  0.231
44  	  N  	  0.136  	  0.231
45  	  N  	  0.133  	  0.231
46  	  N  	  0.130  	  0.231
47  	  N  	  0.128  	  0.231
48  	  N  	  0.125  	  0.231
49  	  N  	  0.122  	  0.231
50  	  N  	  0.120  	  0.231
51  	  N  	  0.118  	  0.231
52  	  N  	  0.115  	  0.231
53  	  N  	  0.113  	  0.231
54  	  N  	  0.111  	  0.231
55  	  N  	  0.109  	  0.231
56  	  N  	  0.107  	  0.231
57  	  N  	  0.105  	  0.231
58  	  N  	  0.103  	  0.231
59  	  N  	  0.102  	  0.231
60  	  N  	  0.100  	  0.231
61  	  N  	  0.098  	  0.231
62  	  N  	  0.097  	  0.231
63  	  N  	  0.095  	  0.231
64  	  N  	  0.094  	  0.231
65  	  N  	  0.092  	  0.231
66  	  N  	  0.091  	  0.231
67  	  N  	  0.090  	  0.231
68  	  N  	  0.088  	  0.231
69  	  N  	  0.087  	  0.231
70  	  N  	  0.086  	  0.231
71  	  N  	  0.085  	  0.231
72  	  N  	  0.083  	  0.231
73  	  R  	  0.096  	  0.269
74  	  N  	  0.095  	  0.269
75  	  N  	  0.093  	  0.269
76  	  N  	  0.092  	  0.269
77  	  N  	  0.091  	  0.269
78  	  N  	  0.090  	  0.269
79  	  R  	  0.101  	  0.308
80  	  N  	  0.100  	  0.308
81  	  N  	  0.099  	  0.308
82  	  N  	  0.098  	  0.308
83  	  N  	  0.096  	  0.308
84  	  R  	  0.107  	  0.346
85  	  N  	  0.106  	  0.346
86  	  N  	  0.105  	  0.346
87  	  R  	  0.115  	  0.385
88  	  N  	  0.114  	  0.385
89  	  N  	  0.112  	  0.385
90  	  N  	  0.111  	  0.385
91  	  N  	  0.110  	  0.385
92  	  N  	  0.109  	  0.385
93  	  N  	  0.108  	  0.385
94  	  N  	  0.106  	  0.385
95  	  N  	  0.105  	  0.385
96  	  N  	  0.104  	  0.385
97  	  N  	  0.103  	  0.385
98  	  N  	  0.102  	  0.385
99  	  N  	  0.101  	  0.385
100  	  N  	  0.100  	  0.385
