Query 58: ahigmlrtos or ssataicttil pcaakges for anova rosregeisn using least serqaus or gleirzeenad linear models system design cabepliitias saitttaicsl formula are of iestnret student s t test wicolxon and sign tests maaiutilvtre and untivairae cmnpneoots can be ielcundd

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  N  	  0.000  	  0.000
07  	  N  	  0.000  	  0.000
08  	  N  	  0.000  	  0.000
09  	  N  	  0.000  	  0.000
10  	  N  	  0.000  	  0.000
11  	  N  	  0.000  	  0.000
12  	  N  	  0.000  	  0.000
13  	  N  	  0.000  	  0.000
14  	  N  	  0.000  	  0.000
15  	  N  	  0.000  	  0.000
16  	  N  	  0.000  	  0.000
17  	  N  	  0.000  	  0.000
18  	  N  	  0.000  	  0.000
19  	  R  	  0.053  	  0.033
20  	  N  	  0.050  	  0.033
21  	  N  	  0.048  	  0.033
22  	  N  	  0.045  	  0.033
23  	  N  	  0.043  	  0.033
24  	  R  	  0.083  	  0.067
25  	  N  	  0.080  	  0.067
26  	  N  	  0.077  	  0.067
27  	  N  	  0.074  	  0.067
28  	  N  	  0.071  	  0.067
29  	  N  	  0.069  	  0.067
30  	  N  	  0.067  	  0.067
31  	  N  	  0.065  	  0.067
32  	  N  	  0.062  	  0.067
33  	  N  	  0.061  	  0.067
34  	  N  	  0.059  	  0.067
35  	  N  	  0.057  	  0.067
36  	  R  	  0.083  	  0.100
37  	  N  	  0.081  	  0.100
38  	  N  	  0.079  	  0.100
39  	  N  	  0.077  	  0.100
40  	  N  	  0.075  	  0.100
41  	  N  	  0.073  	  0.100
42  	  N  	  0.071  	  0.100
43  	  N  	  0.070  	  0.100
44  	  N  	  0.068  	  0.100
45  	  N  	  0.067  	  0.100
46  	  N  	  0.065  	  0.100
47  	  N  	  0.064  	  0.100
48  	  N  	  0.062  	  0.100
49  	  N  	  0.061  	  0.100
50  	  N  	  0.060  	  0.100
51  	  N  	  0.059  	  0.100
52  	  N  	  0.058  	  0.100
53  	  N  	  0.057  	  0.100
54  	  N  	  0.056  	  0.100
55  	  N  	  0.055  	  0.100
56  	  N  	  0.054  	  0.100
57  	  N  	  0.053  	  0.100
58  	  N  	  0.052  	  0.100
59  	  N  	  0.051  	  0.100
60  	  N  	  0.050  	  0.100
61  	  N  	  0.049  	  0.100
62  	  N  	  0.048  	  0.100
63  	  N  	  0.048  	  0.100
64  	  N  	  0.047  	  0.100
65  	  N  	  0.046  	  0.100
66  	  N  	  0.045  	  0.100
67  	  N  	  0.045  	  0.100
68  	  N  	  0.044  	  0.100
69  	  N  	  0.043  	  0.100
70  	  N  	  0.043  	  0.100
71  	  N  	  0.042  	  0.100
72  	  N  	  0.042  	  0.100
73  	  R  	  0.055  	  0.133
74  	  N  	  0.054  	  0.133
75  	  N  	  0.053  	  0.133
76  	  N  	  0.053  	  0.133
77  	  R  	  0.065  	  0.167
78  	  N  	  0.064  	  0.167
79  	  N  	  0.063  	  0.167
80  	  N  	  0.062  	  0.167
81  	  N  	  0.062  	  0.167
82  	  N  	  0.061  	  0.167
83  	  N  	  0.060  	  0.167
84  	  N  	  0.060  	  0.167
85  	  N  	  0.059  	  0.167
86  	  N  	  0.058  	  0.167
87  	  N  	  0.057  	  0.167
88  	  N  	  0.057  	  0.167
89  	  N  	  0.056  	  0.167
90  	  N  	  0.056  	  0.167
91  	  N  	  0.055  	  0.167
92  	  N  	  0.054  	  0.167
93  	  N  	  0.054  	  0.167
94  	  N  	  0.053  	  0.167
95  	  N  	  0.053  	  0.167
96  	  N  	  0.052  	  0.167
97  	  N  	  0.052  	  0.167
98  	  N  	  0.051  	  0.167
99  	  N  	  0.051  	  0.167
100  	  N  	  0.050  	  0.167
