Query 59: dntoaiciry cocorunstitn and accesnisg mothdes for fast riatvreel of words or lxiceal items or miapllghcoroloy related iifmrnatoon hashing or innixdeg methods are usually applied to english spnilelg or natural lagganue probemls

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  R  	  0.250  	  0.023
05  	  R  	  0.400  	  0.047
06  	  R  	  0.500  	  0.070
07  	  N  	  0.429  	  0.070
08  	  R  	  0.500  	  0.093
09  	  N  	  0.444  	  0.093
10  	  N  	  0.400  	  0.093
11  	  N  	  0.364  	  0.093
12  	  N  	  0.333  	  0.093
13  	  N  	  0.308  	  0.093
14  	  N  	  0.286  	  0.093
15  	  N  	  0.267  	  0.093
16  	  N  	  0.250  	  0.093
17  	  N  	  0.235  	  0.093
18  	  N  	  0.222  	  0.093
19  	  N  	  0.211  	  0.093
20  	  N  	  0.200  	  0.093
21  	  N  	  0.190  	  0.093
22  	  N  	  0.182  	  0.093
23  	  N  	  0.174  	  0.093
24  	  N  	  0.167  	  0.093
25  	  N  	  0.160  	  0.093
26  	  N  	  0.154  	  0.093
27  	  N  	  0.148  	  0.093
28  	  N  	  0.143  	  0.093
29  	  N  	  0.138  	  0.093
30  	  R  	  0.167  	  0.116
31  	  N  	  0.161  	  0.116
32  	  N  	  0.156  	  0.116
33  	  R  	  0.182  	  0.140
34  	  N  	  0.176  	  0.140
35  	  N  	  0.171  	  0.140
36  	  N  	  0.167  	  0.140
37  	  N  	  0.162  	  0.140
38  	  N  	  0.158  	  0.140
39  	  N  	  0.154  	  0.140
40  	  N  	  0.150  	  0.140
41  	  N  	  0.146  	  0.140
42  	  N  	  0.143  	  0.140
43  	  N  	  0.140  	  0.140
44  	  N  	  0.136  	  0.140
45  	  N  	  0.133  	  0.140
46  	  N  	  0.130  	  0.140
47  	  N  	  0.128  	  0.140
48  	  R  	  0.146  	  0.163
49  	  N  	  0.143  	  0.163
50  	  N  	  0.140  	  0.163
51  	  N  	  0.137  	  0.163
52  	  N  	  0.135  	  0.163
53  	  N  	  0.132  	  0.163
54  	  N  	  0.130  	  0.163
55  	  N  	  0.127  	  0.163
56  	  N  	  0.125  	  0.163
57  	  N  	  0.123  	  0.163
58  	  N  	  0.121  	  0.163
59  	  N  	  0.119  	  0.163
60  	  N  	  0.117  	  0.163
61  	  N  	  0.115  	  0.163
62  	  N  	  0.113  	  0.163
63  	  N  	  0.111  	  0.163
64  	  N  	  0.109  	  0.163
65  	  N  	  0.108  	  0.163
66  	  N  	  0.106  	  0.163
67  	  N  	  0.104  	  0.163
68  	  N  	  0.103  	  0.163
69  	  N  	  0.101  	  0.163
70  	  N  	  0.100  	  0.163
71  	  N  	  0.099  	  0.163
72  	  N  	  0.097  	  0.163
73  	  N  	  0.096  	  0.163
74  	  N  	  0.095  	  0.163
75  	  N  	  0.093  	  0.163
76  	  N  	  0.092  	  0.163
77  	  N  	  0.091  	  0.163
78  	  N  	  0.090  	  0.163
79  	  N  	  0.089  	  0.163
80  	  N  	  0.087  	  0.163
81  	  N  	  0.086  	  0.163
82  	  N  	  0.085  	  0.163
83  	  N  	  0.084  	  0.163
84  	  N  	  0.083  	  0.163
85  	  R  	  0.094  	  0.186
86  	  N  	  0.093  	  0.186
87  	  N  	  0.092  	  0.186
88  	  N  	  0.091  	  0.186
89  	  N  	  0.090  	  0.186
90  	  N  	  0.089  	  0.186
91  	  N  	  0.088  	  0.186
92  	  N  	  0.087  	  0.186
93  	  N  	  0.086  	  0.186
94  	  N  	  0.085  	  0.186
95  	  N  	  0.084  	  0.186
96  	  N  	  0.083  	  0.186
97  	  N  	  0.082  	  0.186
98  	  N  	  0.082  	  0.186
99  	  N  	  0.081  	  0.186
100  	  N  	  0.080  	  0.186
