Query 60: hdarrwae and stfoarwe retnilag to dtasaabe mneneaamgt seytmss dsaatabe pgceakas back end cptroumes sicapel aavcsioitse harradwe with mrroctemcoipus ahaettcd to disk heads or things like rap rliaetaonl or network codasyl or hecrrcaaiihl models systems like system r ims adabas total etc

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  R  	  0.333  	  0.037
04  	  N  	  0.250  	  0.037
05  	  N  	  0.200  	  0.037
06  	  N  	  0.167  	  0.037
07  	  N  	  0.143  	  0.037
08  	  N  	  0.125  	  0.037
09  	  N  	  0.111  	  0.037
10  	  N  	  0.100  	  0.037
11  	  N  	  0.091  	  0.037
12  	  N  	  0.083  	  0.037
13  	  N  	  0.077  	  0.037
14  	  N  	  0.071  	  0.037
15  	  N  	  0.067  	  0.037
16  	  N  	  0.062  	  0.037
17  	  N  	  0.059  	  0.037
18  	  N  	  0.056  	  0.037
19  	  N  	  0.053  	  0.037
20  	  N  	  0.050  	  0.037
21  	  N  	  0.048  	  0.037
22  	  N  	  0.045  	  0.037
23  	  N  	  0.043  	  0.037
24  	  N  	  0.042  	  0.037
25  	  N  	  0.040  	  0.037
26  	  N  	  0.038  	  0.037
27  	  N  	  0.037  	  0.037
28  	  R  	  0.071  	  0.074
29  	  N  	  0.069  	  0.074
30  	  N  	  0.067  	  0.074
31  	  N  	  0.065  	  0.074
32  	  N  	  0.062  	  0.074
33  	  N  	  0.061  	  0.074
34  	  N  	  0.059  	  0.074
35  	  N  	  0.057  	  0.074
36  	  N  	  0.056  	  0.074
37  	  N  	  0.054  	  0.074
38  	  N  	  0.053  	  0.074
39  	  N  	  0.051  	  0.074
40  	  N  	  0.050  	  0.074
41  	  N  	  0.049  	  0.074
42  	  N  	  0.048  	  0.074
43  	  N  	  0.047  	  0.074
44  	  N  	  0.045  	  0.074
45  	  N  	  0.044  	  0.074
46  	  N  	  0.043  	  0.074
47  	  N  	  0.043  	  0.074
48  	  N  	  0.042  	  0.074
49  	  N  	  0.041  	  0.074
50  	  N  	  0.040  	  0.074
51  	  N  	  0.039  	  0.074
52  	  N  	  0.038  	  0.074
53  	  N  	  0.038  	  0.074
54  	  N  	  0.037  	  0.074
55  	  N  	  0.036  	  0.074
56  	  N  	  0.036  	  0.074
57  	  N  	  0.035  	  0.074
58  	  N  	  0.034  	  0.074
59  	  N  	  0.034  	  0.074
60  	  N  	  0.033  	  0.074
61  	  N  	  0.033  	  0.074
62  	  N  	  0.032  	  0.074
63  	  N  	  0.032  	  0.074
64  	  N  	  0.031  	  0.074
65  	  N  	  0.031  	  0.074
66  	  N  	  0.030  	  0.074
67  	  N  	  0.030  	  0.074
68  	  N  	  0.029  	  0.074
69  	  N  	  0.029  	  0.074
70  	  R  	  0.043  	  0.111
71  	  N  	  0.042  	  0.111
72  	  N  	  0.042  	  0.111
73  	  N  	  0.041  	  0.111
74  	  N  	  0.041  	  0.111
75  	  N  	  0.040  	  0.111
76  	  N  	  0.039  	  0.111
77  	  N  	  0.039  	  0.111
78  	  R  	  0.051  	  0.148
79  	  N  	  0.051  	  0.148
80  	  N  	  0.050  	  0.148
81  	  N  	  0.049  	  0.148
82  	  N  	  0.049  	  0.148
83  	  N  	  0.048  	  0.148
84  	  N  	  0.048  	  0.148
85  	  N  	  0.047  	  0.148
86  	  N  	  0.047  	  0.148
87  	  N  	  0.046  	  0.148
88  	  N  	  0.045  	  0.148
89  	  N  	  0.045  	  0.148
90  	  N  	  0.044  	  0.148
91  	  N  	  0.044  	  0.148
92  	  N  	  0.043  	  0.148
93  	  N  	  0.043  	  0.148
94  	  N  	  0.043  	  0.148
95  	  N  	  0.042  	  0.148
96  	  N  	  0.042  	  0.148
97  	  N  	  0.041  	  0.148
98  	  N  	  0.041  	  0.148
99  	  N  	  0.040  	  0.148
100  	  N  	  0.040  	  0.148
