Query 61: irmoniafton rteverial atlrecis by gerard salton or others about csiuletrng brilihaigobpc conlpuig use of ctaotiins or co cnttaoiis the vector space model beooaln search mtodehs using itvnered files fbedaeck etc salton g

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.032
02  	  N  	  0.500  	  0.032
03  	  R  	  0.667  	  0.065
04  	  R  	  0.750  	  0.097
05  	  N  	  0.600  	  0.097
06  	  R  	  0.667  	  0.129
07  	  N  	  0.571  	  0.129
08  	  R  	  0.625  	  0.161
09  	  R  	  0.667  	  0.194
10  	  R  	  0.700  	  0.226
11  	  N  	  0.636  	  0.226
12  	  N  	  0.583  	  0.226
13  	  N  	  0.538  	  0.226
14  	  N  	  0.500  	  0.226
15  	  N  	  0.467  	  0.226
16  	  N  	  0.438  	  0.226
17  	  N  	  0.412  	  0.226
18  	  N  	  0.389  	  0.226
19  	  N  	  0.368  	  0.226
20  	  N  	  0.350  	  0.226
21  	  N  	  0.333  	  0.226
22  	  N  	  0.318  	  0.226
23  	  N  	  0.304  	  0.226
24  	  N  	  0.292  	  0.226
25  	  N  	  0.280  	  0.226
26  	  N  	  0.269  	  0.226
27  	  N  	  0.259  	  0.226
28  	  N  	  0.250  	  0.226
29  	  N  	  0.241  	  0.226
30  	  N  	  0.233  	  0.226
31  	  R  	  0.258  	  0.258
32  	  N  	  0.250  	  0.258
33  	  N  	  0.242  	  0.258
34  	  N  	  0.235  	  0.258
35  	  N  	  0.229  	  0.258
36  	  N  	  0.222  	  0.258
37  	  N  	  0.216  	  0.258
38  	  N  	  0.211  	  0.258
39  	  N  	  0.205  	  0.258
40  	  N  	  0.200  	  0.258
41  	  N  	  0.195  	  0.258
42  	  N  	  0.190  	  0.258
43  	  N  	  0.186  	  0.258
44  	  N  	  0.182  	  0.258
45  	  N  	  0.178  	  0.258
46  	  N  	  0.174  	  0.258
47  	  N  	  0.170  	  0.258
48  	  N  	  0.167  	  0.258
49  	  N  	  0.163  	  0.258
50  	  N  	  0.160  	  0.258
51  	  N  	  0.157  	  0.258
52  	  R  	  0.173  	  0.290
53  	  N  	  0.170  	  0.290
54  	  N  	  0.167  	  0.290
55  	  R  	  0.182  	  0.323
56  	  N  	  0.179  	  0.323
57  	  N  	  0.175  	  0.323
58  	  N  	  0.172  	  0.323
59  	  N  	  0.169  	  0.323
60  	  N  	  0.167  	  0.323
61  	  N  	  0.164  	  0.323
62  	  N  	  0.161  	  0.323
63  	  N  	  0.159  	  0.323
64  	  N  	  0.156  	  0.323
65  	  N  	  0.154  	  0.323
66  	  N  	  0.152  	  0.323
67  	  N  	  0.149  	  0.323
68  	  N  	  0.147  	  0.323
69  	  N  	  0.145  	  0.323
70  	  N  	  0.143  	  0.323
71  	  N  	  0.141  	  0.323
72  	  N  	  0.139  	  0.323
73  	  N  	  0.137  	  0.323
74  	  R  	  0.149  	  0.355
75  	  N  	  0.147  	  0.355
76  	  N  	  0.145  	  0.355
77  	  N  	  0.143  	  0.355
78  	  N  	  0.141  	  0.355
79  	  N  	  0.139  	  0.355
80  	  N  	  0.138  	  0.355
81  	  N  	  0.136  	  0.355
82  	  N  	  0.134  	  0.355
83  	  N  	  0.133  	  0.355
84  	  N  	  0.131  	  0.355
85  	  N  	  0.129  	  0.355
86  	  N  	  0.128  	  0.355
87  	  N  	  0.126  	  0.355
88  	  N  	  0.125  	  0.355
89  	  N  	  0.124  	  0.355
90  	  N  	  0.122  	  0.355
91  	  N  	  0.121  	  0.355
92  	  N  	  0.120  	  0.355
93  	  N  	  0.118  	  0.355
94  	  N  	  0.117  	  0.355
95  	  N  	  0.116  	  0.355
96  	  N  	  0.115  	  0.355
97  	  N  	  0.113  	  0.355
98  	  N  	  0.112  	  0.355
99  	  N  	  0.111  	  0.355
100  	  N  	  0.110  	  0.355
