Query 10: parallel lngaueags languages for parallel coimuatotpn

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  R  	  0.200  	  0.029
06  	  R  	  0.333  	  0.057
07  	  N  	  0.286  	  0.057
08  	  N  	  0.250  	  0.057
09  	  N  	  0.222  	  0.057
10  	  N  	  0.200  	  0.057
11  	  N  	  0.182  	  0.057
12  	  N  	  0.167  	  0.057
13  	  N  	  0.154  	  0.057
14  	  N  	  0.143  	  0.057
15  	  N  	  0.133  	  0.057
16  	  R  	  0.188  	  0.086
17  	  N  	  0.176  	  0.086
18  	  R  	  0.222  	  0.114
19  	  N  	  0.211  	  0.114
20  	  N  	  0.200  	  0.114
21  	  N  	  0.190  	  0.114
22  	  R  	  0.227  	  0.143
23  	  R  	  0.261  	  0.171
24  	  R  	  0.292  	  0.200
25  	  N  	  0.280  	  0.200
26  	  N  	  0.269  	  0.200
27  	  N  	  0.259  	  0.200
28  	  N  	  0.250  	  0.200
29  	  N  	  0.241  	  0.200
30  	  N  	  0.233  	  0.200
31  	  N  	  0.226  	  0.200
32  	  N  	  0.219  	  0.200
33  	  R  	  0.242  	  0.229
34  	  N  	  0.235  	  0.229
35  	  N  	  0.229  	  0.229
36  	  R  	  0.250  	  0.257
37  	  N  	  0.243  	  0.257
38  	  N  	  0.237  	  0.257
39  	  N  	  0.231  	  0.257
40  	  N  	  0.225  	  0.257
41  	  N  	  0.220  	  0.257
42  	  N  	  0.214  	  0.257
43  	  R  	  0.233  	  0.286
44  	  R  	  0.250  	  0.314
45  	  R  	  0.267  	  0.343
46  	  N  	  0.261  	  0.343
47  	  N  	  0.255  	  0.343
48  	  N  	  0.250  	  0.343
49  	  N  	  0.245  	  0.343
50  	  N  	  0.240  	  0.343
51  	  N  	  0.235  	  0.343
52  	  R  	  0.250  	  0.371
53  	  N  	  0.245  	  0.371
54  	  N  	  0.241  	  0.371
55  	  N  	  0.236  	  0.371
56  	  N  	  0.232  	  0.371
57  	  N  	  0.228  	  0.371
58  	  N  	  0.224  	  0.371
59  	  N  	  0.220  	  0.371
60  	  N  	  0.217  	  0.371
61  	  N  	  0.213  	  0.371
62  	  N  	  0.210  	  0.371
63  	  N  	  0.206  	  0.371
64  	  N  	  0.203  	  0.371
65  	  N  	  0.200  	  0.371
66  	  N  	  0.197  	  0.371
67  	  N  	  0.194  	  0.371
68  	  N  	  0.191  	  0.371
69  	  N  	  0.188  	  0.371
70  	  N  	  0.186  	  0.371
71  	  N  	  0.183  	  0.371
72  	  N  	  0.181  	  0.371
73  	  N  	  0.178  	  0.371
74  	  N  	  0.176  	  0.371
75  	  N  	  0.173  	  0.371
76  	  N  	  0.171  	  0.371
77  	  N  	  0.169  	  0.371
78  	  N  	  0.167  	  0.371
79  	  N  	  0.165  	  0.371
80  	  N  	  0.163  	  0.371
81  	  N  	  0.160  	  0.371
82  	  N  	  0.159  	  0.371
83  	  N  	  0.157  	  0.371
84  	  N  	  0.155  	  0.371
85  	  R  	  0.165  	  0.400
86  	  N  	  0.163  	  0.400
87  	  R  	  0.172  	  0.429
88  	  N  	  0.170  	  0.429
89  	  N  	  0.169  	  0.429
90  	  N  	  0.167  	  0.429
91  	  N  	  0.165  	  0.429
92  	  N  	  0.163  	  0.429
93  	  N  	  0.161  	  0.429
94  	  N  	  0.160  	  0.429
95  	  N  	  0.158  	  0.429
96  	  N  	  0.156  	  0.429
97  	  N  	  0.155  	  0.429
98  	  R  	  0.163  	  0.457
99  	  N  	  0.162  	  0.457
100  	  N  	  0.160  	  0.457
