Query 14: find all dsicussions of optimal innelitotamepms of sort altmhrigos for database magmnneeat aoaclntppiis

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.023
02  	  R  	  1.000  	  0.045
03  	  N  	  0.667  	  0.045
04  	  N  	  0.500  	  0.045
05  	  N  	  0.400  	  0.045
06  	  N  	  0.333  	  0.045
07  	  N  	  0.286  	  0.045
08  	  R  	  0.375  	  0.068
09  	  N  	  0.333  	  0.068
10  	  N  	  0.300  	  0.068
11  	  N  	  0.273  	  0.068
12  	  N  	  0.250  	  0.068
13  	  N  	  0.231  	  0.068
14  	  N  	  0.214  	  0.068
15  	  N  	  0.200  	  0.068
16  	  N  	  0.188  	  0.068
17  	  R  	  0.235  	  0.091
18  	  N  	  0.222  	  0.091
19  	  N  	  0.211  	  0.091
20  	  N  	  0.200  	  0.091
21  	  N  	  0.190  	  0.091
22  	  N  	  0.182  	  0.091
23  	  N  	  0.174  	  0.091
24  	  N  	  0.167  	  0.091
25  	  N  	  0.160  	  0.091
26  	  N  	  0.154  	  0.091
27  	  R  	  0.185  	  0.114
28  	  N  	  0.179  	  0.114
29  	  N  	  0.172  	  0.114
30  	  N  	  0.167  	  0.114
31  	  N  	  0.161  	  0.114
32  	  N  	  0.156  	  0.114
33  	  N  	  0.152  	  0.114
34  	  N  	  0.147  	  0.114
35  	  N  	  0.143  	  0.114
36  	  N  	  0.139  	  0.114
37  	  N  	  0.135  	  0.114
38  	  N  	  0.132  	  0.114
39  	  N  	  0.128  	  0.114
40  	  N  	  0.125  	  0.114
41  	  N  	  0.122  	  0.114
42  	  N  	  0.119  	  0.114
43  	  N  	  0.116  	  0.114
44  	  N  	  0.114  	  0.114
45  	  N  	  0.111  	  0.114
46  	  N  	  0.109  	  0.114
47  	  N  	  0.106  	  0.114
48  	  N  	  0.104  	  0.114
49  	  N  	  0.102  	  0.114
50  	  R  	  0.120  	  0.136
51  	  N  	  0.118  	  0.136
52  	  N  	  0.115  	  0.136
53  	  N  	  0.113  	  0.136
54  	  N  	  0.111  	  0.136
55  	  N  	  0.109  	  0.136
56  	  N  	  0.107  	  0.136
57  	  N  	  0.105  	  0.136
58  	  N  	  0.103  	  0.136
59  	  N  	  0.102  	  0.136
60  	  N  	  0.100  	  0.136
61  	  N  	  0.098  	  0.136
62  	  N  	  0.097  	  0.136
63  	  N  	  0.095  	  0.136
64  	  N  	  0.094  	  0.136
65  	  N  	  0.092  	  0.136
66  	  N  	  0.091  	  0.136
67  	  N  	  0.090  	  0.136
68  	  N  	  0.088  	  0.136
69  	  N  	  0.087  	  0.136
70  	  R  	  0.100  	  0.159
71  	  N  	  0.099  	  0.159
72  	  N  	  0.097  	  0.159
73  	  R  	  0.110  	  0.182
74  	  N  	  0.108  	  0.182
75  	  N  	  0.107  	  0.182
76  	  N  	  0.105  	  0.182
77  	  N  	  0.104  	  0.182
78  	  N  	  0.103  	  0.182
79  	  N  	  0.101  	  0.182
80  	  N  	  0.100  	  0.182
81  	  R  	  0.111  	  0.205
82  	  N  	  0.110  	  0.205
83  	  N  	  0.108  	  0.205
84  	  N  	  0.107  	  0.205
85  	  N  	  0.106  	  0.205
86  	  N  	  0.105  	  0.205
87  	  N  	  0.103  	  0.205
88  	  N  	  0.102  	  0.205
89  	  N  	  0.101  	  0.205
90  	  N  	  0.100  	  0.205
91  	  N  	  0.099  	  0.205
92  	  N  	  0.098  	  0.205
93  	  N  	  0.097  	  0.205
94  	  N  	  0.096  	  0.205
95  	  N  	  0.095  	  0.205
96  	  N  	  0.094  	  0.205
97  	  N  	  0.093  	  0.205
98  	  N  	  0.092  	  0.205
99  	  N  	  0.091  	  0.205
100  	  N  	  0.090  	  0.205
