Query 16: find all dtnopreiscis of file hanlindg in oiepnratg seytmss based on mlutilpe peoscsres and message passing

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.059
02  	  N  	  0.500  	  0.059
03  	  N  	  0.333  	  0.059
04  	  N  	  0.250  	  0.059
05  	  N  	  0.200  	  0.059
06  	  N  	  0.167  	  0.059
07  	  N  	  0.143  	  0.059
08  	  N  	  0.125  	  0.059
09  	  N  	  0.111  	  0.059
10  	  N  	  0.100  	  0.059
11  	  N  	  0.091  	  0.059
12  	  N  	  0.083  	  0.059
13  	  N  	  0.077  	  0.059
14  	  N  	  0.071  	  0.059
15  	  N  	  0.067  	  0.059
16  	  N  	  0.062  	  0.059
17  	  N  	  0.059  	  0.059
18  	  N  	  0.056  	  0.059
19  	  N  	  0.053  	  0.059
20  	  N  	  0.050  	  0.059
21  	  N  	  0.048  	  0.059
22  	  N  	  0.045  	  0.059
23  	  N  	  0.043  	  0.059
24  	  N  	  0.042  	  0.059
25  	  N  	  0.040  	  0.059
26  	  N  	  0.038  	  0.059
27  	  N  	  0.037  	  0.059
28  	  N  	  0.036  	  0.059
29  	  N  	  0.034  	  0.059
30  	  N  	  0.033  	  0.059
31  	  N  	  0.032  	  0.059
32  	  N  	  0.031  	  0.059
33  	  N  	  0.030  	  0.059
34  	  N  	  0.029  	  0.059
35  	  R  	  0.057  	  0.118
36  	  N  	  0.056  	  0.118
37  	  N  	  0.054  	  0.118
38  	  N  	  0.053  	  0.118
39  	  N  	  0.051  	  0.118
40  	  N  	  0.050  	  0.118
41  	  N  	  0.049  	  0.118
42  	  N  	  0.048  	  0.118
43  	  N  	  0.047  	  0.118
44  	  N  	  0.045  	  0.118
45  	  N  	  0.044  	  0.118
46  	  N  	  0.043  	  0.118
47  	  N  	  0.043  	  0.118
48  	  N  	  0.042  	  0.118
49  	  N  	  0.041  	  0.118
50  	  N  	  0.040  	  0.118
51  	  N  	  0.039  	  0.118
52  	  N  	  0.038  	  0.118
53  	  N  	  0.038  	  0.118
54  	  N  	  0.037  	  0.118
55  	  N  	  0.036  	  0.118
56  	  N  	  0.036  	  0.118
57  	  N  	  0.035  	  0.118
58  	  N  	  0.034  	  0.118
59  	  N  	  0.034  	  0.118
60  	  N  	  0.033  	  0.118
61  	  N  	  0.033  	  0.118
62  	  N  	  0.032  	  0.118
63  	  N  	  0.032  	  0.118
64  	  N  	  0.031  	  0.118
65  	  N  	  0.031  	  0.118
66  	  N  	  0.030  	  0.118
67  	  N  	  0.030  	  0.118
68  	  N  	  0.029  	  0.118
69  	  N  	  0.029  	  0.118
70  	  N  	  0.029  	  0.118
71  	  N  	  0.028  	  0.118
72  	  N  	  0.028  	  0.118
73  	  N  	  0.027  	  0.118
74  	  N  	  0.027  	  0.118
75  	  N  	  0.027  	  0.118
76  	  N  	  0.026  	  0.118
77  	  N  	  0.026  	  0.118
78  	  N  	  0.026  	  0.118
79  	  N  	  0.025  	  0.118
80  	  N  	  0.025  	  0.118
81  	  N  	  0.025  	  0.118
82  	  N  	  0.024  	  0.118
83  	  N  	  0.024  	  0.118
84  	  N  	  0.024  	  0.118
85  	  N  	  0.024  	  0.118
86  	  N  	  0.023  	  0.118
87  	  N  	  0.023  	  0.118
88  	  N  	  0.023  	  0.118
89  	  N  	  0.022  	  0.118
90  	  N  	  0.022  	  0.118
91  	  N  	  0.022  	  0.118
92  	  N  	  0.022  	  0.118
93  	  N  	  0.022  	  0.118
94  	  N  	  0.021  	  0.118
95  	  N  	  0.021  	  0.118
96  	  N  	  0.021  	  0.118
97  	  N  	  0.021  	  0.118
98  	  N  	  0.020  	  0.118
99  	  N  	  0.020  	  0.118
100  	  N  	  0.020  	  0.118
