Query 25: penrfmcaroe etuvaliaon and modelling of computer systems

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  N  	  0.000  	  0.000
07  	  N  	  0.000  	  0.000
08  	  N  	  0.000  	  0.000
09  	  N  	  0.000  	  0.000
10  	  N  	  0.000  	  0.000
11  	  N  	  0.000  	  0.000
12  	  N  	  0.000  	  0.000
13  	  N  	  0.000  	  0.000
14  	  N  	  0.000  	  0.000
15  	  N  	  0.000  	  0.000
16  	  N  	  0.000  	  0.000
17  	  N  	  0.000  	  0.000
18  	  N  	  0.000  	  0.000
19  	  N  	  0.000  	  0.000
20  	  N  	  0.000  	  0.000
21  	  N  	  0.000  	  0.000
22  	  N  	  0.000  	  0.000
23  	  N  	  0.000  	  0.000
24  	  N  	  0.000  	  0.000
25  	  N  	  0.000  	  0.000
26  	  N  	  0.000  	  0.000
27  	  N  	  0.000  	  0.000
28  	  N  	  0.000  	  0.000
29  	  N  	  0.000  	  0.000
30  	  N  	  0.000  	  0.000
31  	  N  	  0.000  	  0.000
32  	  N  	  0.000  	  0.000
33  	  N  	  0.000  	  0.000
34  	  N  	  0.000  	  0.000
35  	  R  	  0.029  	  0.020
36  	  N  	  0.028  	  0.020
37  	  N  	  0.027  	  0.020
38  	  N  	  0.026  	  0.020
39  	  N  	  0.026  	  0.020
40  	  N  	  0.025  	  0.020
41  	  N  	  0.024  	  0.020
42  	  N  	  0.024  	  0.020
43  	  N  	  0.023  	  0.020
44  	  N  	  0.023  	  0.020
45  	  N  	  0.022  	  0.020
46  	  N  	  0.022  	  0.020
47  	  N  	  0.021  	  0.020
48  	  N  	  0.021  	  0.020
49  	  N  	  0.020  	  0.020
50  	  N  	  0.020  	  0.020
51  	  N  	  0.020  	  0.020
52  	  N  	  0.019  	  0.020
53  	  N  	  0.019  	  0.020
54  	  N  	  0.019  	  0.020
55  	  N  	  0.018  	  0.020
56  	  N  	  0.018  	  0.020
57  	  N  	  0.018  	  0.020
58  	  R  	  0.034  	  0.039
59  	  N  	  0.034  	  0.039
60  	  N  	  0.033  	  0.039
61  	  N  	  0.033  	  0.039
62  	  N  	  0.032  	  0.039
63  	  N  	  0.032  	  0.039
64  	  N  	  0.031  	  0.039
65  	  N  	  0.031  	  0.039
66  	  R  	  0.045  	  0.059
67  	  N  	  0.045  	  0.059
68  	  N  	  0.044  	  0.059
69  	  R  	  0.058  	  0.078
70  	  N  	  0.057  	  0.078
71  	  N  	  0.056  	  0.078
72  	  N  	  0.056  	  0.078
73  	  R  	  0.068  	  0.098
74  	  N  	  0.068  	  0.098
75  	  N  	  0.067  	  0.098
76  	  N  	  0.066  	  0.098
77  	  N  	  0.065  	  0.098
78  	  N  	  0.064  	  0.098
79  	  N  	  0.063  	  0.098
80  	  N  	  0.062  	  0.098
81  	  N  	  0.062  	  0.098
82  	  N  	  0.061  	  0.098
83  	  N  	  0.060  	  0.098
84  	  N  	  0.060  	  0.098
85  	  N  	  0.059  	  0.098
86  	  N  	  0.058  	  0.098
87  	  N  	  0.057  	  0.098
88  	  N  	  0.057  	  0.098
89  	  N  	  0.056  	  0.098
90  	  N  	  0.056  	  0.098
91  	  N  	  0.055  	  0.098
92  	  N  	  0.054  	  0.098
93  	  N  	  0.054  	  0.098
94  	  N  	  0.053  	  0.098
95  	  N  	  0.053  	  0.098
96  	  N  	  0.052  	  0.098
97  	  N  	  0.052  	  0.098
98  	  N  	  0.051  	  0.098
99  	  N  	  0.051  	  0.098
100  	  N  	  0.050  	  0.098
