Query 26: cecnucrnroy control mimshnecas in operating systems

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  R  	  0.200  	  0.033
06  	  N  	  0.167  	  0.033
07  	  N  	  0.143  	  0.033
08  	  R  	  0.250  	  0.067
09  	  N  	  0.222  	  0.067
10  	  N  	  0.200  	  0.067
11  	  N  	  0.182  	  0.067
12  	  N  	  0.167  	  0.067
13  	  N  	  0.154  	  0.067
14  	  N  	  0.143  	  0.067
15  	  N  	  0.133  	  0.067
16  	  N  	  0.125  	  0.067
17  	  N  	  0.118  	  0.067
18  	  N  	  0.111  	  0.067
19  	  N  	  0.105  	  0.067
20  	  N  	  0.100  	  0.067
21  	  N  	  0.095  	  0.067
22  	  N  	  0.091  	  0.067
23  	  N  	  0.087  	  0.067
24  	  N  	  0.083  	  0.067
25  	  N  	  0.080  	  0.067
26  	  N  	  0.077  	  0.067
27  	  N  	  0.074  	  0.067
28  	  N  	  0.071  	  0.067
29  	  N  	  0.069  	  0.067
30  	  N  	  0.067  	  0.067
31  	  N  	  0.065  	  0.067
32  	  N  	  0.062  	  0.067
33  	  N  	  0.061  	  0.067
34  	  N  	  0.059  	  0.067
35  	  N  	  0.057  	  0.067
36  	  N  	  0.056  	  0.067
37  	  N  	  0.054  	  0.067
38  	  N  	  0.053  	  0.067
39  	  N  	  0.051  	  0.067
40  	  N  	  0.050  	  0.067
41  	  N  	  0.049  	  0.067
42  	  N  	  0.048  	  0.067
43  	  N  	  0.047  	  0.067
44  	  R  	  0.068  	  0.100
45  	  N  	  0.067  	  0.100
46  	  N  	  0.065  	  0.100
47  	  N  	  0.064  	  0.100
48  	  R  	  0.083  	  0.133
49  	  N  	  0.082  	  0.133
50  	  N  	  0.080  	  0.133
51  	  N  	  0.078  	  0.133
52  	  N  	  0.077  	  0.133
53  	  N  	  0.075  	  0.133
54  	  N  	  0.074  	  0.133
55  	  R  	  0.091  	  0.167
56  	  N  	  0.089  	  0.167
57  	  N  	  0.088  	  0.167
58  	  N  	  0.086  	  0.167
59  	  R  	  0.102  	  0.200
60  	  N  	  0.100  	  0.200
61  	  N  	  0.098  	  0.200
62  	  N  	  0.097  	  0.200
63  	  N  	  0.095  	  0.200
64  	  N  	  0.094  	  0.200
65  	  N  	  0.092  	  0.200
66  	  N  	  0.091  	  0.200
67  	  N  	  0.090  	  0.200
68  	  N  	  0.088  	  0.200
69  	  R  	  0.101  	  0.233
70  	  N  	  0.100  	  0.233
71  	  R  	  0.113  	  0.267
72  	  N  	  0.111  	  0.267
73  	  N  	  0.110  	  0.267
74  	  N  	  0.108  	  0.267
75  	  N  	  0.107  	  0.267
76  	  N  	  0.105  	  0.267
77  	  N  	  0.104  	  0.267
78  	  N  	  0.103  	  0.267
79  	  N  	  0.101  	  0.267
80  	  N  	  0.100  	  0.267
81  	  N  	  0.099  	  0.267
82  	  N  	  0.098  	  0.267
83  	  N  	  0.096  	  0.267
84  	  N  	  0.095  	  0.267
85  	  N  	  0.094  	  0.267
86  	  N  	  0.093  	  0.267
87  	  R  	  0.103  	  0.300
88  	  N  	  0.102  	  0.300
89  	  N  	  0.101  	  0.300
90  	  N  	  0.100  	  0.300
91  	  N  	  0.099  	  0.300
92  	  N  	  0.098  	  0.300
93  	  N  	  0.097  	  0.300
94  	  N  	  0.096  	  0.300
95  	  N  	  0.095  	  0.300
96  	  N  	  0.094  	  0.300
97  	  N  	  0.093  	  0.300
98  	  N  	  0.092  	  0.300
99  	  N  	  0.091  	  0.300
100  	  N  	  0.090  	  0.300
