Query 27: memory meaeganmnt aspects of oeptraing systems

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.034
02  	  R  	  1.000  	  0.069
03  	  R  	  1.000  	  0.103
04  	  R  	  1.000  	  0.138
05  	  R  	  1.000  	  0.172
06  	  R  	  1.000  	  0.207
07  	  R  	  1.000  	  0.241
08  	  R  	  1.000  	  0.276
09  	  N  	  0.889  	  0.276
10  	  N  	  0.800  	  0.276
11  	  R  	  0.818  	  0.310
12  	  N  	  0.750  	  0.310
13  	  N  	  0.692  	  0.310
14  	  N  	  0.643  	  0.310
15  	  N  	  0.600  	  0.310
16  	  N  	  0.562  	  0.310
17  	  N  	  0.529  	  0.310
18  	  N  	  0.500  	  0.310
19  	  N  	  0.474  	  0.310
20  	  N  	  0.450  	  0.310
21  	  N  	  0.429  	  0.310
22  	  R  	  0.455  	  0.345
23  	  N  	  0.435  	  0.345
24  	  N  	  0.417  	  0.345
25  	  N  	  0.400  	  0.345
26  	  N  	  0.385  	  0.345
27  	  N  	  0.370  	  0.345
28  	  N  	  0.357  	  0.345
29  	  N  	  0.345  	  0.345
30  	  N  	  0.333  	  0.345
31  	  N  	  0.323  	  0.345
32  	  N  	  0.312  	  0.345
33  	  N  	  0.303  	  0.345
34  	  N  	  0.294  	  0.345
35  	  N  	  0.286  	  0.345
36  	  N  	  0.278  	  0.345
37  	  N  	  0.270  	  0.345
38  	  N  	  0.263  	  0.345
39  	  R  	  0.282  	  0.379
40  	  N  	  0.275  	  0.379
41  	  N  	  0.268  	  0.379
42  	  N  	  0.262  	  0.379
43  	  N  	  0.256  	  0.379
44  	  N  	  0.250  	  0.379
45  	  N  	  0.244  	  0.379
46  	  N  	  0.239  	  0.379
47  	  N  	  0.234  	  0.379
48  	  N  	  0.229  	  0.379
49  	  N  	  0.224  	  0.379
50  	  R  	  0.240  	  0.414
51  	  N  	  0.235  	  0.414
52  	  N  	  0.231  	  0.414
53  	  N  	  0.226  	  0.414
54  	  N  	  0.222  	  0.414
55  	  N  	  0.218  	  0.414
56  	  N  	  0.214  	  0.414
57  	  R  	  0.228  	  0.448
58  	  N  	  0.224  	  0.448
59  	  N  	  0.220  	  0.448
60  	  N  	  0.217  	  0.448
61  	  N  	  0.213  	  0.448
62  	  N  	  0.210  	  0.448
63  	  N  	  0.206  	  0.448
64  	  N  	  0.203  	  0.448
65  	  N  	  0.200  	  0.448
66  	  N  	  0.197  	  0.448
67  	  N  	  0.194  	  0.448
68  	  N  	  0.191  	  0.448
69  	  N  	  0.188  	  0.448
70  	  N  	  0.186  	  0.448
71  	  N  	  0.183  	  0.448
72  	  N  	  0.181  	  0.448
73  	  N  	  0.178  	  0.448
74  	  N  	  0.176  	  0.448
75  	  N  	  0.173  	  0.448
76  	  R  	  0.184  	  0.483
77  	  N  	  0.182  	  0.483
78  	  N  	  0.179  	  0.483
79  	  N  	  0.177  	  0.483
80  	  N  	  0.175  	  0.483
81  	  N  	  0.173  	  0.483
82  	  N  	  0.171  	  0.483
83  	  N  	  0.169  	  0.483
84  	  N  	  0.167  	  0.483
85  	  N  	  0.165  	  0.483
86  	  R  	  0.174  	  0.517
87  	  N  	  0.172  	  0.517
88  	  N  	  0.170  	  0.517
89  	  N  	  0.169  	  0.517
90  	  N  	  0.167  	  0.517
91  	  N  	  0.165  	  0.517
92  	  N  	  0.163  	  0.517
93  	  N  	  0.161  	  0.517
94  	  N  	  0.160  	  0.517
95  	  N  	  0.158  	  0.517
96  	  N  	  0.156  	  0.517
97  	  N  	  0.155  	  0.517
98  	  N  	  0.153  	  0.517
99  	  R  	  0.162  	  0.552
100  	  N  	  0.160  	  0.552
