Query 29: number thtoeeirc aiorglhtms eeicsalply ivlinnvog prime number series sieves and chinese rmeedniar theorem

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.053
02  	  R  	  1.000  	  0.105
03  	  R  	  1.000  	  0.158
04  	  N  	  0.750  	  0.158
05  	  R  	  0.800  	  0.211
06  	  N  	  0.667  	  0.211
07  	  N  	  0.571  	  0.211
08  	  R  	  0.625  	  0.263
09  	  R  	  0.667  	  0.316
10  	  R  	  0.700  	  0.368
11  	  N  	  0.636  	  0.368
12  	  N  	  0.583  	  0.368
13  	  N  	  0.538  	  0.368
14  	  R  	  0.571  	  0.421
15  	  N  	  0.533  	  0.421
16  	  N  	  0.500  	  0.421
17  	  R  	  0.529  	  0.474
18  	  N  	  0.500  	  0.474
19  	  N  	  0.474  	  0.474
20  	  N  	  0.450  	  0.474
21  	  N  	  0.429  	  0.474
22  	  N  	  0.409  	  0.474
23  	  N  	  0.391  	  0.474
24  	  N  	  0.375  	  0.474
25  	  N  	  0.360  	  0.474
26  	  N  	  0.346  	  0.474
27  	  N  	  0.333  	  0.474
28  	  N  	  0.321  	  0.474
29  	  R  	  0.345  	  0.526
30  	  N  	  0.333  	  0.526
31  	  N  	  0.323  	  0.526
32  	  N  	  0.312  	  0.526
33  	  N  	  0.303  	  0.526
34  	  N  	  0.294  	  0.526
35  	  N  	  0.286  	  0.526
36  	  N  	  0.278  	  0.526
37  	  N  	  0.270  	  0.526
38  	  N  	  0.263  	  0.526
39  	  N  	  0.256  	  0.526
40  	  N  	  0.250  	  0.526
41  	  N  	  0.244  	  0.526
42  	  N  	  0.238  	  0.526
43  	  N  	  0.233  	  0.526
44  	  N  	  0.227  	  0.526
45  	  N  	  0.222  	  0.526
46  	  N  	  0.217  	  0.526
47  	  N  	  0.213  	  0.526
48  	  N  	  0.208  	  0.526
49  	  N  	  0.204  	  0.526
50  	  N  	  0.200  	  0.526
51  	  N  	  0.196  	  0.526
52  	  N  	  0.192  	  0.526
53  	  N  	  0.189  	  0.526
54  	  N  	  0.185  	  0.526
55  	  N  	  0.182  	  0.526
56  	  N  	  0.179  	  0.526
57  	  N  	  0.175  	  0.526
58  	  N  	  0.172  	  0.526
59  	  N  	  0.169  	  0.526
60  	  N  	  0.167  	  0.526
61  	  N  	  0.164  	  0.526
62  	  N  	  0.161  	  0.526
63  	  N  	  0.159  	  0.526
64  	  N  	  0.156  	  0.526
65  	  N  	  0.154  	  0.526
66  	  N  	  0.152  	  0.526
67  	  N  	  0.149  	  0.526
68  	  N  	  0.147  	  0.526
69  	  N  	  0.145  	  0.526
70  	  N  	  0.143  	  0.526
71  	  N  	  0.141  	  0.526
72  	  N  	  0.139  	  0.526
73  	  N  	  0.137  	  0.526
74  	  N  	  0.135  	  0.526
75  	  N  	  0.133  	  0.526
76  	  N  	  0.132  	  0.526
77  	  N  	  0.130  	  0.526
78  	  N  	  0.128  	  0.526
79  	  N  	  0.127  	  0.526
80  	  N  	  0.125  	  0.526
81  	  N  	  0.123  	  0.526
82  	  N  	  0.122  	  0.526
83  	  N  	  0.120  	  0.526
84  	  N  	  0.119  	  0.526
85  	  R  	  0.129  	  0.579
86  	  N  	  0.128  	  0.579
87  	  N  	  0.126  	  0.579
88  	  N  	  0.125  	  0.579
89  	  N  	  0.124  	  0.579
90  	  N  	  0.122  	  0.579
91  	  N  	  0.121  	  0.579
92  	  N  	  0.120  	  0.579
93  	  N  	  0.118  	  0.579
94  	  N  	  0.117  	  0.579
95  	  N  	  0.116  	  0.579
96  	  N  	  0.115  	  0.579
97  	  N  	  0.113  	  0.579
98  	  N  	  0.112  	  0.579
99  	  R  	  0.121  	  0.632
100  	  N  	  0.120  	  0.632
