Query 39: what does type cbilotaptiimy mean in lugegaans that alolw pmmgroerar deeifnd types you might want to rtceisrt this to esbltinxee leaagnugs that allow doitnfiein of abtrcsat data types or pomagmrrer speilupd dnitinoiefs of oreaptors like

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.083
02  	  N  	  0.500  	  0.083
03  	  N  	  0.333  	  0.083
04  	  N  	  0.250  	  0.083
05  	  N  	  0.200  	  0.083
06  	  N  	  0.167  	  0.083
07  	  N  	  0.143  	  0.083
08  	  R  	  0.250  	  0.167
09  	  N  	  0.222  	  0.167
10  	  N  	  0.200  	  0.167
11  	  N  	  0.182  	  0.167
12  	  N  	  0.167  	  0.167
13  	  R  	  0.231  	  0.250
14  	  N  	  0.214  	  0.250
15  	  N  	  0.200  	  0.250
16  	  N  	  0.188  	  0.250
17  	  N  	  0.176  	  0.250
18  	  N  	  0.167  	  0.250
19  	  N  	  0.158  	  0.250
20  	  N  	  0.150  	  0.250
21  	  N  	  0.143  	  0.250
22  	  N  	  0.136  	  0.250
23  	  N  	  0.130  	  0.250
24  	  R  	  0.167  	  0.333
25  	  N  	  0.160  	  0.333
26  	  N  	  0.154  	  0.333
27  	  N  	  0.148  	  0.333
28  	  N  	  0.143  	  0.333
29  	  N  	  0.138  	  0.333
30  	  N  	  0.133  	  0.333
31  	  N  	  0.129  	  0.333
32  	  N  	  0.125  	  0.333
33  	  N  	  0.121  	  0.333
34  	  N  	  0.118  	  0.333
35  	  N  	  0.114  	  0.333
36  	  N  	  0.111  	  0.333
37  	  N  	  0.108  	  0.333
38  	  N  	  0.105  	  0.333
39  	  N  	  0.103  	  0.333
40  	  N  	  0.100  	  0.333
41  	  N  	  0.098  	  0.333
42  	  N  	  0.095  	  0.333
43  	  N  	  0.093  	  0.333
44  	  N  	  0.091  	  0.333
45  	  N  	  0.089  	  0.333
46  	  N  	  0.087  	  0.333
47  	  R  	  0.106  	  0.417
48  	  N  	  0.104  	  0.417
49  	  N  	  0.102  	  0.417
50  	  N  	  0.100  	  0.417
51  	  N  	  0.098  	  0.417
52  	  N  	  0.096  	  0.417
53  	  N  	  0.094  	  0.417
54  	  N  	  0.093  	  0.417
55  	  N  	  0.091  	  0.417
56  	  N  	  0.089  	  0.417
57  	  N  	  0.088  	  0.417
58  	  N  	  0.086  	  0.417
59  	  N  	  0.085  	  0.417
60  	  N  	  0.083  	  0.417
61  	  N  	  0.082  	  0.417
62  	  N  	  0.081  	  0.417
63  	  N  	  0.079  	  0.417
64  	  N  	  0.078  	  0.417
65  	  N  	  0.077  	  0.417
66  	  N  	  0.076  	  0.417
67  	  N  	  0.075  	  0.417
68  	  N  	  0.074  	  0.417
69  	  N  	  0.072  	  0.417
70  	  N  	  0.071  	  0.417
71  	  N  	  0.070  	  0.417
72  	  N  	  0.069  	  0.417
73  	  N  	  0.068  	  0.417
74  	  R  	  0.081  	  0.500
75  	  N  	  0.080  	  0.500
76  	  N  	  0.079  	  0.500
77  	  N  	  0.078  	  0.500
78  	  N  	  0.077  	  0.500
79  	  N  	  0.076  	  0.500
80  	  N  	  0.075  	  0.500
81  	  N  	  0.074  	  0.500
82  	  N  	  0.073  	  0.500
83  	  N  	  0.072  	  0.500
84  	  N  	  0.071  	  0.500
85  	  N  	  0.071  	  0.500
86  	  N  	  0.070  	  0.500
87  	  N  	  0.069  	  0.500
88  	  N  	  0.068  	  0.500
89  	  N  	  0.067  	  0.500
90  	  N  	  0.067  	  0.500
91  	  N  	  0.066  	  0.500
92  	  N  	  0.065  	  0.500
93  	  N  	  0.065  	  0.500
94  	  N  	  0.064  	  0.500
95  	  N  	  0.063  	  0.500
96  	  N  	  0.062  	  0.500
97  	  N  	  0.062  	  0.500
98  	  N  	  0.061  	  0.500
99  	  N  	  0.061  	  0.500
100  	  N  	  0.060  	  0.500
