Query 40: list all alcirets dnlieag with data types in the fiwnloolg lanueggas that are recrfneeed flueqtreny in prpeas on the aobve lggaaneus e g catch any lnggeaaus with itnteisenrg type sceururtts that i might have mssied

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.100
03  	  N  	  0.333  	  0.100
04  	  R  	  0.500  	  0.200
05  	  R  	  0.600  	  0.300
06  	  N  	  0.500  	  0.300
07  	  N  	  0.429  	  0.300
08  	  N  	  0.375  	  0.300
09  	  N  	  0.333  	  0.300
10  	  N  	  0.300  	  0.300
11  	  N  	  0.273  	  0.300
12  	  N  	  0.250  	  0.300
13  	  R  	  0.308  	  0.400
14  	  N  	  0.286  	  0.400
15  	  N  	  0.267  	  0.400
16  	  R  	  0.312  	  0.500
17  	  N  	  0.294  	  0.500
18  	  N  	  0.278  	  0.500
19  	  N  	  0.263  	  0.500
20  	  N  	  0.250  	  0.500
21  	  N  	  0.238  	  0.500
22  	  N  	  0.227  	  0.500
23  	  N  	  0.217  	  0.500
24  	  N  	  0.208  	  0.500
25  	  N  	  0.200  	  0.500
26  	  N  	  0.192  	  0.500
27  	  N  	  0.185  	  0.500
28  	  N  	  0.179  	  0.500
29  	  N  	  0.172  	  0.500
30  	  N  	  0.167  	  0.500
31  	  N  	  0.161  	  0.500
32  	  N  	  0.156  	  0.500
33  	  N  	  0.152  	  0.500
34  	  N  	  0.147  	  0.500
35  	  N  	  0.143  	  0.500
36  	  N  	  0.139  	  0.500
37  	  N  	  0.135  	  0.500
38  	  N  	  0.132  	  0.500
39  	  N  	  0.128  	  0.500
40  	  N  	  0.125  	  0.500
41  	  N  	  0.122  	  0.500
42  	  R  	  0.143  	  0.600
43  	  N  	  0.140  	  0.600
44  	  N  	  0.136  	  0.600
45  	  N  	  0.133  	  0.600
46  	  N  	  0.130  	  0.600
47  	  N  	  0.128  	  0.600
48  	  N  	  0.125  	  0.600
49  	  N  	  0.122  	  0.600
50  	  N  	  0.120  	  0.600
51  	  N  	  0.118  	  0.600
52  	  N  	  0.115  	  0.600
53  	  N  	  0.113  	  0.600
54  	  N  	  0.111  	  0.600
55  	  N  	  0.109  	  0.600
56  	  N  	  0.107  	  0.600
57  	  N  	  0.105  	  0.600
58  	  N  	  0.103  	  0.600
59  	  R  	  0.119  	  0.700
60  	  N  	  0.117  	  0.700
61  	  N  	  0.115  	  0.700
62  	  N  	  0.113  	  0.700
63  	  N  	  0.111  	  0.700
64  	  N  	  0.109  	  0.700
65  	  N  	  0.108  	  0.700
66  	  N  	  0.106  	  0.700
67  	  N  	  0.104  	  0.700
68  	  N  	  0.103  	  0.700
69  	  N  	  0.101  	  0.700
70  	  N  	  0.100  	  0.700
71  	  N  	  0.099  	  0.700
72  	  N  	  0.097  	  0.700
73  	  N  	  0.096  	  0.700
74  	  N  	  0.095  	  0.700
75  	  N  	  0.093  	  0.700
76  	  N  	  0.092  	  0.700
77  	  N  	  0.091  	  0.700
78  	  N  	  0.090  	  0.700
79  	  N  	  0.089  	  0.700
80  	  N  	  0.087  	  0.700
81  	  N  	  0.086  	  0.700
82  	  N  	  0.085  	  0.700
83  	  N  	  0.084  	  0.700
84  	  N  	  0.083  	  0.700
85  	  N  	  0.082  	  0.700
86  	  N  	  0.081  	  0.700
87  	  N  	  0.080  	  0.700
88  	  N  	  0.080  	  0.700
89  	  N  	  0.079  	  0.700
90  	  N  	  0.078  	  0.700
91  	  N  	  0.077  	  0.700
92  	  N  	  0.076  	  0.700
93  	  N  	  0.075  	  0.700
94  	  N  	  0.074  	  0.700
95  	  N  	  0.074  	  0.700
96  	  N  	  0.073  	  0.700
97  	  N  	  0.072  	  0.700
98  	  N  	  0.071  	  0.700
99  	  N  	  0.071  	  0.700
100  	  N  	  0.070  	  0.700
