Query 58: ahigmlrtos or ssataicttil pcaakges for anova rosregeisn using least serqaus or gleirzeenad linear models system design cabepliitias saitttaicsl formula are of iestnret student s t test wicolxon and sign tests maaiutilvtre and untivairae cmnpneoots can be ielcundd

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.033
03  	  R  	  0.667  	  0.067
04  	  N  	  0.500  	  0.067
05  	  N  	  0.400  	  0.067
06  	  N  	  0.333  	  0.067
07  	  N  	  0.286  	  0.067
08  	  N  	  0.250  	  0.067
09  	  N  	  0.222  	  0.067
10  	  N  	  0.200  	  0.067
11  	  N  	  0.182  	  0.067
12  	  N  	  0.167  	  0.067
13  	  N  	  0.154  	  0.067
14  	  R  	  0.214  	  0.100
15  	  N  	  0.200  	  0.100
16  	  N  	  0.188  	  0.100
17  	  N  	  0.176  	  0.100
18  	  N  	  0.167  	  0.100
19  	  N  	  0.158  	  0.100
20  	  N  	  0.150  	  0.100
21  	  N  	  0.143  	  0.100
22  	  N  	  0.136  	  0.100
23  	  N  	  0.130  	  0.100
24  	  N  	  0.125  	  0.100
25  	  N  	  0.120  	  0.100
26  	  N  	  0.115  	  0.100
27  	  N  	  0.111  	  0.100
28  	  N  	  0.107  	  0.100
29  	  N  	  0.103  	  0.100
30  	  N  	  0.100  	  0.100
31  	  N  	  0.097  	  0.100
32  	  N  	  0.094  	  0.100
33  	  N  	  0.091  	  0.100
34  	  N  	  0.088  	  0.100
35  	  N  	  0.086  	  0.100
36  	  N  	  0.083  	  0.100
37  	  N  	  0.081  	  0.100
38  	  N  	  0.079  	  0.100
39  	  N  	  0.077  	  0.100
40  	  N  	  0.075  	  0.100
41  	  N  	  0.073  	  0.100
42  	  N  	  0.071  	  0.100
43  	  N  	  0.070  	  0.100
44  	  N  	  0.068  	  0.100
45  	  N  	  0.067  	  0.100
46  	  N  	  0.065  	  0.100
47  	  N  	  0.064  	  0.100
48  	  N  	  0.062  	  0.100
49  	  N  	  0.061  	  0.100
50  	  N  	  0.060  	  0.100
51  	  N  	  0.059  	  0.100
52  	  N  	  0.058  	  0.100
53  	  N  	  0.057  	  0.100
54  	  R  	  0.074  	  0.133
55  	  N  	  0.073  	  0.133
56  	  N  	  0.071  	  0.133
57  	  N  	  0.070  	  0.133
58  	  N  	  0.069  	  0.133
59  	  N  	  0.068  	  0.133
60  	  N  	  0.067  	  0.133
61  	  N  	  0.066  	  0.133
62  	  N  	  0.065  	  0.133
63  	  N  	  0.063  	  0.133
64  	  N  	  0.062  	  0.133
65  	  N  	  0.062  	  0.133
66  	  N  	  0.061  	  0.133
67  	  N  	  0.060  	  0.133
68  	  N  	  0.059  	  0.133
69  	  N  	  0.058  	  0.133
70  	  N  	  0.057  	  0.133
71  	  N  	  0.056  	  0.133
72  	  N  	  0.056  	  0.133
73  	  N  	  0.055  	  0.133
74  	  N  	  0.054  	  0.133
75  	  N  	  0.053  	  0.133
76  	  N  	  0.053  	  0.133
77  	  N  	  0.052  	  0.133
78  	  N  	  0.051  	  0.133
79  	  N  	  0.051  	  0.133
80  	  N  	  0.050  	  0.133
81  	  N  	  0.049  	  0.133
82  	  N  	  0.049  	  0.133
83  	  N  	  0.048  	  0.133
84  	  N  	  0.048  	  0.133
85  	  N  	  0.047  	  0.133
86  	  N  	  0.047  	  0.133
87  	  N  	  0.046  	  0.133
88  	  N  	  0.045  	  0.133
89  	  N  	  0.045  	  0.133
90  	  N  	  0.044  	  0.133
91  	  N  	  0.044  	  0.133
92  	  N  	  0.043  	  0.133
93  	  N  	  0.043  	  0.133
94  	  N  	  0.043  	  0.133
95  	  N  	  0.042  	  0.133
96  	  N  	  0.042  	  0.133
97  	  N  	  0.041  	  0.133
98  	  N  	  0.041  	  0.133
99  	  N  	  0.040  	  0.133
100  	  R  	  0.050  	  0.167
