Query 59: dntoaiciry cocorunstitn and accesnisg mothdes for fast riatvreel of words or lxiceal items or miapllghcoroloy related iifmrnatoon hashing or innixdeg methods are usually applied to english spnilelg or natural lagganue probemls

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.023
02  	  N  	  0.500  	  0.023
03  	  N  	  0.333  	  0.023
04  	  N  	  0.250  	  0.023
05  	  N  	  0.200  	  0.023
06  	  N  	  0.167  	  0.023
07  	  N  	  0.143  	  0.023
08  	  R  	  0.250  	  0.047
09  	  N  	  0.222  	  0.047
10  	  N  	  0.200  	  0.047
11  	  N  	  0.182  	  0.047
12  	  R  	  0.250  	  0.070
13  	  N  	  0.231  	  0.070
14  	  R  	  0.286  	  0.093
15  	  R  	  0.333  	  0.116
16  	  N  	  0.312  	  0.116
17  	  N  	  0.294  	  0.116
18  	  N  	  0.278  	  0.116
19  	  R  	  0.316  	  0.140
20  	  N  	  0.300  	  0.140
21  	  N  	  0.286  	  0.140
22  	  R  	  0.318  	  0.163
23  	  N  	  0.304  	  0.163
24  	  N  	  0.292  	  0.163
25  	  N  	  0.280  	  0.163
26  	  R  	  0.308  	  0.186
27  	  N  	  0.296  	  0.186
28  	  N  	  0.286  	  0.186
29  	  R  	  0.310  	  0.209
30  	  N  	  0.300  	  0.209
31  	  N  	  0.290  	  0.209
32  	  N  	  0.281  	  0.209
33  	  N  	  0.273  	  0.209
34  	  N  	  0.265  	  0.209
35  	  N  	  0.257  	  0.209
36  	  N  	  0.250  	  0.209
37  	  N  	  0.243  	  0.209
38  	  N  	  0.237  	  0.209
39  	  N  	  0.231  	  0.209
40  	  N  	  0.225  	  0.209
41  	  N  	  0.220  	  0.209
42  	  N  	  0.214  	  0.209
43  	  N  	  0.209  	  0.209
44  	  N  	  0.205  	  0.209
45  	  R  	  0.222  	  0.233
46  	  N  	  0.217  	  0.233
47  	  N  	  0.213  	  0.233
48  	  N  	  0.208  	  0.233
49  	  N  	  0.204  	  0.233
50  	  N  	  0.200  	  0.233
51  	  N  	  0.196  	  0.233
52  	  N  	  0.192  	  0.233
53  	  N  	  0.189  	  0.233
54  	  N  	  0.185  	  0.233
55  	  N  	  0.182  	  0.233
56  	  N  	  0.179  	  0.233
57  	  N  	  0.175  	  0.233
58  	  N  	  0.172  	  0.233
59  	  N  	  0.169  	  0.233
60  	  N  	  0.167  	  0.233
61  	  N  	  0.164  	  0.233
62  	  N  	  0.161  	  0.233
63  	  R  	  0.175  	  0.256
64  	  N  	  0.172  	  0.256
65  	  N  	  0.169  	  0.256
66  	  N  	  0.167  	  0.256
67  	  N  	  0.164  	  0.256
68  	  N  	  0.162  	  0.256
69  	  N  	  0.159  	  0.256
70  	  N  	  0.157  	  0.256
71  	  N  	  0.155  	  0.256
72  	  N  	  0.153  	  0.256
73  	  N  	  0.151  	  0.256
74  	  N  	  0.149  	  0.256
75  	  N  	  0.147  	  0.256
76  	  N  	  0.145  	  0.256
77  	  R  	  0.156  	  0.279
78  	  N  	  0.154  	  0.279
79  	  N  	  0.152  	  0.279
80  	  N  	  0.150  	  0.279
81  	  N  	  0.148  	  0.279
82  	  N  	  0.146  	  0.279
83  	  N  	  0.145  	  0.279
84  	  N  	  0.143  	  0.279
85  	  N  	  0.141  	  0.279
86  	  N  	  0.140  	  0.279
87  	  N  	  0.138  	  0.279
88  	  N  	  0.136  	  0.279
89  	  N  	  0.135  	  0.279
90  	  R  	  0.144  	  0.302
91  	  N  	  0.143  	  0.302
92  	  N  	  0.141  	  0.302
93  	  N  	  0.140  	  0.302
94  	  N  	  0.138  	  0.302
95  	  N  	  0.137  	  0.302
96  	  N  	  0.135  	  0.302
97  	  N  	  0.134  	  0.302
98  	  N  	  0.133  	  0.302
99  	  N  	  0.131  	  0.302
100  	  N  	  0.130  	  0.302
