Query 60: hdarrwae and stfoarwe retnilag to dtasaabe mneneaamgt seytmss dsaatabe pgceakas back end cptroumes sicapel aavcsioitse harradwe with mrroctemcoipus ahaettcd to disk heads or things like rap rliaetaonl or network codasyl or hecrrcaaiihl models systems like system r ims adabas total etc

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  R  	  0.250  	  0.037
05  	  N  	  0.200  	  0.037
06  	  N  	  0.167  	  0.037
07  	  N  	  0.143  	  0.037
08  	  N  	  0.125  	  0.037
09  	  N  	  0.111  	  0.037
10  	  N  	  0.100  	  0.037
11  	  N  	  0.091  	  0.037
12  	  N  	  0.083  	  0.037
13  	  N  	  0.077  	  0.037
14  	  N  	  0.071  	  0.037
15  	  N  	  0.067  	  0.037
16  	  N  	  0.062  	  0.037
17  	  N  	  0.059  	  0.037
18  	  N  	  0.056  	  0.037
19  	  N  	  0.053  	  0.037
20  	  N  	  0.050  	  0.037
21  	  N  	  0.048  	  0.037
22  	  N  	  0.045  	  0.037
23  	  N  	  0.043  	  0.037
24  	  N  	  0.042  	  0.037
25  	  N  	  0.040  	  0.037
26  	  N  	  0.038  	  0.037
27  	  N  	  0.037  	  0.037
28  	  N  	  0.036  	  0.037
29  	  N  	  0.034  	  0.037
30  	  N  	  0.033  	  0.037
31  	  N  	  0.032  	  0.037
32  	  N  	  0.031  	  0.037
33  	  N  	  0.030  	  0.037
34  	  N  	  0.029  	  0.037
35  	  N  	  0.029  	  0.037
36  	  N  	  0.028  	  0.037
37  	  N  	  0.027  	  0.037
38  	  N  	  0.026  	  0.037
39  	  N  	  0.026  	  0.037
40  	  N  	  0.025  	  0.037
41  	  N  	  0.024  	  0.037
42  	  N  	  0.024  	  0.037
43  	  N  	  0.023  	  0.037
44  	  N  	  0.023  	  0.037
45  	  N  	  0.022  	  0.037
46  	  N  	  0.022  	  0.037
47  	  N  	  0.021  	  0.037
48  	  N  	  0.021  	  0.037
49  	  N  	  0.020  	  0.037
50  	  N  	  0.020  	  0.037
51  	  N  	  0.020  	  0.037
52  	  N  	  0.019  	  0.037
53  	  N  	  0.019  	  0.037
54  	  N  	  0.019  	  0.037
55  	  N  	  0.018  	  0.037
56  	  N  	  0.018  	  0.037
57  	  N  	  0.018  	  0.037
58  	  N  	  0.017  	  0.037
59  	  N  	  0.017  	  0.037
60  	  N  	  0.017  	  0.037
61  	  N  	  0.016  	  0.037
62  	  N  	  0.016  	  0.037
63  	  N  	  0.016  	  0.037
64  	  N  	  0.016  	  0.037
65  	  N  	  0.015  	  0.037
66  	  R  	  0.030  	  0.074
67  	  N  	  0.030  	  0.074
68  	  N  	  0.029  	  0.074
69  	  N  	  0.029  	  0.074
70  	  N  	  0.029  	  0.074
71  	  N  	  0.028  	  0.074
72  	  N  	  0.028  	  0.074
73  	  N  	  0.027  	  0.074
74  	  N  	  0.027  	  0.074
75  	  N  	  0.027  	  0.074
76  	  N  	  0.026  	  0.074
77  	  N  	  0.026  	  0.074
78  	  N  	  0.026  	  0.074
79  	  N  	  0.025  	  0.074
80  	  N  	  0.025  	  0.074
81  	  N  	  0.025  	  0.074
82  	  N  	  0.024  	  0.074
83  	  N  	  0.024  	  0.074
84  	  N  	  0.024  	  0.074
85  	  N  	  0.024  	  0.074
86  	  N  	  0.023  	  0.074
87  	  N  	  0.023  	  0.074
88  	  N  	  0.023  	  0.074
89  	  N  	  0.022  	  0.074
90  	  N  	  0.022  	  0.074
91  	  N  	  0.022  	  0.074
92  	  N  	  0.022  	  0.074
93  	  N  	  0.022  	  0.074
94  	  N  	  0.021  	  0.074
95  	  N  	  0.021  	  0.074
96  	  N  	  0.021  	  0.074
97  	  N  	  0.021  	  0.074
98  	  N  	  0.020  	  0.074
99  	  N  	  0.020  	  0.074
100  	  R  	  0.030  	  0.111
