Query 8: aisedndsrg schemes for rseuorces in networks resource asndrisedg in network oiprateng systems

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  N  	  0.000  	  0.000
07  	  N  	  0.000  	  0.000
08  	  N  	  0.000  	  0.000
09  	  N  	  0.000  	  0.000
10  	  N  	  0.000  	  0.000
11  	  N  	  0.000  	  0.000
12  	  N  	  0.000  	  0.000
13  	  N  	  0.000  	  0.000
14  	  N  	  0.000  	  0.000
15  	  N  	  0.000  	  0.000
16  	  N  	  0.000  	  0.000
17  	  N  	  0.000  	  0.000
18  	  N  	  0.000  	  0.000
19  	  N  	  0.000  	  0.000
20  	  N  	  0.000  	  0.000
21  	  N  	  0.000  	  0.000
22  	  N  	  0.000  	  0.000
23  	  N  	  0.000  	  0.000
24  	  N  	  0.000  	  0.000
25  	  N  	  0.000  	  0.000
26  	  N  	  0.000  	  0.000
27  	  N  	  0.000  	  0.000
28  	  N  	  0.000  	  0.000
29  	  N  	  0.000  	  0.000
30  	  N  	  0.000  	  0.000
31  	  N  	  0.000  	  0.000
32  	  N  	  0.000  	  0.000
33  	  N  	  0.000  	  0.000
34  	  N  	  0.000  	  0.000
35  	  N  	  0.000  	  0.000
36  	  N  	  0.000  	  0.000
37  	  N  	  0.000  	  0.000
38  	  N  	  0.000  	  0.000
39  	  N  	  0.000  	  0.000
40  	  N  	  0.000  	  0.000
41  	  N  	  0.000  	  0.000
42  	  N  	  0.000  	  0.000
43  	  N  	  0.000  	  0.000
44  	  R  	  0.023  	  0.333
45  	  N  	  0.022  	  0.333
46  	  N  	  0.022  	  0.333
47  	  N  	  0.021  	  0.333
48  	  N  	  0.021  	  0.333
49  	  N  	  0.020  	  0.333
50  	  N  	  0.020  	  0.333
51  	  N  	  0.020  	  0.333
52  	  N  	  0.019  	  0.333
53  	  N  	  0.019  	  0.333
54  	  N  	  0.019  	  0.333
55  	  N  	  0.018  	  0.333
56  	  N  	  0.018  	  0.333
57  	  N  	  0.018  	  0.333
58  	  N  	  0.017  	  0.333
59  	  N  	  0.017  	  0.333
60  	  N  	  0.017  	  0.333
61  	  N  	  0.016  	  0.333
62  	  N  	  0.016  	  0.333
63  	  N  	  0.016  	  0.333
64  	  N  	  0.016  	  0.333
65  	  N  	  0.015  	  0.333
66  	  N  	  0.015  	  0.333
67  	  N  	  0.015  	  0.333
68  	  N  	  0.015  	  0.333
69  	  N  	  0.014  	  0.333
70  	  N  	  0.014  	  0.333
71  	  N  	  0.014  	  0.333
72  	  N  	  0.014  	  0.333
73  	  N  	  0.014  	  0.333
74  	  N  	  0.014  	  0.333
75  	  N  	  0.013  	  0.333
76  	  N  	  0.013  	  0.333
77  	  N  	  0.013  	  0.333
78  	  N  	  0.013  	  0.333
79  	  N  	  0.013  	  0.333
80  	  N  	  0.013  	  0.333
81  	  N  	  0.012  	  0.333
82  	  N  	  0.012  	  0.333
83  	  N  	  0.012  	  0.333
84  	  N  	  0.012  	  0.333
85  	  N  	  0.012  	  0.333
86  	  N  	  0.012  	  0.333
87  	  N  	  0.011  	  0.333
88  	  N  	  0.011  	  0.333
89  	  N  	  0.011  	  0.333
90  	  N  	  0.011  	  0.333
91  	  N  	  0.011  	  0.333
92  	  N  	  0.011  	  0.333
93  	  N  	  0.011  	  0.333
94  	  N  	  0.011  	  0.333
95  	  N  	  0.011  	  0.333
96  	  N  	  0.010  	  0.333
97  	  N  	  0.010  	  0.333
98  	  N  	  0.010  	  0.333
99  	  N  	  0.010  	  0.333
100  	  N  	  0.010  	  0.333
