Query 15: find all discussions of horizontal microcode optimization with special emphasis on optimization of loops and global optimization 

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.100
03  	  N  	  0.333  	  0.100
04  	  N  	  0.250  	  0.100
05  	  N  	  0.200  	  0.100
06  	  N  	  0.167  	  0.100
07  	  N  	  0.143  	  0.100
08  	  R  	  0.250  	  0.200
09  	  R  	  0.333  	  0.300
10  	  N  	  0.300  	  0.300
11  	  N  	  0.273  	  0.300
12  	  N  	  0.250  	  0.300
13  	  N  	  0.231  	  0.300
14  	  N  	  0.214  	  0.300
15  	  N  	  0.200  	  0.300
16  	  N  	  0.188  	  0.300
17  	  N  	  0.176  	  0.300
18  	  N  	  0.167  	  0.300
19  	  N  	  0.158  	  0.300
20  	  N  	  0.150  	  0.300
21  	  N  	  0.143  	  0.300
22  	  N  	  0.136  	  0.300
23  	  N  	  0.130  	  0.300
24  	  N  	  0.125  	  0.300
25  	  N  	  0.120  	  0.300
26  	  N  	  0.115  	  0.300
27  	  N  	  0.111  	  0.300
28  	  N  	  0.107  	  0.300
29  	  N  	  0.103  	  0.300
30  	  N  	  0.100  	  0.300
31  	  N  	  0.097  	  0.300
32  	  N  	  0.094  	  0.300
33  	  N  	  0.091  	  0.300
34  	  N  	  0.088  	  0.300
35  	  R  	  0.114  	  0.400
36  	  N  	  0.111  	  0.400
37  	  N  	  0.108  	  0.400
38  	  N  	  0.105  	  0.400
39  	  N  	  0.103  	  0.400
40  	  N  	  0.100  	  0.400
41  	  N  	  0.098  	  0.400
42  	  N  	  0.095  	  0.400
43  	  N  	  0.093  	  0.400
44  	  N  	  0.091  	  0.400
45  	  N  	  0.089  	  0.400
46  	  N  	  0.087  	  0.400
47  	  N  	  0.085  	  0.400
48  	  N  	  0.083  	  0.400
49  	  N  	  0.082  	  0.400
50  	  N  	  0.080  	  0.400
51  	  N  	  0.078  	  0.400
52  	  N  	  0.077  	  0.400
53  	  N  	  0.075  	  0.400
54  	  N  	  0.074  	  0.400
55  	  N  	  0.073  	  0.400
56  	  N  	  0.071  	  0.400
57  	  N  	  0.070  	  0.400
58  	  N  	  0.069  	  0.400
59  	  N  	  0.068  	  0.400
60  	  N  	  0.067  	  0.400
61  	  N  	  0.066  	  0.400
62  	  N  	  0.065  	  0.400
63  	  N  	  0.063  	  0.400
64  	  N  	  0.062  	  0.400
65  	  N  	  0.062  	  0.400
66  	  N  	  0.061  	  0.400
67  	  N  	  0.060  	  0.400
68  	  N  	  0.059  	  0.400
69  	  N  	  0.058  	  0.400
70  	  N  	  0.057  	  0.400
71  	  N  	  0.056  	  0.400
72  	  N  	  0.056  	  0.400
73  	  N  	  0.055  	  0.400
74  	  N  	  0.054  	  0.400
75  	  N  	  0.053  	  0.400
76  	  N  	  0.053  	  0.400
77  	  N  	  0.052  	  0.400
78  	  N  	  0.051  	  0.400
79  	  N  	  0.051  	  0.400
80  	  N  	  0.050  	  0.400
81  	  N  	  0.049  	  0.400
82  	  N  	  0.049  	  0.400
83  	  N  	  0.048  	  0.400
84  	  N  	  0.048  	  0.400
85  	  N  	  0.047  	  0.400
86  	  N  	  0.047  	  0.400
87  	  N  	  0.046  	  0.400
88  	  N  	  0.045  	  0.400
89  	  N  	  0.045  	  0.400
90  	  N  	  0.044  	  0.400
91  	  N  	  0.044  	  0.400
92  	  N  	  0.043  	  0.400
93  	  N  	  0.043  	  0.400
94  	  N  	  0.043  	  0.400
95  	  N  	  0.042  	  0.400
96  	  N  	  0.042  	  0.400
97  	  N  	  0.041  	  0.400
98  	  N  	  0.041  	  0.400
99  	  R  	  0.051  	  0.500
100  	  N  	  0.050  	  0.500
