Query 17: optimization of intermediate and machine code 

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.062
02  	  R  	  1.000  	  0.125
03  	  R  	  1.000  	  0.188
04  	  N  	  0.750  	  0.188
05  	  N  	  0.600  	  0.188
06  	  N  	  0.500  	  0.188
07  	  N  	  0.429  	  0.188
08  	  N  	  0.375  	  0.188
09  	  N  	  0.333  	  0.188
10  	  N  	  0.300  	  0.188
11  	  N  	  0.273  	  0.188
12  	  N  	  0.250  	  0.188
13  	  R  	  0.308  	  0.250
14  	  N  	  0.286  	  0.250
15  	  N  	  0.267  	  0.250
16  	  N  	  0.250  	  0.250
17  	  N  	  0.235  	  0.250
18  	  N  	  0.222  	  0.250
19  	  N  	  0.211  	  0.250
20  	  N  	  0.200  	  0.250
21  	  N  	  0.190  	  0.250
22  	  N  	  0.182  	  0.250
23  	  N  	  0.174  	  0.250
24  	  N  	  0.167  	  0.250
25  	  N  	  0.160  	  0.250
26  	  N  	  0.154  	  0.250
27  	  N  	  0.148  	  0.250
28  	  N  	  0.143  	  0.250
29  	  R  	  0.172  	  0.312
30  	  N  	  0.167  	  0.312
31  	  N  	  0.161  	  0.312
32  	  N  	  0.156  	  0.312
33  	  R  	  0.182  	  0.375
34  	  N  	  0.176  	  0.375
35  	  N  	  0.171  	  0.375
36  	  N  	  0.167  	  0.375
37  	  N  	  0.162  	  0.375
38  	  N  	  0.158  	  0.375
39  	  N  	  0.154  	  0.375
40  	  N  	  0.150  	  0.375
41  	  N  	  0.146  	  0.375
42  	  N  	  0.143  	  0.375
43  	  N  	  0.140  	  0.375
44  	  N  	  0.136  	  0.375
45  	  N  	  0.133  	  0.375
46  	  N  	  0.130  	  0.375
47  	  N  	  0.128  	  0.375
48  	  N  	  0.125  	  0.375
49  	  N  	  0.122  	  0.375
50  	  N  	  0.120  	  0.375
51  	  N  	  0.118  	  0.375
52  	  R  	  0.135  	  0.438
53  	  N  	  0.132  	  0.438
54  	  N  	  0.130  	  0.438
55  	  R  	  0.145  	  0.500
56  	  N  	  0.143  	  0.500
57  	  N  	  0.140  	  0.500
58  	  N  	  0.138  	  0.500
59  	  N  	  0.136  	  0.500
60  	  N  	  0.133  	  0.500
61  	  N  	  0.131  	  0.500
62  	  N  	  0.129  	  0.500
63  	  N  	  0.127  	  0.500
64  	  N  	  0.125  	  0.500
65  	  N  	  0.123  	  0.500
66  	  N  	  0.121  	  0.500
67  	  N  	  0.119  	  0.500
68  	  N  	  0.118  	  0.500
69  	  N  	  0.116  	  0.500
70  	  N  	  0.114  	  0.500
71  	  N  	  0.113  	  0.500
72  	  N  	  0.111  	  0.500
73  	  N  	  0.110  	  0.500
74  	  N  	  0.108  	  0.500
75  	  N  	  0.107  	  0.500
76  	  N  	  0.105  	  0.500
77  	  N  	  0.104  	  0.500
78  	  N  	  0.103  	  0.500
79  	  N  	  0.101  	  0.500
80  	  N  	  0.100  	  0.500
81  	  N  	  0.099  	  0.500
82  	  N  	  0.098  	  0.500
83  	  N  	  0.096  	  0.500
84  	  N  	  0.095  	  0.500
85  	  N  	  0.094  	  0.500
86  	  N  	  0.093  	  0.500
87  	  N  	  0.092  	  0.500
88  	  N  	  0.091  	  0.500
89  	  N  	  0.090  	  0.500
90  	  N  	  0.089  	  0.500
91  	  N  	  0.088  	  0.500
92  	  N  	  0.087  	  0.500
93  	  N  	  0.086  	  0.500
94  	  N  	  0.085  	  0.500
95  	  N  	  0.084  	  0.500
96  	  N  	  0.083  	  0.500
97  	  N  	  0.082  	  0.500
98  	  N  	  0.082  	  0.500
99  	  N  	  0.081  	  0.500
100  	  N  	  0.080  	  0.500
