Query 25: performance evaluation and modeling of computer systems 

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.020
02  	  N  	  0.500  	  0.020
03  	  N  	  0.333  	  0.020
04  	  R  	  0.500  	  0.039
05  	  N  	  0.400  	  0.039
06  	  R  	  0.500  	  0.059
07  	  R  	  0.571  	  0.078
08  	  R  	  0.625  	  0.098
09  	  N  	  0.556  	  0.098
10  	  N  	  0.500  	  0.098
11  	  R  	  0.545  	  0.118
12  	  N  	  0.500  	  0.118
13  	  N  	  0.462  	  0.118
14  	  R  	  0.500  	  0.137
15  	  N  	  0.467  	  0.137
16  	  N  	  0.438  	  0.137
17  	  N  	  0.412  	  0.137
18  	  R  	  0.444  	  0.157
19  	  N  	  0.421  	  0.157
20  	  N  	  0.400  	  0.157
21  	  R  	  0.429  	  0.176
22  	  N  	  0.409  	  0.176
23  	  N  	  0.391  	  0.176
24  	  N  	  0.375  	  0.176
25  	  N  	  0.360  	  0.176
26  	  N  	  0.346  	  0.176
27  	  N  	  0.333  	  0.176
28  	  R  	  0.357  	  0.196
29  	  N  	  0.345  	  0.196
30  	  N  	  0.333  	  0.196
31  	  N  	  0.323  	  0.196
32  	  R  	  0.344  	  0.216
33  	  R  	  0.364  	  0.235
34  	  N  	  0.353  	  0.235
35  	  N  	  0.343  	  0.235
36  	  R  	  0.361  	  0.255
37  	  N  	  0.351  	  0.255
38  	  N  	  0.342  	  0.255
39  	  N  	  0.333  	  0.255
40  	  N  	  0.325  	  0.255
41  	  N  	  0.317  	  0.255
42  	  N  	  0.310  	  0.255
43  	  N  	  0.302  	  0.255
44  	  N  	  0.295  	  0.255
45  	  N  	  0.289  	  0.255
46  	  N  	  0.283  	  0.255
47  	  N  	  0.277  	  0.255
48  	  N  	  0.271  	  0.255
49  	  N  	  0.265  	  0.255
50  	  N  	  0.260  	  0.255
51  	  N  	  0.255  	  0.255
52  	  N  	  0.250  	  0.255
53  	  R  	  0.264  	  0.275
54  	  N  	  0.259  	  0.275
55  	  N  	  0.255  	  0.275
56  	  N  	  0.250  	  0.275
57  	  N  	  0.246  	  0.275
58  	  N  	  0.241  	  0.275
59  	  N  	  0.237  	  0.275
60  	  N  	  0.233  	  0.275
61  	  N  	  0.230  	  0.275
62  	  N  	  0.226  	  0.275
63  	  N  	  0.222  	  0.275
64  	  N  	  0.219  	  0.275
65  	  N  	  0.215  	  0.275
66  	  N  	  0.212  	  0.275
67  	  N  	  0.209  	  0.275
68  	  R  	  0.221  	  0.294
69  	  N  	  0.217  	  0.294
70  	  N  	  0.214  	  0.294
71  	  N  	  0.211  	  0.294
72  	  R  	  0.222  	  0.314
73  	  R  	  0.233  	  0.333
74  	  R  	  0.243  	  0.353
75  	  N  	  0.240  	  0.353
76  	  N  	  0.237  	  0.353
77  	  N  	  0.234  	  0.353
78  	  R  	  0.244  	  0.373
79  	  N  	  0.241  	  0.373
80  	  N  	  0.237  	  0.373
81  	  N  	  0.235  	  0.373
82  	  N  	  0.232  	  0.373
83  	  N  	  0.229  	  0.373
84  	  N  	  0.226  	  0.373
85  	  N  	  0.224  	  0.373
86  	  N  	  0.221  	  0.373
87  	  N  	  0.218  	  0.373
88  	  R  	  0.227  	  0.392
89  	  N  	  0.225  	  0.392
90  	  R  	  0.233  	  0.412
91  	  N  	  0.231  	  0.412
92  	  N  	  0.228  	  0.412
93  	  N  	  0.226  	  0.412
94  	  N  	  0.223  	  0.412
95  	  N  	  0.221  	  0.412
96  	  N  	  0.219  	  0.412
97  	  N  	  0.216  	  0.412
98  	  N  	  0.214  	  0.412
99  	  N  	  0.212  	  0.412
100  	  N  	  0.210  	  0.412
