Query 26: concurrency control mechanisms in operating systems 

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.033
03  	  N  	  0.333  	  0.033
04  	  N  	  0.250  	  0.033
05  	  N  	  0.200  	  0.033
06  	  N  	  0.167  	  0.033
07  	  R  	  0.286  	  0.067
08  	  N  	  0.250  	  0.067
09  	  R  	  0.333  	  0.100
10  	  N  	  0.300  	  0.100
11  	  N  	  0.273  	  0.100
12  	  N  	  0.250  	  0.100
13  	  R  	  0.308  	  0.133
14  	  N  	  0.286  	  0.133
15  	  R  	  0.333  	  0.167
16  	  N  	  0.312  	  0.167
17  	  N  	  0.294  	  0.167
18  	  N  	  0.278  	  0.167
19  	  N  	  0.263  	  0.167
20  	  N  	  0.250  	  0.167
21  	  N  	  0.238  	  0.167
22  	  N  	  0.227  	  0.167
23  	  N  	  0.217  	  0.167
24  	  N  	  0.208  	  0.167
25  	  N  	  0.200  	  0.167
26  	  N  	  0.192  	  0.167
27  	  N  	  0.185  	  0.167
28  	  N  	  0.179  	  0.167
29  	  R  	  0.207  	  0.200
30  	  N  	  0.200  	  0.200
31  	  N  	  0.194  	  0.200
32  	  N  	  0.188  	  0.200
33  	  N  	  0.182  	  0.200
34  	  N  	  0.176  	  0.200
35  	  N  	  0.171  	  0.200
36  	  N  	  0.167  	  0.200
37  	  N  	  0.162  	  0.200
38  	  N  	  0.158  	  0.200
39  	  N  	  0.154  	  0.200
40  	  R  	  0.175  	  0.233
41  	  N  	  0.171  	  0.233
42  	  N  	  0.167  	  0.233
43  	  N  	  0.163  	  0.233
44  	  R  	  0.182  	  0.267
45  	  N  	  0.178  	  0.267
46  	  R  	  0.196  	  0.300
47  	  N  	  0.191  	  0.300
48  	  N  	  0.188  	  0.300
49  	  N  	  0.184  	  0.300
50  	  N  	  0.180  	  0.300
51  	  N  	  0.176  	  0.300
52  	  N  	  0.173  	  0.300
53  	  N  	  0.170  	  0.300
54  	  N  	  0.167  	  0.300
55  	  N  	  0.164  	  0.300
56  	  N  	  0.161  	  0.300
57  	  N  	  0.158  	  0.300
58  	  N  	  0.155  	  0.300
59  	  N  	  0.153  	  0.300
60  	  N  	  0.150  	  0.300
61  	  N  	  0.148  	  0.300
62  	  N  	  0.145  	  0.300
63  	  N  	  0.143  	  0.300
64  	  N  	  0.141  	  0.300
65  	  N  	  0.138  	  0.300
66  	  N  	  0.136  	  0.300
67  	  N  	  0.134  	  0.300
68  	  N  	  0.132  	  0.300
69  	  N  	  0.130  	  0.300
70  	  N  	  0.129  	  0.300
71  	  N  	  0.127  	  0.300
72  	  N  	  0.125  	  0.300
73  	  R  	  0.137  	  0.333
74  	  N  	  0.135  	  0.333
75  	  N  	  0.133  	  0.333
76  	  N  	  0.132  	  0.333
77  	  N  	  0.130  	  0.333
78  	  N  	  0.128  	  0.333
79  	  N  	  0.127  	  0.333
80  	  N  	  0.125  	  0.333
81  	  N  	  0.123  	  0.333
82  	  N  	  0.122  	  0.333
83  	  N  	  0.120  	  0.333
84  	  N  	  0.119  	  0.333
85  	  N  	  0.118  	  0.333
86  	  N  	  0.116  	  0.333
87  	  N  	  0.115  	  0.333
88  	  N  	  0.114  	  0.333
89  	  N  	  0.112  	  0.333
90  	  N  	  0.111  	  0.333
91  	  N  	  0.110  	  0.333
92  	  N  	  0.109  	  0.333
93  	  N  	  0.108  	  0.333
94  	  N  	  0.106  	  0.333
95  	  N  	  0.105  	  0.333
96  	  N  	  0.104  	  0.333
97  	  N  	  0.103  	  0.333
98  	  N  	  0.102  	  0.333
99  	  R  	  0.111  	  0.367
100  	  N  	  0.110  	  0.367
