Query 27: memory management aspects of operating systems 

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.034
03  	  R  	  0.667  	  0.069
04  	  R  	  0.750  	  0.103
05  	  R  	  0.800  	  0.138
06  	  N  	  0.667  	  0.138
07  	  N  	  0.571  	  0.138
08  	  N  	  0.500  	  0.138
09  	  N  	  0.444  	  0.138
10  	  N  	  0.400  	  0.138
11  	  N  	  0.364  	  0.138
12  	  N  	  0.333  	  0.138
13  	  N  	  0.308  	  0.138
14  	  N  	  0.286  	  0.138
15  	  R  	  0.333  	  0.172
16  	  N  	  0.312  	  0.172
17  	  N  	  0.294  	  0.172
18  	  R  	  0.333  	  0.207
19  	  R  	  0.368  	  0.241
20  	  N  	  0.350  	  0.241
21  	  N  	  0.333  	  0.241
22  	  N  	  0.318  	  0.241
23  	  R  	  0.348  	  0.276
24  	  N  	  0.333  	  0.276
25  	  N  	  0.320  	  0.276
26  	  N  	  0.308  	  0.276
27  	  N  	  0.296  	  0.276
28  	  N  	  0.286  	  0.276
29  	  N  	  0.276  	  0.276
30  	  N  	  0.267  	  0.276
31  	  N  	  0.258  	  0.276
32  	  N  	  0.250  	  0.276
33  	  N  	  0.242  	  0.276
34  	  R  	  0.265  	  0.310
35  	  N  	  0.257  	  0.310
36  	  N  	  0.250  	  0.310
37  	  N  	  0.243  	  0.310
38  	  R  	  0.263  	  0.345
39  	  N  	  0.256  	  0.345
40  	  N  	  0.250  	  0.345
41  	  R  	  0.268  	  0.379
42  	  R  	  0.286  	  0.414
43  	  N  	  0.279  	  0.414
44  	  N  	  0.273  	  0.414
45  	  N  	  0.267  	  0.414
46  	  N  	  0.261  	  0.414
47  	  N  	  0.255  	  0.414
48  	  N  	  0.250  	  0.414
49  	  N  	  0.245  	  0.414
50  	  R  	  0.260  	  0.448
51  	  N  	  0.255  	  0.448
52  	  N  	  0.250  	  0.448
53  	  N  	  0.245  	  0.448
54  	  N  	  0.241  	  0.448
55  	  N  	  0.236  	  0.448
56  	  N  	  0.232  	  0.448
57  	  N  	  0.228  	  0.448
58  	  N  	  0.224  	  0.448
59  	  N  	  0.220  	  0.448
60  	  N  	  0.217  	  0.448
61  	  N  	  0.213  	  0.448
62  	  N  	  0.210  	  0.448
63  	  N  	  0.206  	  0.448
64  	  N  	  0.203  	  0.448
65  	  N  	  0.200  	  0.448
66  	  N  	  0.197  	  0.448
67  	  N  	  0.194  	  0.448
68  	  N  	  0.191  	  0.448
69  	  N  	  0.188  	  0.448
70  	  N  	  0.186  	  0.448
71  	  N  	  0.183  	  0.448
72  	  N  	  0.181  	  0.448
73  	  N  	  0.178  	  0.448
74  	  N  	  0.176  	  0.448
75  	  N  	  0.173  	  0.448
76  	  N  	  0.171  	  0.448
77  	  N  	  0.169  	  0.448
78  	  N  	  0.167  	  0.448
79  	  N  	  0.165  	  0.448
80  	  N  	  0.163  	  0.448
81  	  N  	  0.160  	  0.448
82  	  R  	  0.171  	  0.483
83  	  N  	  0.169  	  0.483
84  	  N  	  0.167  	  0.483
85  	  N  	  0.165  	  0.483
86  	  N  	  0.163  	  0.483
87  	  N  	  0.161  	  0.483
88  	  N  	  0.159  	  0.483
89  	  N  	  0.157  	  0.483
90  	  N  	  0.156  	  0.483
91  	  N  	  0.154  	  0.483
92  	  N  	  0.152  	  0.483
93  	  N  	  0.151  	  0.483
94  	  N  	  0.149  	  0.483
95  	  R  	  0.158  	  0.517
96  	  N  	  0.156  	  0.517
97  	  N  	  0.155  	  0.517
98  	  N  	  0.153  	  0.517
99  	  N  	  0.152  	  0.517
100  	  N  	  0.150  	  0.517
