Query 36: fast algorithm for context free language recognition or parsing 

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.050
02  	  N  	  0.500  	  0.050
03  	  R  	  0.667  	  0.100
04  	  N  	  0.500  	  0.100
05  	  N  	  0.400  	  0.100
06  	  N  	  0.333  	  0.100
07  	  N  	  0.286  	  0.100
08  	  R  	  0.375  	  0.150
09  	  R  	  0.444  	  0.200
10  	  N  	  0.400  	  0.200
11  	  R  	  0.455  	  0.250
12  	  N  	  0.417  	  0.250
13  	  R  	  0.462  	  0.300
14  	  N  	  0.429  	  0.300
15  	  R  	  0.467  	  0.350
16  	  R  	  0.500  	  0.400
17  	  R  	  0.529  	  0.450
18  	  N  	  0.500  	  0.450
19  	  N  	  0.474  	  0.450
20  	  N  	  0.450  	  0.450
21  	  R  	  0.476  	  0.500
22  	  N  	  0.455  	  0.500
23  	  N  	  0.435  	  0.500
24  	  R  	  0.458  	  0.550
25  	  N  	  0.440  	  0.550
26  	  N  	  0.423  	  0.550
27  	  N  	  0.407  	  0.550
28  	  R  	  0.429  	  0.600
29  	  N  	  0.414  	  0.600
30  	  R  	  0.433  	  0.650
31  	  N  	  0.419  	  0.650
32  	  N  	  0.406  	  0.650
33  	  R  	  0.424  	  0.700
34  	  N  	  0.412  	  0.700
35  	  N  	  0.400  	  0.700
36  	  N  	  0.389  	  0.700
37  	  N  	  0.378  	  0.700
38  	  N  	  0.368  	  0.700
39  	  N  	  0.359  	  0.700
40  	  N  	  0.350  	  0.700
41  	  N  	  0.341  	  0.700
42  	  N  	  0.333  	  0.700
43  	  N  	  0.326  	  0.700
44  	  N  	  0.318  	  0.700
45  	  N  	  0.311  	  0.700
46  	  N  	  0.304  	  0.700
47  	  N  	  0.298  	  0.700
48  	  N  	  0.292  	  0.700
49  	  N  	  0.286  	  0.700
50  	  N  	  0.280  	  0.700
51  	  N  	  0.275  	  0.700
52  	  N  	  0.269  	  0.700
53  	  N  	  0.264  	  0.700
54  	  N  	  0.259  	  0.700
55  	  N  	  0.255  	  0.700
56  	  R  	  0.268  	  0.750
57  	  N  	  0.263  	  0.750
58  	  N  	  0.259  	  0.750
59  	  N  	  0.254  	  0.750
60  	  N  	  0.250  	  0.750
61  	  N  	  0.246  	  0.750
62  	  N  	  0.242  	  0.750
63  	  N  	  0.238  	  0.750
64  	  N  	  0.234  	  0.750
65  	  N  	  0.231  	  0.750
66  	  N  	  0.227  	  0.750
67  	  N  	  0.224  	  0.750
68  	  N  	  0.221  	  0.750
69  	  N  	  0.217  	  0.750
70  	  N  	  0.214  	  0.750
71  	  N  	  0.211  	  0.750
72  	  N  	  0.208  	  0.750
73  	  N  	  0.205  	  0.750
74  	  N  	  0.203  	  0.750
75  	  N  	  0.200  	  0.750
76  	  N  	  0.197  	  0.750
77  	  N  	  0.195  	  0.750
78  	  N  	  0.192  	  0.750
79  	  N  	  0.190  	  0.750
80  	  R  	  0.200  	  0.800
81  	  N  	  0.198  	  0.800
82  	  N  	  0.195  	  0.800
83  	  N  	  0.193  	  0.800
84  	  N  	  0.190  	  0.800
85  	  N  	  0.188  	  0.800
86  	  N  	  0.186  	  0.800
87  	  N  	  0.184  	  0.800
88  	  N  	  0.182  	  0.800
89  	  N  	  0.180  	  0.800
90  	  N  	  0.178  	  0.800
91  	  N  	  0.176  	  0.800
92  	  N  	  0.174  	  0.800
93  	  N  	  0.172  	  0.800
94  	  N  	  0.170  	  0.800
95  	  N  	  0.168  	  0.800
96  	  N  	  0.167  	  0.800
97  	  N  	  0.165  	  0.800
98  	  N  	  0.163  	  0.800
99  	  N  	  0.162  	  0.800
100  	  N  	  0.160  	  0.800
