Query 4: i m interested in mechanisms for communicating between disjoint processes possibly but not exclusively in a distributed environment i would rather see descriptions of complete mechanisms with or without implementations as opposed to theoretical work on the abstract problem remote procedure calls and message passing are exaples of my interest 

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  R  	  0.250  	  0.083
05  	  N  	  0.200  	  0.083
06  	  N  	  0.167  	  0.083
07  	  N  	  0.143  	  0.083
08  	  N  	  0.125  	  0.083
09  	  N  	  0.111  	  0.083
10  	  N  	  0.100  	  0.083
11  	  N  	  0.091  	  0.083
12  	  N  	  0.083  	  0.083
13  	  N  	  0.077  	  0.083
14  	  N  	  0.071  	  0.083
15  	  R  	  0.133  	  0.167
16  	  N  	  0.125  	  0.167
17  	  N  	  0.118  	  0.167
18  	  N  	  0.111  	  0.167
19  	  N  	  0.105  	  0.167
20  	  N  	  0.100  	  0.167
21  	  N  	  0.095  	  0.167
22  	  N  	  0.091  	  0.167
23  	  N  	  0.087  	  0.167
24  	  N  	  0.083  	  0.167
25  	  N  	  0.080  	  0.167
26  	  N  	  0.077  	  0.167
27  	  N  	  0.074  	  0.167
28  	  N  	  0.071  	  0.167
29  	  N  	  0.069  	  0.167
30  	  N  	  0.067  	  0.167
31  	  N  	  0.065  	  0.167
32  	  N  	  0.062  	  0.167
33  	  N  	  0.061  	  0.167
34  	  N  	  0.059  	  0.167
35  	  N  	  0.057  	  0.167
36  	  N  	  0.056  	  0.167
37  	  N  	  0.054  	  0.167
38  	  N  	  0.053  	  0.167
39  	  N  	  0.051  	  0.167
40  	  N  	  0.050  	  0.167
41  	  N  	  0.049  	  0.167
42  	  N  	  0.048  	  0.167
43  	  N  	  0.047  	  0.167
44  	  N  	  0.045  	  0.167
45  	  N  	  0.044  	  0.167
46  	  N  	  0.043  	  0.167
47  	  N  	  0.043  	  0.167
48  	  N  	  0.042  	  0.167
49  	  N  	  0.041  	  0.167
50  	  N  	  0.040  	  0.167
51  	  N  	  0.039  	  0.167
52  	  N  	  0.038  	  0.167
53  	  N  	  0.038  	  0.167
54  	  N  	  0.037  	  0.167
55  	  N  	  0.036  	  0.167
56  	  N  	  0.036  	  0.167
57  	  N  	  0.035  	  0.167
58  	  N  	  0.034  	  0.167
59  	  N  	  0.034  	  0.167
60  	  N  	  0.033  	  0.167
61  	  N  	  0.033  	  0.167
62  	  N  	  0.032  	  0.167
63  	  N  	  0.032  	  0.167
64  	  N  	  0.031  	  0.167
65  	  N  	  0.031  	  0.167
66  	  N  	  0.030  	  0.167
67  	  N  	  0.030  	  0.167
68  	  N  	  0.029  	  0.167
69  	  N  	  0.029  	  0.167
70  	  N  	  0.029  	  0.167
71  	  N  	  0.028  	  0.167
72  	  N  	  0.028  	  0.167
73  	  N  	  0.027  	  0.167
74  	  N  	  0.027  	  0.167
75  	  N  	  0.027  	  0.167
76  	  N  	  0.026  	  0.167
77  	  N  	  0.026  	  0.167
78  	  N  	  0.026  	  0.167
79  	  N  	  0.025  	  0.167
80  	  N  	  0.025  	  0.167
81  	  N  	  0.025  	  0.167
82  	  N  	  0.024  	  0.167
83  	  N  	  0.024  	  0.167
84  	  N  	  0.024  	  0.167
85  	  N  	  0.024  	  0.167
86  	  N  	  0.023  	  0.167
87  	  N  	  0.023  	  0.167
88  	  N  	  0.023  	  0.167
89  	  N  	  0.022  	  0.167
90  	  N  	  0.022  	  0.167
91  	  N  	  0.022  	  0.167
92  	  N  	  0.022  	  0.167
93  	  N  	  0.022  	  0.167
94  	  N  	  0.021  	  0.167
95  	  N  	  0.021  	  0.167
96  	  N  	  0.021  	  0.167
97  	  N  	  0.021  	  0.167
98  	  N  	  0.020  	  0.167
99  	  N  	  0.020  	  0.167
100  	  N  	  0.020  	  0.167
