Query 40: list all articles meaning with data types in the following languages that are referenced frequently in papers on the above languages e g catch any languages with interesting type structures that i might have misses 

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  R  	  0.333  	  0.100
04  	  N  	  0.250  	  0.100
05  	  N  	  0.200  	  0.100
06  	  N  	  0.167  	  0.100
07  	  N  	  0.143  	  0.100
08  	  R  	  0.250  	  0.200
09  	  N  	  0.222  	  0.200
10  	  N  	  0.200  	  0.200
11  	  N  	  0.182  	  0.200
12  	  N  	  0.167  	  0.200
13  	  N  	  0.154  	  0.200
14  	  N  	  0.143  	  0.200
15  	  N  	  0.133  	  0.200
16  	  N  	  0.125  	  0.200
17  	  N  	  0.118  	  0.200
18  	  N  	  0.111  	  0.200
19  	  N  	  0.105  	  0.200
20  	  N  	  0.100  	  0.200
21  	  N  	  0.095  	  0.200
22  	  N  	  0.091  	  0.200
23  	  N  	  0.087  	  0.200
24  	  R  	  0.125  	  0.300
25  	  N  	  0.120  	  0.300
26  	  N  	  0.115  	  0.300
27  	  N  	  0.111  	  0.300
28  	  N  	  0.107  	  0.300
29  	  R  	  0.138  	  0.400
30  	  R  	  0.167  	  0.500
31  	  N  	  0.161  	  0.500
32  	  N  	  0.156  	  0.500
33  	  N  	  0.152  	  0.500
34  	  R  	  0.176  	  0.600
35  	  R  	  0.200  	  0.700
36  	  N  	  0.194  	  0.700
37  	  N  	  0.189  	  0.700
38  	  N  	  0.184  	  0.700
39  	  N  	  0.179  	  0.700
40  	  N  	  0.175  	  0.700
41  	  N  	  0.171  	  0.700
42  	  N  	  0.167  	  0.700
43  	  N  	  0.163  	  0.700
44  	  N  	  0.159  	  0.700
45  	  N  	  0.156  	  0.700
46  	  N  	  0.152  	  0.700
47  	  N  	  0.149  	  0.700
48  	  N  	  0.146  	  0.700
49  	  N  	  0.143  	  0.700
50  	  N  	  0.140  	  0.700
51  	  N  	  0.137  	  0.700
52  	  R  	  0.154  	  0.800
53  	  N  	  0.151  	  0.800
54  	  N  	  0.148  	  0.800
55  	  N  	  0.145  	  0.800
56  	  N  	  0.143  	  0.800
57  	  N  	  0.140  	  0.800
58  	  N  	  0.138  	  0.800
59  	  N  	  0.136  	  0.800
60  	  N  	  0.133  	  0.800
61  	  N  	  0.131  	  0.800
62  	  N  	  0.129  	  0.800
63  	  N  	  0.127  	  0.800
64  	  N  	  0.125  	  0.800
65  	  N  	  0.123  	  0.800
66  	  N  	  0.121  	  0.800
67  	  N  	  0.119  	  0.800
68  	  N  	  0.118  	  0.800
69  	  N  	  0.116  	  0.800
70  	  N  	  0.114  	  0.800
71  	  N  	  0.113  	  0.800
72  	  N  	  0.111  	  0.800
73  	  N  	  0.110  	  0.800
74  	  N  	  0.108  	  0.800
75  	  N  	  0.107  	  0.800
76  	  N  	  0.105  	  0.800
77  	  N  	  0.104  	  0.800
78  	  N  	  0.103  	  0.800
79  	  N  	  0.101  	  0.800
80  	  N  	  0.100  	  0.800
81  	  N  	  0.099  	  0.800
82  	  N  	  0.098  	  0.800
83  	  N  	  0.096  	  0.800
84  	  N  	  0.095  	  0.800
85  	  N  	  0.094  	  0.800
86  	  N  	  0.093  	  0.800
87  	  N  	  0.092  	  0.800
88  	  N  	  0.091  	  0.800
89  	  N  	  0.090  	  0.800
90  	  N  	  0.089  	  0.800
91  	  N  	  0.088  	  0.800
92  	  N  	  0.087  	  0.800
93  	  N  	  0.086  	  0.800
94  	  N  	  0.085  	  0.800
95  	  N  	  0.084  	  0.800
96  	  N  	  0.083  	  0.800
97  	  N  	  0.082  	  0.800
98  	  N  	  0.082  	  0.800
99  	  N  	  0.081  	  0.800
100  	  N  	  0.080  	  0.800
