Query 43: analysis and perception of shape by humans and computers shape descriptions shape recognition by computer two dimensional shapes measures of circularity shape matching 

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  R  	  0.200  	  0.024
06  	  R  	  0.333  	  0.049
07  	  N  	  0.286  	  0.049
08  	  N  	  0.250  	  0.049
09  	  N  	  0.222  	  0.049
10  	  N  	  0.200  	  0.049
11  	  N  	  0.182  	  0.049
12  	  R  	  0.250  	  0.073
13  	  R  	  0.308  	  0.098
14  	  R  	  0.357  	  0.122
15  	  N  	  0.333  	  0.122
16  	  R  	  0.375  	  0.146
17  	  N  	  0.353  	  0.146
18  	  N  	  0.333  	  0.146
19  	  N  	  0.316  	  0.146
20  	  N  	  0.300  	  0.146
21  	  N  	  0.286  	  0.146
22  	  N  	  0.273  	  0.146
23  	  R  	  0.304  	  0.171
24  	  N  	  0.292  	  0.171
25  	  R  	  0.320  	  0.195
26  	  N  	  0.308  	  0.195
27  	  N  	  0.296  	  0.195
28  	  N  	  0.286  	  0.195
29  	  N  	  0.276  	  0.195
30  	  N  	  0.267  	  0.195
31  	  N  	  0.258  	  0.195
32  	  N  	  0.250  	  0.195
33  	  N  	  0.242  	  0.195
34  	  N  	  0.235  	  0.195
35  	  N  	  0.229  	  0.195
36  	  N  	  0.222  	  0.195
37  	  R  	  0.243  	  0.220
38  	  R  	  0.263  	  0.244
39  	  N  	  0.256  	  0.244
40  	  N  	  0.250  	  0.244
41  	  N  	  0.244  	  0.244
42  	  N  	  0.238  	  0.244
43  	  N  	  0.233  	  0.244
44  	  N  	  0.227  	  0.244
45  	  N  	  0.222  	  0.244
46  	  N  	  0.217  	  0.244
47  	  N  	  0.213  	  0.244
48  	  N  	  0.208  	  0.244
49  	  N  	  0.204  	  0.244
50  	  N  	  0.200  	  0.244
51  	  N  	  0.196  	  0.244
52  	  R  	  0.212  	  0.268
53  	  N  	  0.208  	  0.268
54  	  R  	  0.222  	  0.293
55  	  N  	  0.218  	  0.293
56  	  N  	  0.214  	  0.293
57  	  N  	  0.211  	  0.293
58  	  N  	  0.207  	  0.293
59  	  N  	  0.203  	  0.293
60  	  N  	  0.200  	  0.293
61  	  N  	  0.197  	  0.293
62  	  N  	  0.194  	  0.293
63  	  N  	  0.190  	  0.293
64  	  N  	  0.188  	  0.293
65  	  N  	  0.185  	  0.293
66  	  N  	  0.182  	  0.293
67  	  N  	  0.179  	  0.293
68  	  N  	  0.176  	  0.293
69  	  N  	  0.174  	  0.293
70  	  N  	  0.171  	  0.293
71  	  R  	  0.183  	  0.317
72  	  N  	  0.181  	  0.317
73  	  N  	  0.178  	  0.317
74  	  N  	  0.176  	  0.317
75  	  N  	  0.173  	  0.317
76  	  N  	  0.171  	  0.317
77  	  N  	  0.169  	  0.317
78  	  N  	  0.167  	  0.317
79  	  N  	  0.165  	  0.317
80  	  N  	  0.163  	  0.317
81  	  N  	  0.160  	  0.317
82  	  R  	  0.171  	  0.341
83  	  N  	  0.169  	  0.341
84  	  N  	  0.167  	  0.341
85  	  N  	  0.165  	  0.341
86  	  N  	  0.163  	  0.341
87  	  N  	  0.161  	  0.341
88  	  N  	  0.159  	  0.341
89  	  N  	  0.157  	  0.341
90  	  N  	  0.156  	  0.341
91  	  N  	  0.154  	  0.341
92  	  N  	  0.152  	  0.341
93  	  N  	  0.151  	  0.341
94  	  N  	  0.149  	  0.341
95  	  N  	  0.147  	  0.341
96  	  N  	  0.146  	  0.341
97  	  N  	  0.144  	  0.341
98  	  N  	  0.143  	  0.341
99  	  N  	  0.141  	  0.341
100  	  N  	  0.140  	  0.341
