Query 59: dictionary construction and accessing methods for fast retrieval of words or lexical items or mgrpholooically related information hashing or indexing methods are usually applied to english stepping or natural language problems 

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  R  	  0.167  	  0.023
07  	  R  	  0.286  	  0.047
08  	  N  	  0.250  	  0.047
09  	  R  	  0.333  	  0.070
10  	  N  	  0.300  	  0.070
11  	  N  	  0.273  	  0.070
12  	  N  	  0.250  	  0.070
13  	  R  	  0.308  	  0.093
14  	  N  	  0.286  	  0.093
15  	  N  	  0.267  	  0.093
16  	  N  	  0.250  	  0.093
17  	  N  	  0.235  	  0.093
18  	  N  	  0.222  	  0.093
19  	  N  	  0.211  	  0.093
20  	  N  	  0.200  	  0.093
21  	  N  	  0.190  	  0.093
22  	  N  	  0.182  	  0.093
23  	  N  	  0.174  	  0.093
24  	  N  	  0.167  	  0.093
25  	  N  	  0.160  	  0.093
26  	  N  	  0.154  	  0.093
27  	  N  	  0.148  	  0.093
28  	  N  	  0.143  	  0.093
29  	  N  	  0.138  	  0.093
30  	  N  	  0.133  	  0.093
31  	  N  	  0.129  	  0.093
32  	  N  	  0.125  	  0.093
33  	  N  	  0.121  	  0.093
34  	  N  	  0.118  	  0.093
35  	  N  	  0.114  	  0.093
36  	  N  	  0.111  	  0.093
37  	  N  	  0.108  	  0.093
38  	  N  	  0.105  	  0.093
39  	  N  	  0.103  	  0.093
40  	  N  	  0.100  	  0.093
41  	  N  	  0.098  	  0.093
42  	  N  	  0.095  	  0.093
43  	  N  	  0.093  	  0.093
44  	  N  	  0.091  	  0.093
45  	  N  	  0.089  	  0.093
46  	  N  	  0.087  	  0.093
47  	  N  	  0.085  	  0.093
48  	  N  	  0.083  	  0.093
49  	  N  	  0.082  	  0.093
50  	  R  	  0.100  	  0.116
51  	  N  	  0.098  	  0.116
52  	  N  	  0.096  	  0.116
53  	  N  	  0.094  	  0.116
54  	  N  	  0.093  	  0.116
55  	  N  	  0.091  	  0.116
56  	  N  	  0.089  	  0.116
57  	  N  	  0.088  	  0.116
58  	  N  	  0.086  	  0.116
59  	  N  	  0.085  	  0.116
60  	  N  	  0.083  	  0.116
61  	  N  	  0.082  	  0.116
62  	  N  	  0.081  	  0.116
63  	  N  	  0.079  	  0.116
64  	  N  	  0.078  	  0.116
65  	  N  	  0.077  	  0.116
66  	  N  	  0.076  	  0.116
67  	  N  	  0.075  	  0.116
68  	  N  	  0.074  	  0.116
69  	  N  	  0.072  	  0.116
70  	  N  	  0.071  	  0.116
71  	  N  	  0.070  	  0.116
72  	  N  	  0.069  	  0.116
73  	  N  	  0.068  	  0.116
74  	  N  	  0.068  	  0.116
75  	  N  	  0.067  	  0.116
76  	  N  	  0.066  	  0.116
77  	  N  	  0.065  	  0.116
78  	  N  	  0.064  	  0.116
79  	  N  	  0.063  	  0.116
80  	  N  	  0.062  	  0.116
81  	  R  	  0.074  	  0.140
82  	  N  	  0.073  	  0.140
83  	  N  	  0.072  	  0.140
84  	  N  	  0.071  	  0.140
85  	  N  	  0.071  	  0.140
86  	  N  	  0.070  	  0.140
87  	  N  	  0.069  	  0.140
88  	  N  	  0.068  	  0.140
89  	  N  	  0.067  	  0.140
90  	  N  	  0.067  	  0.140
91  	  N  	  0.066  	  0.140
92  	  N  	  0.065  	  0.140
93  	  N  	  0.065  	  0.140
94  	  N  	  0.064  	  0.140
95  	  N  	  0.063  	  0.140
96  	  N  	  0.062  	  0.140
97  	  N  	  0.062  	  0.140
98  	  N  	  0.061  	  0.140
99  	  N  	  0.061  	  0.140
100  	  N  	  0.060  	  0.140
