Query 60: hardware and software relating to database management systems database packages back end computers special associative hardware with microcomputers attached to disk heads or things like ran relational or network codasyl or hierarchical models systems like system r is adams total etc 

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.037
02  	  N  	  0.500  	  0.037
03  	  N  	  0.333  	  0.037
04  	  N  	  0.250  	  0.037
05  	  N  	  0.200  	  0.037
06  	  N  	  0.167  	  0.037
07  	  N  	  0.143  	  0.037
08  	  N  	  0.125  	  0.037
09  	  R  	  0.222  	  0.074
10  	  N  	  0.200  	  0.074
11  	  N  	  0.182  	  0.074
12  	  N  	  0.167  	  0.074
13  	  N  	  0.154  	  0.074
14  	  N  	  0.143  	  0.074
15  	  N  	  0.133  	  0.074
16  	  N  	  0.125  	  0.074
17  	  N  	  0.118  	  0.074
18  	  N  	  0.111  	  0.074
19  	  N  	  0.105  	  0.074
20  	  R  	  0.150  	  0.111
21  	  N  	  0.143  	  0.111
22  	  N  	  0.136  	  0.111
23  	  N  	  0.130  	  0.111
24  	  N  	  0.125  	  0.111
25  	  N  	  0.120  	  0.111
26  	  N  	  0.115  	  0.111
27  	  N  	  0.111  	  0.111
28  	  N  	  0.107  	  0.111
29  	  R  	  0.138  	  0.148
30  	  N  	  0.133  	  0.148
31  	  N  	  0.129  	  0.148
32  	  N  	  0.125  	  0.148
33  	  N  	  0.121  	  0.148
34  	  N  	  0.118  	  0.148
35  	  N  	  0.114  	  0.148
36  	  N  	  0.111  	  0.148
37  	  N  	  0.108  	  0.148
38  	  N  	  0.105  	  0.148
39  	  N  	  0.103  	  0.148
40  	  N  	  0.100  	  0.148
41  	  N  	  0.098  	  0.148
42  	  N  	  0.095  	  0.148
43  	  R  	  0.116  	  0.185
44  	  N  	  0.114  	  0.185
45  	  N  	  0.111  	  0.185
46  	  R  	  0.130  	  0.222
47  	  R  	  0.149  	  0.259
48  	  N  	  0.146  	  0.259
49  	  N  	  0.143  	  0.259
50  	  N  	  0.140  	  0.259
51  	  R  	  0.157  	  0.296
52  	  N  	  0.154  	  0.296
53  	  N  	  0.151  	  0.296
54  	  N  	  0.148  	  0.296
55  	  N  	  0.145  	  0.296
56  	  N  	  0.143  	  0.296
57  	  N  	  0.140  	  0.296
58  	  N  	  0.138  	  0.296
59  	  N  	  0.136  	  0.296
60  	  N  	  0.133  	  0.296
61  	  N  	  0.131  	  0.296
62  	  N  	  0.129  	  0.296
63  	  N  	  0.127  	  0.296
64  	  R  	  0.141  	  0.333
65  	  R  	  0.154  	  0.370
66  	  N  	  0.152  	  0.370
67  	  N  	  0.149  	  0.370
68  	  N  	  0.147  	  0.370
69  	  N  	  0.145  	  0.370
70  	  N  	  0.143  	  0.370
71  	  N  	  0.141  	  0.370
72  	  N  	  0.139  	  0.370
73  	  N  	  0.137  	  0.370
74  	  N  	  0.135  	  0.370
75  	  N  	  0.133  	  0.370
76  	  R  	  0.145  	  0.407
77  	  N  	  0.143  	  0.407
78  	  N  	  0.141  	  0.407
79  	  N  	  0.139  	  0.407
80  	  N  	  0.138  	  0.407
81  	  N  	  0.136  	  0.407
82  	  N  	  0.134  	  0.407
83  	  N  	  0.133  	  0.407
84  	  N  	  0.131  	  0.407
85  	  N  	  0.129  	  0.407
86  	  N  	  0.128  	  0.407
87  	  N  	  0.126  	  0.407
88  	  N  	  0.125  	  0.407
89  	  N  	  0.124  	  0.407
90  	  N  	  0.122  	  0.407
91  	  N  	  0.121  	  0.407
92  	  N  	  0.120  	  0.407
93  	  N  	  0.118  	  0.407
94  	  R  	  0.128  	  0.444
95  	  N  	  0.126  	  0.444
96  	  N  	  0.125  	  0.444
97  	  N  	  0.124  	  0.444
98  	  N  	  0.122  	  0.444
99  	  N  	  0.121  	  0.444
100  	  N  	  0.120  	  0.444
