Query 61: information retrieval articles by gerard salton or others about clustering bibliographic coupling use of cntatiois or co citntioas the vector space model boolean search methods using inverted files feedback etc salton g 

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.032
02  	  N  	  0.500  	  0.032
03  	  R  	  0.667  	  0.065
04  	  R  	  0.750  	  0.097
05  	  R  	  0.800  	  0.129
06  	  R  	  0.833  	  0.161
07  	  N  	  0.714  	  0.161
08  	  R  	  0.750  	  0.194
09  	  N  	  0.667  	  0.194
10  	  R  	  0.700  	  0.226
11  	  R  	  0.727  	  0.258
12  	  N  	  0.667  	  0.258
13  	  N  	  0.615  	  0.258
14  	  R  	  0.643  	  0.290
15  	  N  	  0.600  	  0.290
16  	  N  	  0.562  	  0.290
17  	  R  	  0.588  	  0.323
18  	  N  	  0.556  	  0.323
19  	  N  	  0.526  	  0.323
20  	  N  	  0.500  	  0.323
21  	  N  	  0.476  	  0.323
22  	  N  	  0.455  	  0.323
23  	  N  	  0.435  	  0.323
24  	  N  	  0.417  	  0.323
25  	  N  	  0.400  	  0.323
26  	  N  	  0.385  	  0.323
27  	  N  	  0.370  	  0.323
28  	  R  	  0.393  	  0.355
29  	  N  	  0.379  	  0.355
30  	  N  	  0.367  	  0.355
31  	  N  	  0.355  	  0.355
32  	  N  	  0.344  	  0.355
33  	  N  	  0.333  	  0.355
34  	  N  	  0.324  	  0.355
35  	  N  	  0.314  	  0.355
36  	  N  	  0.306  	  0.355
37  	  N  	  0.297  	  0.355
38  	  N  	  0.289  	  0.355
39  	  N  	  0.282  	  0.355
40  	  R  	  0.300  	  0.387
41  	  N  	  0.293  	  0.387
42  	  N  	  0.286  	  0.387
43  	  N  	  0.279  	  0.387
44  	  N  	  0.273  	  0.387
45  	  N  	  0.267  	  0.387
46  	  N  	  0.261  	  0.387
47  	  N  	  0.255  	  0.387
48  	  N  	  0.250  	  0.387
49  	  N  	  0.245  	  0.387
50  	  N  	  0.240  	  0.387
51  	  N  	  0.235  	  0.387
52  	  N  	  0.231  	  0.387
53  	  N  	  0.226  	  0.387
54  	  N  	  0.222  	  0.387
55  	  N  	  0.218  	  0.387
56  	  N  	  0.214  	  0.387
57  	  N  	  0.211  	  0.387
58  	  R  	  0.224  	  0.419
59  	  N  	  0.220  	  0.419
60  	  N  	  0.217  	  0.419
61  	  N  	  0.213  	  0.419
62  	  N  	  0.210  	  0.419
63  	  N  	  0.206  	  0.419
64  	  N  	  0.203  	  0.419
65  	  N  	  0.200  	  0.419
66  	  N  	  0.197  	  0.419
67  	  N  	  0.194  	  0.419
68  	  N  	  0.191  	  0.419
69  	  N  	  0.188  	  0.419
70  	  N  	  0.186  	  0.419
71  	  N  	  0.183  	  0.419
72  	  N  	  0.181  	  0.419
73  	  N  	  0.178  	  0.419
74  	  R  	  0.189  	  0.452
75  	  R  	  0.200  	  0.484
76  	  N  	  0.197  	  0.484
77  	  N  	  0.195  	  0.484
78  	  N  	  0.192  	  0.484
79  	  R  	  0.203  	  0.516
80  	  N  	  0.200  	  0.516
81  	  N  	  0.198  	  0.516
82  	  N  	  0.195  	  0.516
83  	  N  	  0.193  	  0.516
84  	  N  	  0.190  	  0.516
85  	  N  	  0.188  	  0.516
86  	  N  	  0.186  	  0.516
87  	  N  	  0.184  	  0.516
88  	  N  	  0.182  	  0.516
89  	  N  	  0.180  	  0.516
90  	  N  	  0.178  	  0.516
91  	  N  	  0.176  	  0.516
92  	  N  	  0.174  	  0.516
93  	  N  	  0.172  	  0.516
94  	  N  	  0.170  	  0.516
95  	  N  	  0.168  	  0.516
96  	  N  	  0.167  	  0.516
97  	  N  	  0.165  	  0.516
98  	  N  	  0.163  	  0.516
99  	  N  	  0.162  	  0.516
100  	  N  	  0.160  	  0.516
